timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/23 07:39:49.084, 180 MHz, 33, 31.47 W, 0 %, 0 MiB
2026/09/23 07:39:49.338, 180 MHz, 33, 31.47 W, 0 %, 37 MiB
2026/09/23 07:39:49.588, 750 MHz, 34, 41.48 W, 2 %, 595 MiB
2026/09/23 07:39:49.838, 2362 MHz, 34, 46.49 W, 0 %, 1907 MiB
2026/09/23 07:39:50.088, 2362 MHz, 34, 69.09 W, 8 %, 2835 MiB
2026/09/23 07:39:50.338, 2362 MHz, 34, 71.96 W, 7 %, 3731 MiB
2026/09/23 07:39:50.588, 2362 MHz, 34, 89.68 W, 7 %, 4627 MiB
2026/09/23 07:39:50.839, 2362 MHz, 34, 89.62 W, 7 %, 5523 MiB
2026/09/23 07:39:51.089, 2362 MHz, 34, 89.68 W, 7 %, 6451 MiB
2026/09/23 07:39:51.339, 2362 MHz, 34, 89.74 W, 8 %, 7315 MiB
2026/09/23 07:39:51.589, 2362 MHz, 34, 89.88 W, 7 %, 8243 MiB
2026/09/23 07:39:51.839, 2362 MHz, 34, 89.95 W, 7 %, 9171 MiB
2026/09/23 07:39:52.089, 2362 MHz, 35, 89.92 W, 7 %, 10067 MiB
2026/09/23 07:39:52.339, 2362 MHz, 35, 89.92 W, 7 %, 10963 MiB
2026/09/23 07:39:52.589, 2347 MHz, 35, 89.83 W, 7 %, 11827 MiB
2026/09/23 07:39:52.839, 2347 MHz, 35, 89.85 W, 7 %, 12723 MiB
2026/09/23 07:39:53.089, 2347 MHz, 35, 89.88 W, 7 %, 13619 MiB
2026/09/23 07:39:53.339, 2347 MHz, 35, 89.84 W, 7 %, 14515 MiB
2026/09/23 07:39:53.589, 2347 MHz, 39, 125.15 W, 64 %, 15667 MiB
2026/09/23 07:39:53.839, 2332 MHz, 40, 173.10 W, 94 %, 15699 MiB
2026/09/23 07:39:54.090, 2340 MHz, 41, 245.56 W, 95 %, 15699 MiB
2026/09/23 07:39:54.340, 2340 MHz, 41, 290.01 W, 94 %, 16341 MiB
2026/09/23 07:39:54.590, 2340 MHz, 41, 329.20 W, 96 %, 16341 MiB
2026/09/23 07:39:54.840, 2332 MHz, 41, 331.75 W, 95 %, 16341 MiB
2026/09/23 07:39:55.090, 2340 MHz, 42, 335.24 W, 95 %, 16341 MiB
2026/09/23 07:39:55.340, 2347 MHz, 38, 306.31 W, 0 %, 0 MiB
2026/09/23 07:39:55.626, 2347 MHz, 37, 235.96 W, 33 %, 595 MiB
2026/09/23 07:39:55.876, 2347 MHz, 36, 161.99 W, 0 %, 1459 MiB
2026/09/23 07:39:56.126, 2347 MHz, 36, 113.13 W, 7 %, 2323 MiB
2026/09/23 07:39:56.376, 2347 MHz, 36, 94.27 W, 7 %, 3187 MiB
2026/09/23 07:39:56.626, 2347 MHz, 36, 90.49 W, 8 %, 4115 MiB
2026/09/23 07:39:56.876, 2347 MHz, 36, 90.81 W, 7 %, 5043 MiB
