label	rounds	drafted	accepted	accept_rate	plain_tok_s	spec_tok_s	agreement	selector
r1-tile	24	117	106	0.906	186.76	354.01	128/128	TILE
r1-sk	34	118	94	0.797	186.5	296.46	128/128	SK
r2-sk	34	118	94	0.797	186.39	296.66	128/128	SK
r2-tile	24	117	106	0.906	186.44	355.57	128/128	TILE
r3-tile	24	117	106	0.906	185.95	354.71	128/128	TILE
r3-sk	34	118	94	0.797	186.16	298.04	128/128	SK
r4-sk	34	118	94	0.797	186.21	298.52	128/128	SK
r4-tile	24	117	106	0.906	186.12	354.97	128/128	TILE
r5-tile	24	117	106	0.906	186.03	354.45	128/128	TILE
r5-sk	34	118	94	0.797	186.08	298.27	128/128	SK
naked-debug	24	117	106	0.906	186.11	355.35	128/128	TILE
naked-clean	24	117	106	0.906	185.81	354.12	128/128	None
