procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 143436468 853244 272040380    0    0    13  1289 1654    0  1  0 99  0  0  0
 5  0      0 141953052 853260 272063392    0    0    20   296 16555 5359 12  3 85  0  0  0
 8  0      0 141523916 853260 272065868    0    0     0     0 20442 2680 12  2 86  0  0  0
 8  0      0 141480096 853260 272068072    0    0     0     0 15242 2848 15  2 83  0  0  0
 3  0      0 141619192 853264 272106708    0    0     0  3420 12340 6243  9  2 88  0  0  0
 3  1      0 141566568 853264 272110096    0    0     0 353356 9840 5358  4  2 93  0  0  0
 3  0      0 141631272 853308 272110184    0    0     0 471160 11277 4490  4  2 93  0  0  0
 3  0      0 141633036 853308 272110188    0    0     0     0 6704 2748  4  2 94  0  0  0
 1  0      0 141528480 853308 272110188    0    0     0     0 3278 2318  3  1 96  0  0  0
 3  0      0 141536752 853312 272112400    0    0    48     0 5044 2989  5  1 94  0  0  0
 3  0      0 141557860 853312 272112400    0    0     0     0 4547 2782  6  0 94  0  0  0
 3  0      0 141592404 853320 272112388    0    0     0    68 4895 3474  6  0 94  0  0  0
 3  0      0 141608404 853320 272112388    0    0     0     0 4722 2734  6  1 94  0  0  0
 3  0      0 141637372 853320 272112396    0    0     0     0 4872 3392  6  0 94  0  0  0
 3  0      0 141650500 853320 272112396    0    0     0     0 4816 3274  6  0 94  0  0  0
 2  0      0 141700788 853320 272112432    0    0     0 27320 5141 3942  5  1 94  0  0  0
 2  0      0 141709988 853328 272112432    0    0     0   124 3844 2096  4  0 96  0  0  0
 2  0      0 141722400 853328 272112432    0    0     0     0 3782 2444  4  0 96  0  0  0
 2  0      0 141728912 853328 272112432    0    0     0     0 3738 2072  3  1 96  0  0  0
 2  0      0 141757348 853328 272112432    0    0     0     0 3744 2625  4  0 96  0  0  0
 2  0      0 141711184 853328 272121988    0    0     0 149076 5204 4338  4  0 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 141715732 853336 272121988    0    0     0   196 3443 2552  4  0 96  0  0  0
 2  0      0 141699456 853336 272121988    0    0     0     0 3620 2146  4  1 96  0  0  0
 2  0      0 141712488 853336 272121988    0    0     0     0 3779 2571  4  0 96  0  0  0
 2  0      0 141690352 853336 272121988    0    0     0     0 3422 2067  4  1 96  0  0  0
 2  0      0 141696380 853336 272122008    0    0     0 49520 3877 3014  4  0 96  0  0  0
