gpu_uuid, pid, process_name, used_gpu_memory [MiB]
GPU-c2a89142-c177-b92a-1366-d58822694f0a, 88084, /home/memra-qual/scratch/memra-537/repo/target/release/run-spec, 62538 MiB
GPU-554f7aeb-578c-187f-4f29-af06f2170507, 88084, /home/memra-qual/scratch/memra-537/repo/target/release/run-spec, 73098 MiB
GPU-f9f892ec-ab88-822a-0054-e9c2e7bf591f, 88084, /home/memra-qual/scratch/memra-537/repo/target/release/run-spec, 81644 MiB
