timestamp, uuid, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/20 01:51:52.812, GPU-25877c8d-b222-b270-400d-aca5a809f23c, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 0 MiB, 0 %, 34.98 W, 180 MHz, 28
2026/09/20 01:51:52.846, GPU-c2a89142-c177-b92a-1366-d58822694f0a, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 97887 MiB, 62547 MiB, 35 %, 124.92 W, 2340 MHz, 33
2026/09/20 01:51:52.972, GPU-554f7aeb-578c-187f-4f29-af06f2170507, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 97887 MiB, 73107 MiB, 40 %, 127.89 W, 2355 MHz, 33
2026/09/20 01:51:52.995, GPU-f9f892ec-ab88-822a-0054-e9c2e7bf591f, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 97887 MiB, 81653 MiB, 49 %, 137.84 W, 2317 MHz, 35
2026/09/20 01:51:53.264, GPU-25877c8d-b222-b270-400d-aca5a809f23c, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 22 MiB, 0 %, 35.07 W, 180 MHz, 28
2026/09/20 01:51:53.265, GPU-c2a89142-c177-b92a-1366-d58822694f0a, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 97887 MiB, 62547 MiB, 33 %, 126.10 W, 2340 MHz, 34
2026/09/20 01:51:53.269, GPU-554f7aeb-578c-187f-4f29-af06f2170507, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 97887 MiB, 73107 MiB, 36 %, 125.92 W, 2355 MHz, 33
2026/09/20 01:51:53.269, GPU-f9f892ec-ab88-822a-0054-e9c2e7bf591f, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 97887 MiB, 81653 MiB, 16 %, 154.07 W, 2317 MHz, 35
2026/09/20 01:51:53.519, GPU-25877c8d-b222-b270-400d-aca5a809f23c, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 595 MiB, 0 %, 41.85 W, 1957 MHz, 29
2026/09/20 01:51:53.519, GPU-c2a89142-c177-b92a-1366-d58822694f0a, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 97887 MiB, 62547 MiB, 40 %, 121.01 W, 2340 MHz, 33
2026/09/20 01:51:53.519, GPU-554f7aeb-578c-187f-4f29-af06f2170507, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 97887 MiB, 73107 MiB, 37 %, 117.12 W, 2355 MHz, 33
2026/09/20 01:51:53.519, GPU-f9f892ec-ab88-822a-0054-e9c2e7bf591f, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 97887 MiB, 81653 MiB, 49 %, 143.35 W, 2317 MHz, 35
2026/09/20 01:51:53.769, GPU-25877c8d-b222-b270-400d-aca5a809f23c, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 595 MiB, 0 %, 49.93 W, 2392 MHz, 29
