# qwen4exp_real_gate	label=vbdeep131k	binary_sha256=101fea322f960d95feb31a6e422e72f163231d03794bcdcb3a35db5975f9432c	ckpt=/root/data/q48fn-yarn1m	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# cache	kv_quant=q8_0/q5_1	idxq=q8	golden_pin=false	seams_env=idxsel
# verify-bit-deep: plain t==1 rows vs t==6 chunk rows, same fed tokens, SEEDED FROM A 131072-TOKEN CORPUS PREFIX (chunk 2048), n=24, wide_ring_rows=4096
row	abs_pos	chunk	bit_identical
0	131072	0	true
1	131073	0	true
2	131074	0	true
3	131075	0	true
4	131076	0	true
5	131077	0	true
6	131078	1	true
7	131079	1	true
8	131080	1	true
9	131081	1	true
10	131082	1	true
11	131083	1	true
12	131084	2	true
13	131085	2	true
14	131086	2	true
15	131087	2	true
16	131088	2	true
17	131089	2	true
18	131090	3	true
19	131091	3	true
20	131092	3	true
21	131093	3	true
22	131094	3	true
23	131095	3	true
# verdict	fill=131072	rows=24	mismatched=0	policy=bit-identity	pass=true	0, 0 MiB, 97887 MiB | 1, 94845 MiB, 97887 MiB | 2, 0 MiB, 97887 MiB | 3, 0 MiB, 97887 MiB
