
NOTICE: Existing SQLite export found: /home/ubuntu/memra-cx-sigrouter2/research/sigrouter2-20260811/raw/box1-perf/nsys-default.sqlite
        It is assumed file was previously exported from: /home/ubuntu/memra-cx-sigrouter2/research/sigrouter2-20260811/raw/box1-perf/nsys-default.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/memra-cx-sigrouter2/research/sigrouter2-20260811/raw/box1-perf/nsys-default.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_mem_size_sum.py]... 
Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
130929.601,50039,2.617,0.000,0.000,802.161,40.267,[CUDA memcpy Host-to-Device]
45350.872,54604,0.831,0.049,0.000,11.928,1.296,[CUDA memset]
205.488,551,0.373,0.016,0.016,4.100,0.795,[CUDA memcpy Device-to-Device]
114.346,359,0.319,0.516,0.003,0.516,0.250,[CUDA memcpy Device-to-Host]
6.521,264,0.025,0.016,0.000,1.491,0.129,[CUDA memcpy Peer-to-Peer]

