
NOTICE: Existing SQLite export found: /home/ubuntu/memra-cx-sigrouter2/research/sigrouter2-20260811/raw/box1-perf/nsys-default.sqlite
        It is assumed file was previously exported from: /home/ubuntu/memra-cx-sigrouter2/research/sigrouter2-20260811/raw/box1-perf/nsys-default.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/memra-cx-sigrouter2/research/sigrouter2-20260811/raw/box1-perf/nsys-default.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 
Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
98.1,2677469536,50039,53507.7,1056.0,287,42538315,765298.7,[CUDA memcpy Host-to-Device]
1.8,47764116,54604,874.7,768.0,320,3776,337.4,[CUDA memset]
0.1,2385180,359,6644.0,10336.0,448,10912,4760.9,[CUDA memcpy Device-to-Host]
0.0,486039,551,882.1,895.0,672,1888,173.3,[CUDA memcpy Device-to-Device]
0.0,254144,264,962.7,768.0,256,27616,2319.5,[CUDA memcpy Peer-to-Peer]

