Generating SQLite file /home/ubuntu/memra-cx-sigrouter2/research/sigrouter2-20260811/raw/box1-perf/nsys-default.sqlite from /home/ubuntu/memra-cx-sigrouter2/research/sigrouter2-20260811/raw/box1-perf/nsys-default.nsys-rep
Processing [/home/ubuntu/memra-cx-sigrouter2/research/sigrouter2-20260811/raw/box1-perf/nsys-default.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.6,11014228819,127,86726211.2,87413947.0,774627,90446461,7774401.3,cuMemHostAlloc
26.4,8143817740,359,22684729.1,9859278.0,2320,244375965,26922750.9,cuMemcpyDtoHAsync_v2
14.5,4492627225,127,35375017.5,35617719.0,332853,36362174,3142034.5,cuMemFreeHost
9.2,2836316067,298,9517839.2,7354.5,2708,138592711,20355468.6,cuStreamSynchronize
5.3,1649544910,491828,3353.9,488.0,102,14966117,195451.8,cuMemAllocAsync
3.4,1053330236,50085,21030.9,1929.0,1380,42643670,469771.2,cuMemcpyHtoDAsync_v2
2.8,867968103,251999,3444.3,2938.0,1989,87791,4997.9,cuLaunchKernel
1.0,296088145,104718,2827.5,2589.0,2080,75589,1361.3,cuLaunchKernelEx
0.8,244943216,491815,498.0,455.0,110,10629826,15158.4,cuMemFreeAsync
0.4,138979746,64324,2160.6,2697.0,82,32895,1375.0,cuMemsetD8Async
0.4,126154294,3156,39972.8,3275.0,2581,110697461,1970543.4,cudaLaunchKernel
0.1,25989395,18,1443855.3,645190.0,47727,5260782,1658434.0,cuModuleLoadData
0.0,2817690,551,5113.8,4948.0,3220,16606,1282.5,cuMemcpyDtoDAsync_v2
0.0,2596670,876,2964.2,2725.5,765,9997,1393.2,cuStreamWaitEvent
0.0,2462789,7,351827.0,135006.0,41268,1504724,537029.6,cuModuleUnload
0.0,2302730,378,6091.9,5983.0,4276,16442,1133.2,cuEventSynchronize
0.0,1209553,218,5548.4,5432.0,4807,12675,745.5,cuMemcpyPeerAsync
0.0,958026,656,1460.4,1253.5,402,13836,1038.4,cuEventRecord
0.0,632472,3,210824.0,182784.0,73342,376346,153435.8,cuLibraryLoadData
0.0,499090,354,1409.9,1134.5,169,2519,512.8,cuEventCreate
0.0,344084,3156,109.0,101.0,83,875,41.8,cuKernelGetName
0.0,332215,348,954.6,677.0,198,8306,594.5,cuEventDestroy_v2
0.0,238504,8,29813.0,288.0,91,196896,68936.0,cuDeviceGetDefaultMemPool
0.0,176468,914,193.1,140.0,88,5008,195.1,cuGetProcAddress_v2
0.0,154987,901,172.0,135.0,88,2922,148.2,cuCtxSetCurrent
0.0,110432,7,15776.0,9699.0,2475,55555,17853.4,cuStreamCreate
0.0,109161,4,27290.3,23556.5,944,61104,30826.6,cuMemPoolSetAccess
0.0,63714,3,21238.0,21133.0,19517,23064,1775.8,cuMemGetInfo_v2
0.0,48574,2,24287.0,24287.0,7789,40785,23331.7,cuStreamDestroy_v2
0.0,47639,1,47639.0,47639.0,47639,47639,0.0,cudaDeviceSynchronize
0.0,25745,5,5149.0,5709.0,2478,9083,2716.0,cuCtxSynchronize
0.0,7425,5,1485.0,1437.0,1005,2032,378.8,cuInit
0.0,4953,8,619.1,207.5,124,3269,1079.5,cuMemPoolSetAttribute
0.0,4738,6,789.7,482.5,338,1948,638.3,cudaGetDriverEntryPointByVersion
0.0,985,3,328.3,319.0,311,355,23.4,cuLibraryGetKernel
0.0,264,2,132.0,132.0,130,134,2.8,cuModuleGetLoadingMode

