timestamp, index, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/08 21:05:00.932, 0, 0, 0, 2407, 87.96, 12843
2026/08/08 21:05:00.932, 1, 0, 0, 2325, 83.92, 1035
2026/08/08 21:05:01.032, 0, 0, 0, 2407, 87.93, 12843
2026/08/08 21:05:01.041, 1, 0, 0, 2325, 83.92, 1035
2026/08/08 21:05:01.141, 0, 0, 0, 2407, 87.94, 12845
2026/08/08 21:05:01.141, 1, 0, 0, 2325, 83.95, 1037
2026/08/08 21:05:01.241, 0, 0, 0, 2415, 87.92, 15149
2026/08/08 21:05:01.241, 1, 0, 0, 2325, 83.97, 1037
2026/08/08 21:05:01.341, 0, 17, 1, 2415, 88.76, 15215
2026/08/08 21:05:01.341, 1, 0, 0, 2325, 84.00, 1039
2026/08/08 21:05:01.441, 0, 17, 1, 2407, 88.97, 15215
2026/08/08 21:05:01.441, 1, 2, 0, 2325, 83.98, 1039
2026/08/08 21:05:01.541, 0, 2, 0, 2407, 88.95, 15215
2026/08/08 21:05:01.541, 1, 2, 0, 2325, 83.97, 1039
2026/08/08 21:05:01.641, 0, 2, 0, 2407, 88.33, 15217
2026/08/08 21:05:01.641, 1, 2, 0, 2325, 83.94, 1041
2026/08/08 21:05:01.741, 0, 2, 0, 2407, 88.12, 15217
2026/08/08 21:05:01.754, 1, 2, 0, 2325, 83.92, 1041
2026/08/08 21:05:01.854, 0, 2, 0, 2407, 88.09, 15217
2026/08/08 21:05:01.854, 1, 2, 0, 2325, 83.94, 1041
2026/08/08 21:05:01.954, 0, 2, 0, 2407, 88.13, 17521
2026/08/08 21:05:01.954, 1, 2, 0, 2325, 83.94, 1041
2026/08/08 21:05:02.054, 0, 2, 0, 2407, 88.68, 17587
2026/08/08 21:05:02.054, 1, 0, 0, 2325, 83.96, 1043
2026/08/08 21:05:02.154, 0, 43, 3, 2407, 88.99, 17587
2026/08/08 21:05:02.154, 1, 0, 0, 2325, 83.98, 1043
2026/08/08 21:05:02.254, 0, 43, 3, 2407, 89.01, 17587
2026/08/08 21:05:02.254, 1, 0, 0, 2325, 83.96, 1043
2026/08/08 21:05:02.354, 0, 0, 0, 2407, 88.47, 17589
2026/08/08 21:05:02.354, 1, 0, 0, 2325, 83.99, 1045
2026/08/08 21:05:02.454, 0, 0, 0, 2415, 88.07, 17589
2026/08/08 21:05:02.468, 1, 0, 0, 2325, 83.97, 1045
2026/08/08 21:05:02.568, 0, 0, 0, 2415, 88.05, 17591
2026/08/08 21:05:02.568, 1, 0, 0, 2325, 84.04, 1047
2026/08/08 21:05:02.668, 0, 0, 0, 2415, 88.45, 19895
2026/08/08 21:05:02.668, 1, 0, 0, 2325, 84.04, 1047
2026/08/08 21:05:02.768, 0, 0, 0, 2415, 88.97, 19927
2026/08/08 21:05:02.768, 1, 0, 0, 2325, 84.09, 1047
2026/08/08 21:05:02.868, 0, 2, 0, 2407, 88.99, 19927
2026/08/08 21:05:02.868, 1, 2, 0, 2325, 84.11, 1047
2026/08/08 21:05:02.968, 0, 2, 0, 2407, 88.75, 19927
2026/08/08 21:05:02.968, 1, 2, 0, 2325, 84.11, 1047
2026/08/08 21:05:03.068, 0, 2, 0, 2407, 88.16, 19929
2026/08/08 21:05:03.068, 1, 2, 0, 2325, 84.09, 1049
2026/08/08 21:05:03.168, 0, 2, 0, 2407, 88.12, 19929
2026/08/08 21:05:03.180, 1, 2, 0, 2325, 84.06, 1049
2026/08/08 21:05:03.280, 0, 2, 0, 2407, 88.15, 19931
2026/08/08 21:05:03.280, 1, 1, 0, 2325, 84.08, 1051
2026/08/08 21:05:03.380, 0, 2, 0, 2407, 88.28, 22235
2026/08/08 21:05:03.380, 1, 1, 0, 2325, 84.06, 1051
2026/08/08 21:05:03.480, 0, 45, 3, 2407, 89.03, 22301
2026/08/08 21:05:03.480, 1, 0, 0, 2325, 84.14, 1053
2026/08/08 21:05:03.580, 0, 45, 3, 2407, 89.07, 22301
2026/08/08 21:05:03.580, 1, 0, 0, 2325, 84.11, 1053
2026/08/08 21:05:03.680, 0, 0, 0, 2407, 88.64, 22301
2026/08/08 21:05:03.680, 1, 0, 0, 2325, 84.12, 1053
2026/08/08 21:05:03.780, 0, 0, 0, 2407, 88.17, 22301
2026/08/08 21:05:03.780, 1, 0, 0, 2325, 84.12, 1053
2026/08/08 21:05:03.880, 0, 0, 0, 2407, 88.13, 22301
2026/08/08 21:05:03.887, 1, 0, 0, 2325, 84.10, 1053
2026/08/08 21:05:03.987, 0, 0, 0, 2407, 88.12, 22303
2026/08/08 21:05:03.987, 1, 0, 0, 2325, 84.15, 1055
2026/08/08 21:05:04.087, 0, 0, 0, 2407, 88.17, 24639
2026/08/08 21:05:04.087, 1, 2, 0, 2325, 84.13, 1055
2026/08/08 21:05:04.188, 0, 0, 0, 2407, 89.09, 24673
2026/08/08 21:05:04.188, 1, 2, 0, 2325, 84.19, 1057
2026/08/08 21:05:04.288, 0, 2, 0, 2407, 89.08, 24673
2026/08/08 21:05:04.288, 1, 2, 0, 2325, 84.19, 1057
2026/08/08 21:05:04.388, 0, 2, 0, 2407, 89.07, 24673
2026/08/08 21:05:04.388, 1, 2, 0, 2325, 84.20, 1057
2026/08/08 21:05:04.488, 0, 2, 0, 2407, 88.18, 24675
2026/08/08 21:05:04.488, 1, 1, 0, 2325, 84.14, 1059
2026/08/08 21:05:04.588, 0, 2, 0, 2407, 88.09, 24675
2026/08/08 21:05:04.598, 1, 1, 0, 2325, 84.12, 1059
2026/08/08 21:05:04.698, 0, 2, 0, 2407, 88.10, 24675
2026/08/08 21:05:04.698, 1, 0, 0, 2325, 84.12, 1059
2026/08/08 21:05:04.798, 0, 2, 0, 2407, 88.03, 26949
2026/08/08 21:05:04.798, 1, 0, 0, 2325, 84.10, 1061
2026/08/08 21:05:04.898, 0, 45, 3, 2407, 88.97, 27013
2026/08/08 21:05:04.898, 1, 0, 0, 2325, 84.15, 1061
2026/08/08 21:05:04.999, 0, 45, 3, 2407, 89.07, 27013
2026/08/08 21:05:04.999, 1, 0, 0, 2325, 84.14, 1061
2026/08/08 21:05:05.099, 0, 0, 0, 2407, 88.99, 27015
2026/08/08 21:05:05.099, 1, 0, 0, 2325, 84.11, 1061
2026/08/08 21:05:05.199, 0, 0, 0, 2407, 88.14, 27015
2026/08/08 21:05:05.199, 1, 0, 0, 2325, 84.12, 1063
2026/08/08 21:05:05.299, 0, 0, 0, 2407, 88.13, 27015
2026/08/08 21:05:05.307, 1, 2, 0, 2325, 84.11, 1063
2026/08/08 21:05:05.407, 0, 0, 0, 2407, 88.22, 27017
2026/08/08 21:05:05.407, 1, 2, 0, 2325, 84.14, 1065
2026/08/08 21:05:05.507, 0, 2, 0, 2407, 88.17, 29321
2026/08/08 21:05:05.507, 1, 2, 0, 2325, 84.13, 1065
2026/08/08 21:05:05.607, 0, 2, 0, 2407, 89.16, 29387
