timestamp, index, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/08 21:01:36.648, 0, 0, 0, 2415, 85.89, 46001
2026/08/08 21:01:36.655, 1, 0, 0, 2325, 83.27, 56339
2026/08/08 21:01:36.760, 0, 0, 0, 2415, 85.89, 46417
2026/08/08 21:01:36.760, 1, 0, 0, 2325, 83.27, 56499
2026/08/08 21:01:36.860, 0, 0, 0, 2415, 85.79, 46545
2026/08/08 21:01:36.860, 1, 0, 0, 2325, 83.72, 56499
2026/08/08 21:01:36.960, 0, 50, 14, 2400, 102.10, 46545
2026/08/08 21:01:36.960, 1, 0, 0, 2325, 83.75, 56499
2026/08/08 21:01:37.060, 0, 50, 14, 2400, 121.93, 46545
2026/08/08 21:01:37.060, 1, 0, 0, 2325, 83.77, 56499
2026/08/08 21:01:37.161, 0, 91, 43, 2400, 142.18, 46545
2026/08/08 21:01:37.161, 1, 0, 0, 2325, 83.80, 56499
2026/08/08 21:01:37.261, 0, 91, 43, 2332, 160.99, 46545
2026/08/08 21:01:37.261, 1, 0, 0, 2325, 83.84, 56627
2026/08/08 21:01:37.361, 0, 71, 34, 2332, 162.50, 46545
2026/08/08 21:01:37.361, 1, 5, 2, 2325, 98.82, 56627
2026/08/08 21:01:37.461, 0, 71, 34, 2377, 158.71, 46545
2026/08/08 21:01:37.461, 1, 5, 2, 2310, 116.32, 56627
2026/08/08 21:01:37.561, 0, 0, 0, 2377, 223.73, 46545
2026/08/08 21:01:37.561, 1, 92, 59, 2310, 177.73, 56627
2026/08/08 21:01:37.661, 0, 0, 0, 2377, 211.55, 46545
2026/08/08 21:01:37.661, 1, 92, 59, 2310, 198.09, 56627
2026/08/08 21:01:37.761, 0, 0, 0, 2415, 201.52, 47025
2026/08/08 21:01:37.761, 1, 92, 59, 2287, 214.50, 57107
2026/08/08 21:01:37.861, 0, 0, 0, 2415, 236.68, 47025
2026/08/08 21:01:37.861, 1, 92, 59, 2287, 256.18, 57107
2026/08/08 21:01:37.961, 0, 75, 33, 2385, 253.63, 47025
2026/08/08 21:01:37.961, 1, 27, 10, 2317, 256.45, 57107
2026/08/08 21:01:38.061, 0, 75, 33, 2385, 257.46, 47025
2026/08/08 21:01:38.061, 1, 27, 10, 2317, 253.34, 57107
2026/08/08 21:01:38.161, 0, 90, 42, 2385, 255.58, 47025
2026/08/08 21:01:38.161, 1, 0, 0, 2317, 253.43, 57139
2026/08/08 21:01:38.261, 0, 90, 42, 2332, 238.80, 47025
2026/08/08 21:01:38.261, 1, 0, 0, 2325, 264.87, 57139
