timestamp, index, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/08 20:58:15.404, 0, 0, 0, 2415, 85.89, 46001
2026/08/08 20:58:15.411, 1, 0, 0, 2325, 82.78, 56339
2026/08/08 20:58:15.516, 0, 0, 0, 2415, 85.89, 46417
2026/08/08 20:58:15.516, 1, 0, 0, 2325, 82.78, 56499
2026/08/08 20:58:15.616, 0, 0, 0, 2415, 87.11, 46545
2026/08/08 20:58:15.616, 1, 0, 0, 2325, 85.16, 56499
2026/08/08 20:58:15.716, 0, 79, 35, 2400, 107.93, 46545
2026/08/08 20:58:15.716, 1, 0, 0, 2325, 87.23, 56499
2026/08/08 20:58:15.816, 0, 79, 35, 2400, 134.27, 46545
2026/08/08 20:58:15.816, 1, 0, 0, 2325, 86.99, 56499
2026/08/08 20:58:15.916, 0, 92, 43, 2400, 160.17, 46545
2026/08/08 20:58:15.916, 1, 0, 0, 2325, 86.79, 56499
2026/08/08 20:58:16.016, 0, 92, 43, 2332, 181.63, 46545
2026/08/08 20:58:16.016, 1, 0, 0, 2325, 86.62, 56627
2026/08/08 20:58:16.116, 0, 17, 9, 2332, 182.21, 46545
2026/08/08 20:58:16.116, 1, 60, 36, 2325, 108.78, 56627
2026/08/08 20:58:16.216, 0, 17, 9, 2377, 176.34, 46545
2026/08/08 20:58:16.216, 1, 60, 36, 2302, 128.42, 56627
2026/08/08 20:58:16.316, 0, 0, 0, 2377, 171.17, 46545
2026/08/08 20:58:16.316, 1, 92, 57, 2302, 143.98, 56627
2026/08/08 20:58:16.416, 0, 0, 0, 2377, 166.45, 46545
2026/08/08 20:58:16.416, 1, 92, 57, 2287, 160.44, 56627
2026/08/08 20:58:16.516, 0, 0, 0, 2415, 162.32, 47025
2026/08/08 20:58:16.516, 1, 93, 54, 2287, 171.39, 57107
2026/08/08 20:58:16.616, 0, 0, 0, 2415, 236.78, 47025
2026/08/08 20:58:16.616, 1, 93, 54, 2287, 255.98, 57107
2026/08/08 20:58:16.717, 0, 92, 47, 2377, 251.26, 47025
2026/08/08 20:58:16.717, 1, 0, 0, 2317, 256.23, 57107
2026/08/08 20:58:16.817, 0, 92, 47, 2377, 252.68, 47025
2026/08/08 20:58:16.817, 1, 0, 0, 2317, 253.06, 57107
2026/08/08 20:58:16.917, 0, 92, 43, 2377, 250.77, 47025
2026/08/08 20:58:16.917, 1, 0, 0, 2325, 256.35, 57139
2026/08/08 20:58:17.017, 0, 92, 43, 2340, 236.20, 47025
2026/08/08 20:58:17.017, 1, 0, 0, 2325, 270.90, 57139
2026/08/08 20:58:17.117, 0, 0, 0, 2340, 223.76, 47025
2026/08/08 20:58:17.117, 1, 92, 57, 2325, 271.28, 57139
2026/08/08 20:58:17.217, 0, 0, 0, 2392, 223.90, 47025
2026/08/08 20:58:17.217, 1, 92, 57, 2295, 270.95, 57139
2026/08/08 20:58:17.317, 0, 0, 0, 2392, 226.49, 47025
2026/08/08 20:58:17.317, 1, 93, 59, 2295, 276.15, 57139
2026/08/08 20:58:17.417, 0, 0, 0, 2392, 226.48, 47025
2026/08/08 20:58:17.417, 1, 93, 59, 2287, 277.42, 57139
2026/08/08 20:58:17.517, 0, 5, 2, 2415, 227.61, 47025
2026/08/08 20:58:17.517, 1, 95, 38, 2287, 264.57, 57139
2026/08/08 20:58:17.617, 0, 5, 2, 2415, 227.80, 47025
2026/08/08 20:58:17.617, 1, 95, 38, 2287, 270.33, 57139
2026/08/08 20:58:17.717, 0, 41, 11, 2385, 202.87, 47025
2026/08/08 20:58:17.717, 1, 51, 23, 2302, 281.49, 57139
2026/08/08 20:58:17.817, 0, 41, 11, 2385, 180.98, 47025
2026/08/08 20:58:17.817, 1, 51, 23, 2302, 299.53, 57139
2026/08/08 20:58:17.918, 0, 48, 14, 2385, 154.26, 47025
2026/08/08 20:58:17.918, 1, 56, 26, 2295, 311.19, 57139
2026/08/08 20:58:18.018, 0, 48, 14, 2362, 148.68, 47025
2026/08/08 20:58:18.018, 1, 56, 26, 2295, 314.95, 57139
