t	layer	current_mean	f16_mean	current_max	f16_max	band	argmax_passed	argmax_checked	argmax
2	3	1.394125528138e-3	4.817165330484e-5	9.995345117715e-3	4.824864594383e-4	PASS	2	2	PASS
2	4	1.245099916095e-3	6.711394476585e-5	7.365049595213e-3	4.400531223319e-4	PASS	2	2	PASS
2	5	1.576121475684e-3	7.611481084629e-5	1.125879498526e-2	5.596436586793e-4	PASS	2	2	PASS
2	6	1.538853786180e-3	1.050425988576e-4	1.079767781984e-2	7.111785686562e-4	PASS	2	2	PASS
2	7	1.881033346486e-3	1.068528557099e-4	1.135420035320e-2	5.597162527585e-4	PASS	2	2	PASS
2	8	1.394138184723e-3	6.205159041941e-5	9.591959643229e-3	4.686867633373e-4	PASS	2	2	PASS
2	9	1.012682414319e-3	4.570312031856e-5	7.593206901746e-3	3.690885013182e-4	PASS	2	2	PASS
2	10	4.944572760318e-4	2.934877301403e-5	3.665221562891e-3	3.604709289803e-4	PASS	2	2	PASS
2	11	1.812245628371e-3	1.179344971955e-4	1.021315373579e-2	6.048747334815e-4	PASS	2	2	PASS
2	12	1.654993720605e-3	9.333107424002e-5	1.269090234532e-2	6.347169280802e-4	PASS	2	2	PASS
2	13	1.777888840044e-3	9.114395024818e-5	9.226550564556e-3	4.775009841617e-4	PASS	2	2	PASS
2	14	1.127285552277e-3	8.868441637785e-5	9.607442184671e-3	6.107761403154e-4	PASS	2	2	PASS
2	15	1.996969324269e-3	1.243316294934e-4	9.884159614386e-3	6.828427812218e-4	PASS	2	2	PASS
2	16	7.125241269955e-4	3.828835646904e-5	5.899127979065e-3	3.426615421120e-4	PASS	2	2	PASS
2	17	7.658836669776e-4	3.491224497917e-5	6.255421642873e-3	4.216726679225e-4	PASS	2	2	PASS
2	18	2.135950696706e-4	3.672709187577e-5	1.792932644203e-3	4.969067331213e-4	PASS	2	2	PASS
2	19	1.646281981263e-3	9.662781109464e-5	7.245458218378e-3	4.782117523100e-4	PASS	2	2	PASS
2	20	1.109695917612e-3	6.106620047945e-5	7.470310070901e-3	6.429610422100e-4	PASS	2	2	PASS
2	21	2.966827758868e-4	1.916687857976e-5	2.796986577140e-3	1.852885568539e-4	PASS	2	2	PASS
2	22	6.710813332675e-4	4.221503512061e-5	4.379790003290e-3	3.954885306194e-4	PASS	2	2	PASS
2	23	2.034173697550e-3	1.262228283026e-4	1.125785808135e-2	6.716210742500e-4	PASS	2	2	PASS
2	24	1.271506752403e-3	6.151435640403e-5	8.054098252046e-3	5.283117344195e-4	PASS	2	2	PASS
2	25	9.579005879573e-4	7.908562398143e-5	6.304393314878e-3	9.171060405967e-4	PASS	2	2	PASS
2	26	5.247388790730e-4	3.994592207087e-5	3.943839967500e-3	3.798413718628e-4	PASS	2	2	PASS
2	27	1.986252657591e-3	1.316359788465e-4	1.159902888287e-2	7.929891418333e-4	PASS	2	2	PASS
2	28	2.107540600088e-3	1.413497401528e-4	1.096957237604e-2	6.338352912739e-4	PASS	2	2	PASS
2	29	8.495773873957e-4	4.458920596209e-5	6.615474289506e-3	3.606021416204e-4	PASS	2	2	PASS
2	30	1.902609307399e-3	1.376237358275e-4	1.086935664856e-2	9.682910181145e-4	PASS	2	2	PASS
2	31	9.948489749928e-4	5.260816079109e-5	6.236696822290e-3	5.307242811533e-4	PASS	2	2	PASS
