timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/22 23:45:25.001, 0, 0 %, 2 MiB, 12.68 W, 180 MHz
2026/09/22 23:45:25.001, 1, 0 %, 2 MiB, 8.45 W, 180 MHz
2026/09/22 23:45:25.251, 0, 0 %, 2 MiB, 12.54 W, 180 MHz
2026/09/22 23:45:25.293, 1, 0 %, 2 MiB, 8.16 W, 180 MHz
2026/09/22 23:45:25.543, 0, 0 %, 36 MiB, 12.54 W, 180 MHz
2026/09/22 23:45:25.543, 1, 0 %, 4 MiB, 8.16 W, 180 MHz
2026/09/22 23:45:25.793, 0, 0 %, 724 MiB, 18.34 W, 172 MHz
2026/09/22 23:45:25.793, 1, 0 %, 724 MiB, 9.72 W, 180 MHz
2026/09/22 23:45:26.043, 0, 0 %, 788 MiB, 18.34 W, 172 MHz
2026/09/22 23:45:26.043, 1, 0 %, 788 MiB, 9.72 W, 180 MHz
2026/09/22 23:45:26.293, 0, 0 %, 2804 MiB, 41.94 W, 2617 MHz
2026/09/22 23:45:26.293, 1, 0 %, 788 MiB, 33.40 W, 2617 MHz
2026/09/22 23:45:26.544, 0, 0 %, 6260 MiB, 41.94 W, 2617 MHz
2026/09/22 23:45:26.544, 1, 0 %, 2804 MiB, 33.40 W, 2617 MHz
2026/09/22 23:45:26.794, 0, 11 %, 6260 MiB, 66.21 W, 2617 MHz
2026/09/22 23:45:26.794, 1, 36 %, 2804 MiB, 56.04 W, 2617 MHz
2026/09/22 23:45:27.044, 0, 11 %, 6260 MiB, 66.21 W, 2617 MHz
2026/09/22 23:45:27.044, 1, 36 %, 2804 MiB, 56.04 W, 2617 MHz
2026/09/22 23:45:27.294, 0, 0 %, 6260 MiB, 66.57 W, 2617 MHz
2026/09/22 23:45:27.294, 1, 0 %, 2804 MiB, 59.97 W, 2610 MHz
2026/09/22 23:45:27.545, 0, 0 %, 6260 MiB, 66.57 W, 2617 MHz
2026/09/22 23:45:27.545, 1, 0 %, 2804 MiB, 59.97 W, 2610 MHz
2026/09/22 23:45:27.795, 0, 0 %, 6260 MiB, 63.72 W, 2610 MHz
2026/09/22 23:45:27.795, 1, 0 %, 2804 MiB, 58.78 W, 2610 MHz
2026/09/22 23:45:28.045, 0, 0 %, 6260 MiB, 63.72 W, 2610 MHz
2026/09/22 23:45:28.045, 1, 0 %, 2804 MiB, 58.78 W, 2610 MHz
2026/09/22 23:45:28.295, 0, 0 %, 6292 MiB, 62.45 W, 2610 MHz
