procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 111157504 1196964 305602468    0    0    58  1233 1677    0  1  0 99  0  0  0
 1  0      0 110807928 1196964 305610540    0    0     0     0 2989 2470  1  1 98  0  0  0
 1  0      0 110544124 1196964 305610540    0    0     0     0 2087 2110  2  0 98  0  0  0
 1  0      0 110542316 1196964 305610708    0    0     0    28 3887 2739  2  0 98  0  0  0
 1  0      0 110543400 1196964 305610700    0    0     0     0 2351 2342  2  0 98  0  0  0
 1  0      0 110543400 1196972 305610700    0    0     0    36 2111 2020  2  0 98  0  0  0
 1  0      0 110543400 1196972 305610704    0    0     0     0 2151 2119  2  0 98  0  0  0
 1  0      0 110543400 1196972 305610704    0    0     0     0 2073 1997  2  0 98  0  0  0
 1  0      0 110543400 1196972 305610704    0    0     0     4 2086 2003  2  0 98  0  0  0
 1  0      0 110543400 1196972 305610704    0    0     0     0 2105 1998  2  0 98  0  0  0
 1  0      0 110543400 1196980 305610704    0    0     0    20 2153 2101  2  0 98  0  0  0
 1  0      0 110543400 1196980 305610704    0    0     0   116 2102 2017  2  0 98  0  0  0
 1  0      0 110535588 1196980 305610704    0    0     0     0 2092 1990  2  0 98  0  0  0
 1  0      0 110535588 1196980 305610704    0    0     0    80 2154 2035  2  0 98  0  0  0
 1  0      0 110534076 1196980 305610708    0    0     0     0 2182 2111  2  0 98  0  0  0
 1  0      0 110532564 1196988 305610708    0    0     0    12 2101 2008  2  0 98  0  0  0
 1  0      0 110532564 1196988 305610708    0    0     0 10776 2267 2195  2  0 98  0  0  0
 1  0      0 110526772 1196988 305610716    0    0     0     0 4138 3047  2  0 98  0  0  0
 1  0      0 110526372 1196988 305610720    0    0     0     0 3984 3130  2  0 98  0  0  0
 1  0      0 110526712 1196988 305610720    0    0     0     4 2441 2369  2  0 98  0  0  0
 1  0      0 110525460 1196988 305610712    0    0     0     0 2169 2302  2  0 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 110523696 1196996 305610712    0    0     0    20 2198 2096  2  0 98  0  0  0
 1  0      0 110522184 1196996 305610712    0    0     0     0 2199 2114  2  0 98  0  0  0
 1  0      0 110521680 1196996 305610712    0    0     0     0 2126 1992  2  0 98  0  0  0
 1  0      0 110520168 1196996 305610712    0    0     0     0 2124 2022  2  0 98  0  0  0
 1  0      0 110518656 1196996 305610712    0    0     0     0 2140 2007  2  0 98  0  0  0
 1  0      0 110517144 1197004 305610712    0    0     0    12 2199 2105  2  0 98  0  0  0
 1  0      0 110515128 1197004 305610716    0    0     0     0 2133 1992  2  0 98  0  0  0
 1  0      0 110511096 1197004 305610716    0    0     0     0 2134 1976  2  0 98  0  0  0
 1  0      0 110511096 1197004 305610716    0    0     0     0 2088 1982  2  0 98  0  0  0
 1  0      0 110511096 1197004 305610716    0    0     0     0 2052 2095  2  0 98  0  0  0
 1  0      0 110510844 1197012 305610716    0    0     0    12 2002 2002  2  0 98  0  0  0
 1  0      0 110509080 1197012 305610716    0    0     0     0 2000 1991  2  0 98  0  0  0
 1  0      0 110507568 1197012 305610716    0    0     0     0 2009 1998  2  0 98  0  0  0
 1  0      0 110506560 1197012 305610716    0    0     0    48 2089 2117  2  0 98  0  0  0
 1  0      0 110505552 1197012 305610716    0    0     0     0 2000 1999  2  0 98  0  0  0
 1  0      0 110504040 1197020 305610716    0    0     0    20 2006 1999  2  0 98  0  0  0
 1  0      0 110502528 1197020 305610720    0    0     0     0 2006 2021  2  0 98  0  0  0
 2  0      0 110822568 1197020 305610720    0    0     0     0 2139 2126  2  0 98  0  0  0
 1  0      0 110531472 1197020 305610720    0    0     0     0 3852 2991  2  0 98  0  0  0
 1  0      0 110531472 1197020 305610724    0    0     0     0 2004 1999  2  0 98  0  0  0
 1  0      0 110531472 1197028 305610724    0    0     0    56 2011 2022  2  0 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 110531472 1197028 305610724    0    0     0     0 2056 2092  2  0 98  0  0  0
 1  0      0 110531472 1197028 305610724    0    0     0     0 2006 1996  2  0 98  0  0  0
 1  0      0 110531472 1197028 305610724    0    0     0     0 2002 2011  2  0 98  0  0  0
 1  0      0 110531472 1197028 305610724    0    0     0     0 2009 2005  2  0 98  0  0  0
 1  0      0 110531472 1197036 305610724    0    0     0    20 2090 2149  2  0 98  0  0  0
 1  0      0 110531472 1197040 305610720    0    0     0  6772 2054 2078  2  0 98  0  0  0
 1  0      0 110531472 1197040 305610720    0    0     0     0 1997 1997  2  0 98  0  0  0
 1  0      0 110523912 1197040 305610720    0    0     0     0 2004 1984  2  0 98  0  0  0
 1  0      0 110523156 1197040 305610720    0    0     0     0 2069 2109  2  0 98  0  0  0
 1  0      0 110521644 1197048 305610720    0    0     0    12 2011 1995  2  0 98  0  0  0
 1  0      0 110520132 1197048 305610720    0    0     0     0 1998 1993  2  0 98  0  0  0
 1  0      0 110517868 1197048 305610732    0    0     0  3120 2046 2085  2  0 98  0  0  0
 2  0      0 110497300 1197048 305610744    0    0     0     0 3124 2614  2  0 98  0  0  0
 1  0      0 110496732 1197048 305610732    0    0     0     4 3823 2755  2  0 98  0  0  0
 2  0      0 110493456 1197056 305610732    0    0     0    12 2045 2089  2  0 98  0  0  0
 1  0      0 110493456 1197056 305610732    0    0     0     0 2018 2010  2  0 98  0  0  0
 1  0      0 110491944 1197056 305610732    0    0     0     0 2057 2088  2  0 98  0  0  0
 1  0      0 110490432 1197056 305610732    0    0     0     0 1993 1997  2  0 98  0  0  0
 1  0      0 110489928 1197056 305610732    0    0     0     0 1998 2014  2  0 98  0  0  0
 1  0      0 110489928 1197064 305610732    0    0     0    12 2014 2011  2  0 98  0  0  0
 1  0      0 110489928 1197064 305610732    0    0     0     0 2065 2085  2  0 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 110489928 1197064 305610732    0    0     0     0 2025 1992  2  0 98  0  0  0
 1  0      0 110489928 1197064 305610732    0    0     0     0 2029 1994  2  0 98  0  0  0
 1  0      0 110488920 1197064 305610732    0    0     0    28 2079 2028  2  0 98  0  0  0
 2  0      0 110486904 1197072 305610732    0    0     0    20 2171 2133  2  0 98  0  0  0
 1  0      0 110485896 1197072 305610732    0    0     0     0 2111 2010  2  0 98  0  0  0
 1  0      0 110484384 1197072 305610732    0    0     0     0 2369 2191  2  0 98  0  0  0
 1  0      0 110482116 1197072 305610740    0    0     0     0 4191 2981  2  0 98  0  0  0
 1  0      0 110481612 1197072 305610752    0    0     0     4 2211 2142  2  0 98  0  0  0
 1  0      0 110481612 1197080 305610752    0    0     0    12 2227 2050  2  0 98  0  0  0
 1  0      0 110481612 1197080 305610752    0    0     0     0 2076 2026  2  0 98  0  0  0
