timestamp, uuid, memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/21 03:22:32.283, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 0, 97250, 0, 35.01, 31
2026/09/21 03:22:32.542, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 22, 97229, 0, 36.04, 31
2026/09/21 03:22:32.793, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 629, 96622, 8, 44.15, 32
2026/09/21 03:22:33.043, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 629, 96622, 0, 52.60, 32
2026/09/21 03:22:33.293, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 629, 96622, 1, 56.70, 32
2026/09/21 03:22:33.543, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 17, 97.09, 34
2026/09/21 03:22:33.793, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 96.89, 33
2026/09/21 03:22:34.043, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 96.90, 33
2026/09/21 03:22:34.294, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 96.85, 33
2026/09/21 03:22:34.544, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.52, 33
2026/09/21 03:22:34.794, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.40, 33
2026/09/21 03:22:35.044, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.40, 33
2026/09/21 03:22:35.294, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.40, 33
2026/09/21 03:22:35.544, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.74, 33
2026/09/21 03:22:35.794, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.76, 33
2026/09/21 03:22:36.044, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.70, 33
2026/09/21 03:22:36.294, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.68, 33
2026/09/21 03:22:36.544, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.66, 33
2026/09/21 03:22:36.794, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.66, 33
2026/09/21 03:22:37.044, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.66, 33
2026/09/21 03:22:37.295, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.66, 33
2026/09/21 03:22:37.545, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.20, 33
2026/09/21 03:22:37.795, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.20, 33
2026/09/21 03:22:38.045, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.20, 33
