timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/23 00:16:10.437, 0, 0 %, 2 MiB, 14.32 W, 180 MHz
2026/09/23 00:16:10.444, 1, 0 %, 2 MiB, 8.59 W, 180 MHz
2026/09/23 00:16:10.700, 0, 0 %, 2 MiB, 14.32 W, 180 MHz
2026/09/23 00:16:10.720, 1, 0 %, 2 MiB, 9.55 W, 180 MHz
2026/09/23 00:16:10.970, 0, 0 %, 4 MiB, 15.34 W, 180 MHz
2026/09/23 00:16:10.970, 1, 0 %, 4 MiB, 9.55 W, 180 MHz
2026/09/23 00:16:11.221, 0, 0 %, 4 MiB, 15.34 W, 180 MHz
2026/09/23 00:16:11.221, 1, 0 %, 4 MiB, 11.52 W, 180 MHz
2026/09/23 00:16:11.471, 0, 0 %, 4 MiB, 18.37 W, 180 MHz
2026/09/23 00:16:11.471, 1, 0 %, 4 MiB, 11.52 W, 180 MHz
2026/09/23 00:16:11.721, 0, 0 %, 4 MiB, 18.37 W, 180 MHz
2026/09/23 00:16:11.721, 1, 0 %, 4 MiB, 14.85 W, 180 MHz
2026/09/23 00:16:11.971, 0, 0 %, 4 MiB, 22.32 W, 180 MHz
2026/09/23 00:16:11.971, 1, 0 %, 4 MiB, 14.85 W, 180 MHz
2026/09/23 00:16:12.221, 0, 0 %, 4 MiB, 22.32 W, 180 MHz
2026/09/23 00:16:12.222, 1, 0 %, 4 MiB, 14.85 W, 180 MHz
2026/09/23 00:16:12.472, 0, 0 %, 4 MiB, 21.33 W, 180 MHz
2026/09/23 00:16:12.472, 1, 0 %, 4 MiB, 14.85 W, 180 MHz
2026/09/23 00:16:12.722, 0, 0 %, 4 MiB, 21.33 W, 180 MHz
2026/09/23 00:16:12.722, 1, 0 %, 4 MiB, 14.85 W, 180 MHz
2026/09/23 00:16:12.972, 0, 0 %, 4 MiB, 21.33 W, 180 MHz
2026/09/23 00:16:12.972, 1, 0 %, 4 MiB, 14.85 W, 180 MHz
2026/09/23 00:16:13.222, 0, 0 %, 4 MiB, 21.33 W, 180 MHz
2026/09/23 00:16:13.222, 1, 0 %, 4 MiB, 9.45 W, 180 MHz
2026/09/23 00:16:13.472, 0, 0 %, 4 MiB, 16.25 W, 180 MHz
2026/09/23 00:16:13.473, 1, 0 %, 4 MiB, 9.45 W, 180 MHz
2026/09/23 00:16:13.723, 0, 0 %, 4 MiB, 16.25 W, 180 MHz
2026/09/23 00:16:13.723, 1, 0 %, 4 MiB, 9.45 W, 180 MHz
2026/09/23 00:16:13.973, 0, 0 %, 4 MiB, 16.25 W, 180 MHz
2026/09/23 00:16:13.974, 1, 0 %, 4 MiB, 9.45 W, 180 MHz
2026/09/23 00:16:14.226, 0, 0 %, 4 MiB, 15.54 W, 180 MHz
2026/09/23 00:16:14.227, 1, 0 %, 4 MiB, 9.04 W, 180 MHz
2026/09/23 00:16:14.477, 0, 0 %, 4 MiB, 15.54 W, 180 MHz
2026/09/23 00:16:14.477, 1, 0 %, 4 MiB, 9.04 W, 180 MHz
2026/09/23 00:16:14.727, 0, 0 %, 4 MiB, 15.54 W, 180 MHz
2026/09/23 00:16:14.727, 1, 0 %, 4 MiB, 9.04 W, 180 MHz
2026/09/23 00:16:14.977, 0, 0 %, 4 MiB, 15.54 W, 180 MHz
2026/09/23 00:16:14.977, 1, 0 %, 4 MiB, 9.04 W, 180 MHz
2026/09/23 00:16:15.227, 0, 0 %, 4 MiB, 15.44 W, 180 MHz
