Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
89.6,28134478,12200,2306.1,2240.0,2143,2848,130.2,[CUDA memcpy Device-to-Device]
8.3,2591202,4328,598.7,512.0,352,10688,835.8,[CUDA memcpy Device-to-Host]
2.0,637400,1504,423.8,288.0,256,960,166.6,[CUDA memcpy Host-to-Device]
0.1,44032,32,1376.0,1376.0,1344,1408,18.2,[CUDA memcpy Peer-to-Peer]
