ts,gpu0_mib,gpu1_mib,gpu2_mib,gpu3_mib
2026-08-31T16:34:26Z,7126,6934,6934,5942
2026-08-31T16:34:31Z,40024,39320,38614,5974
2026-08-31T16:34:36Z,40026,39322,39258,38490
2026-08-31T16:34:41Z,48474,44730,44762,60090
2026-08-31T16:34:46Z,48506,47834,44762,60090
2026-08-31T16:34:51Z,48506,47962,47866,60090
2026-08-31T16:34:57Z,48506,47962,47994,63226
2026-08-31T16:35:02Z,48634,47962,47994,63226
2026-08-31T16:35:07Z,48634,48186,47994,63226
2026-08-31T16:35:12Z,48634,48186,48186,63226
2026-08-31T16:35:17Z,48634,48186,48186,63322
2026-08-31T16:35:22Z,48634,48186,48186,63322
2026-08-31T16:35:27Z,48634,48186,48186,63322
2026-08-31T16:35:32Z,48634,48186,48218,63322
2026-08-31T16:35:37Z,48666,48186,48218,63386
2026-08-31T16:35:42Z,48666,48186,48218,63386
2026-08-31T16:35:47Z,48666,48186,48218,63386
2026-08-31T16:35:52Z,48666,48186,48218,63386
2026-08-31T16:35:57Z,48666,48186,48218,63450
2026-08-31T16:36:02Z,48666,48186,48218,63450
2026-08-31T16:36:07Z,48666,48186,48218,63450
2026-08-31T16:36:12Z,48666,48186,48218,63450
2026-08-31T16:36:17Z,48730,48186,48218,63450
2026-08-31T16:36:22Z,48730,48186,48218,63450
2026-08-31T16:36:27Z,48730,48186,48218,63450
2026-08-31T16:36:33Z,48730,48186,48218,63450
2026-08-31T16:36:38Z,48730,48186,48218,63450
2026-08-31T16:36:43Z,48730,48186,48218,63450
2026-08-31T16:36:48Z,48730,48186,48218,63450
2026-08-31T16:36:53Z,48730,48186,48218,63450
2026-08-31T16:36:58Z,48730,48186,48218,63450
2026-08-31T16:37:03Z,48730,48186,48218,63450
2026-08-31T16:37:08Z,48730,48186,48218,63450
2026-08-31T16:37:13Z,48730,48186,48218,63450
2026-08-31T16:37:18Z,48730,48186,48218,63450
2026-08-31T16:37:23Z,48730,48314,48218,63450
2026-08-31T16:37:28Z,48730,48314,48314,63450
2026-08-31T16:37:33Z,48730,48314,48314,63450
2026-08-31T16:37:38Z,48730,48314,48314,63450
2026-08-31T16:37:43Z,48730,48314,48314,63450
2026-08-31T16:37:48Z,48730,48314,48314,63450
2026-08-31T16:37:53Z,48730,48314,48314,63450
2026-08-31T16:37:58Z,48730,48314,48314,63450
2026-08-31T16:38:03Z,48730,48346,48346,63450
2026-08-31T16:38:08Z,48730,48346,48378,63450
2026-08-31T16:38:14Z,48730,48346,48378,63450
2026-08-31T16:38:19Z,48730,48346,48378,63450
2026-08-31T16:38:24Z,48730,48346,48378,63450
2026-08-31T16:38:29Z,48730,48346,48378,63450
2026-08-31T16:38:34Z,48730,48346,48378,63450
2026-08-31T16:38:39Z,48730,48410,48378,63450
2026-08-31T16:38:44Z,48730,48410,48378,63450
2026-08-31T16:38:49Z,48730,48410,48410,63450
2026-08-31T16:38:54Z,48730,48410,48410,63642
2026-08-31T16:38:59Z,48730,48410,48410,63642
2026-08-31T16:39:04Z,48730,48410,48410,63642
2026-08-31T16:39:09Z,48730,48410,48410,63674
2026-08-31T16:39:14Z,48826,48410,48410,63674
2026-08-31T16:39:19Z,48826,48442,48410,63674
2026-08-31T16:39:24Z,48826,48442,48410,63674
2026-08-31T16:39:29Z,48826,48442,48442,63674
2026-08-31T16:39:34Z,48826,48442,48442,63674
2026-08-31T16:39:39Z,48826,48442,48442,63674
2026-08-31T16:39:44Z,48826,48442,48442,63674
2026-08-31T16:39:50Z,48826,48442,48442,63674
2026-08-31T16:39:55Z,48826,48442,48442,63674
2026-08-31T16:40:00Z,48826,48442,48442,63674
2026-08-31T16:40:05Z,48826,48442,48442,63674
2026-08-31T16:40:10Z,48826,48442,48442,63674
2026-08-31T16:40:15Z,48826,48442,48442,63674
2026-08-31T16:40:20Z,48826,48442,48442,63674
2026-08-31T16:40:25Z,48826,48442,48442,63674
2026-08-31T16:40:30Z,48826,48442,48442,63674
2026-08-31T16:40:35Z,48826,48442,48442,63674
2026-08-31T16:40:40Z,48826,48442,48442,63674
2026-08-31T16:40:45Z,48826,48442,48442,63674
2026-08-31T16:40:50Z,48826,48442,48442,63674
2026-08-31T16:40:55Z,48826,48442,48442,63674
2026-08-31T16:41:00Z,48826,48442,48442,63674
2026-08-31T16:41:05Z,48826,48442,48442,63674
2026-08-31T16:41:10Z,48826,48442,48442,63674
2026-08-31T16:41:15Z,48826,48442,48442,63674
2026-08-31T16:41:20Z,48826,48442,48442,63674
2026-08-31T16:41:25Z,48826,48442,48442,63674
2026-08-31T16:41:31Z,48826,48442,48442,63674
2026-08-31T16:41:36Z,48826,48442,48442,63674
2026-08-31T16:41:41Z,48826,48442,48442,63674
2026-08-31T16:41:46Z,48826,48442,48442,63674
2026-08-31T16:41:51Z,48826,48442,48442,63674
2026-08-31T16:41:56Z,48826,48442,48442,63674
2026-08-31T16:42:01Z,48826,48442,48442,63674
2026-08-31T16:42:06Z,48826,48442,48442,63674
2026-08-31T16:42:11Z,48826,48442,48442,63674
2026-08-31T16:42:16Z,48826,48442,48442,63674
2026-08-31T16:42:21Z,48826,48442,48442,63674
2026-08-31T16:42:26Z,48826,48442,48442,63674
2026-08-31T16:42:31Z,48826,48442,48442,63674
2026-08-31T16:42:36Z,48826,48442,48442,63674
2026-08-31T16:42:41Z,48826,48442,48442,63674
2026-08-31T16:42:46Z,48826,48442,48442,63674
2026-08-31T16:42:51Z,48826,48442,48442,63674
2026-08-31T16:42:56Z,48826,48442,48442,63674
2026-08-31T16:43:01Z,48826,48442,48442,63674
2026-08-31T16:43:07Z,48826,48442,48442,63674
2026-08-31T16:43:12Z,48826,48442,48442,63674
2026-08-31T16:43:17Z,48826,48442,48442,63674
2026-08-31T16:43:22Z,48826,48442,48442,63674
2026-08-31T16:43:27Z,48826,48442,48442,63674
2026-08-31T16:43:32Z,48826,48442,48442,63674
2026-08-31T16:43:37Z,48826,48442,48442,63674
2026-08-31T16:43:42Z,48826,48442,48442,63674
2026-08-31T16:43:47Z,48826,48442,48442,63674
2026-08-31T16:43:52Z,48826,48442,48442,63674
2026-08-31T16:43:57Z,48826,48442,48442,63674
2026-08-31T16:44:02Z,48826,48442,48442,63674
2026-08-31T16:44:07Z,48826,48442,48442,63674
2026-08-31T16:44:12Z,48826,48442,48442,63674
2026-08-31T16:44:17Z,48826,48442,48442,63674
2026-08-31T16:44:22Z,48826,48442,48442,63706
2026-08-31T16:44:27Z,48826,48442,48442,63706
2026-08-31T16:44:32Z,48826,48442,48442,63706
2026-08-31T16:44:37Z,48826,48442,48442,63706
2026-08-31T16:44:43Z,48826,48442,48442,63706
2026-08-31T16:44:48Z,48826,48442,48442,63706
2026-08-31T16:44:53Z,48826,48442,48442,63706
2026-08-31T16:44:58Z,48826,48442,48442,63706
2026-08-31T16:45:03Z,48826,48442,48474,63706
2026-08-31T16:45:08Z,48826,48442,48474,63706
2026-08-31T16:45:13Z,48826,48474,48474,63706
2026-08-31T16:45:18Z,48826,48474,48474,63706
2026-08-31T16:45:23Z,48826,48474,48474,63706
2026-08-31T16:45:28Z,48826,48474,48474,63706
2026-08-31T16:45:33Z,48826,48474,48474,63706
2026-08-31T16:45:38Z,48826,48474,48506,63706
2026-08-31T16:45:43Z,48826,48474,48506,63738
2026-08-31T16:45:48Z,48826,48506,48506,63738
2026-08-31T16:45:53Z,48826,48506,48506,63738
2026-08-31T16:45:58Z,48826,48506,48506,63738
2026-08-31T16:46:03Z,48826,48506,48506,63738
2026-08-31T16:46:08Z,48826,48506,48506,63738
2026-08-31T16:46:13Z,48826,48506,48506,63738
2026-08-31T16:46:18Z,48826,48506,48538,63738
2026-08-31T16:46:24Z,48826,48506,48538,63738
2026-08-31T16:46:29Z,48826,48538,48538,63738
2026-08-31T16:46:34Z,48826,48538,48538,63738
2026-08-31T16:46:39Z,48826,48538,48538,63738
2026-08-31T16:46:44Z,48826,48538,48538,63802
2026-08-31T16:46:49Z,48826,48538,48538,63802
2026-08-31T16:46:54Z,48826,48538,48538,63802
2026-08-31T16:46:59Z,48826,48538,48570,63802
2026-08-31T16:47:04Z,48826,48538,48570,63834
2026-08-31T16:47:09Z,48826,48570,48570,63834
2026-08-31T16:47:14Z,48826,48570,48570,63834
2026-08-31T16:47:19Z,48826,48570,48570,63834
2026-08-31T16:47:24Z,48826,48570,48570,63834
2026-08-31T16:47:29Z,48826,48570,48570,63834
2026-08-31T16:47:34Z,48826,48570,48570,63834
2026-08-31T16:47:39Z,48826,48570,48602,63834
2026-08-31T16:47:44Z,48826,48570,48602,63866
2026-08-31T16:47:49Z,48826,48602,48602,63866
2026-08-31T16:47:54Z,48826,48602,48602,63866
2026-08-31T16:48:00Z,48826,48602,48602,63866
2026-08-31T16:48:05Z,48826,48602,48602,63866
2026-08-31T16:48:10Z,48826,48602,48602,63866
2026-08-31T16:48:15Z,48826,48602,48602,63866
2026-08-31T16:48:20Z,48826,48602,48634,63866
2026-08-31T16:48:25Z,48826,48602,48634,63866
2026-08-31T16:48:30Z,48826,48602,48634,63866
2026-08-31T16:48:35Z,48826,48602,48634,63866
2026-08-31T16:48:40Z,48826,48602,48634,63866
2026-08-31T16:48:45Z,48826,48602,48634,63866
2026-08-31T16:48:50Z,48826,48602,48634,63866
2026-08-31T16:48:55Z,48826,48602,48634,63866
2026-08-31T16:49:00Z,48826,48602,48634,63866
2026-08-31T16:49:05Z,48858,48602,48634,63866
2026-08-31T16:49:10Z,48858,48602,48634,63866
2026-08-31T16:49:15Z,48858,48602,48634,63866
2026-08-31T16:49:20Z,48922,48602,48634,63866
2026-08-31T16:49:25Z,48922,48602,48634,63866
2026-08-31T16:49:30Z,48922,48602,48634,63866
2026-08-31T16:49:35Z,48922,48602,48634,63866
2026-08-31T16:49:41Z,48922,48602,48634,63866
2026-08-31T16:49:46Z,48922,48602,48634,63866
2026-08-31T16:49:51Z,48922,48602,48634,63866
2026-08-31T16:49:56Z,48922,48602,48634,63866
2026-08-31T16:50:01Z,48922,48602,48634,63866
2026-08-31T16:50:06Z,48922,48602,48634,63866
2026-08-31T16:50:11Z,48922,48602,48634,63866
2026-08-31T16:50:16Z,48922,48602,48634,63866
2026-08-31T16:50:21Z,48922,48602,48634,63866
2026-08-31T16:50:26Z,48922,48602,48634,63866
2026-08-31T16:50:31Z,48922,48602,48634,63866
2026-08-31T16:50:36Z,48922,48602,48634,63866
2026-08-31T16:50:41Z,48922,48602,48634,63866
2026-08-31T16:50:46Z,48922,48602,48634,63866
2026-08-31T16:50:51Z,48922,48602,48634,63866
2026-08-31T16:50:56Z,48922,48602,48634,63866
2026-08-31T16:51:01Z,48922,48602,48634,63866
2026-08-31T16:51:06Z,48922,48602,48634,63866
2026-08-31T16:51:11Z,48922,48602,48634,63866
2026-08-31T16:51:17Z,48922,48602,48634,63866
2026-08-31T16:51:22Z,48922,48602,48634,63866
2026-08-31T16:51:27Z,48922,48602,48634,63866
2026-08-31T16:51:32Z,48922,48602,48634,63866
2026-08-31T16:51:37Z,48922,48602,48634,63866
2026-08-31T16:51:42Z,48986,48602,48634,63866
2026-08-31T16:51:47Z,48986,48602,48634,63866
2026-08-31T16:51:52Z,48986,48602,48634,63866
2026-08-31T16:51:57Z,48986,48602,48634,63866
2026-08-31T16:52:02Z,48986,48602,48634,63866
2026-08-31T16:52:07Z,48986,48602,48634,63866
2026-08-31T16:52:12Z,48986,48602,48634,63866
2026-08-31T16:52:17Z,48986,48602,48634,63866
2026-08-31T16:52:22Z,48986,48602,48634,63866
2026-08-31T16:52:27Z,48986,48602,48634,63866
2026-08-31T16:52:32Z,48986,48602,48634,63866
2026-08-31T16:52:37Z,48986,48602,48634,63866
2026-08-31T16:52:42Z,49018,48602,48634,63866
2026-08-31T16:52:47Z,49018,48602,48634,63866
2026-08-31T16:52:53Z,49018,48602,48634,63866
2026-08-31T16:52:58Z,49018,48602,48634,63866
2026-08-31T16:53:03Z,49018,48602,48634,63866
2026-08-31T16:53:08Z,49018,48602,48634,63866
2026-08-31T16:53:13Z,49018,48602,48634,63866
2026-08-31T16:53:18Z,49018,48602,48634,63866
2026-08-31T16:53:23Z,49082,48602,48634,63866
2026-08-31T16:53:28Z,49082,48602,48634,63866
2026-08-31T16:53:33Z,49082,48602,48634,63866
2026-08-31T16:53:38Z,49082,48602,48634,63866
2026-08-31T16:53:43Z,49082,48602,48634,63898
2026-08-31T16:53:48Z,49082,48634,48634,63898
2026-08-31T16:53:53Z,49082,48634,48634,63898
2026-08-31T16:53:58Z,49082,48634,48634,63898
2026-08-31T16:54:03Z,49082,48634,48634,63898
2026-08-31T16:54:08Z,49082,48634,48634,63898
2026-08-31T16:54:13Z,49082,48634,48634,63898
2026-08-31T16:54:18Z,49082,48634,48666,63898
2026-08-31T16:54:23Z,49114,48634,48666,63898
2026-08-31T16:54:28Z,49114,48666,48666,63898
2026-08-31T16:54:34Z,49114,48666,48666,63898
2026-08-31T16:54:39Z,49114,48666,48666,63898
2026-08-31T16:54:44Z,49146,48666,48666,63930
2026-08-31T16:54:49Z,49146,48666,48666,63930
2026-08-31T16:54:54Z,49146,48666,48666,63930
2026-08-31T16:54:59Z,49146,48666,48698,63930
2026-08-31T16:55:04Z,49146,48666,48698,63930
2026-08-31T16:55:09Z,49146,48698,48698,63930
2026-08-31T16:55:14Z,49146,48698,48698,63930
2026-08-31T16:55:19Z,49146,48698,48698,63930
2026-08-31T16:55:24Z,49146,48698,48698,63962
2026-08-31T16:55:29Z,49146,48698,48698,63962
2026-08-31T16:55:34Z,49146,48698,48698,63962
2026-08-31T16:55:39Z,49146,48698,48698,63962
2026-08-31T16:55:44Z,49306,48698,48698,63962
2026-08-31T16:55:49Z,49306,48698,48698,63962
2026-08-31T16:55:54Z,49306,48698,48698,63962
2026-08-31T16:55:59Z,49306,48698,48698,63962
2026-08-31T16:56:04Z,49306,48698,48698,63962
2026-08-31T16:56:10Z,49306,48698,48698,63962
2026-08-31T16:56:15Z,49306,48698,48698,63962
2026-08-31T16:56:20Z,49306,48698,48698,63962
2026-08-31T16:56:25Z,49306,48698,48698,63962
2026-08-31T16:56:30Z,49306,48698,48698,63962
