boot,arm,kind,prompt_tokens,completion_tokens,cached_tokens,ttft_s,wall_s,decode_tps,output_sha256
cold-131k-r1-off,off,cold-131k,131070,128,0,67.78775908309035,69.9562476221472,58.56613844739825,a0524426bf625b99d5b1443c1af1242a0ad1b668f99265e757fc2df298d29c1a
cold-131k-r1-on,on,cold-131k,131070,128,0,63.35542170214467,65.40568421804346,61.943287269399136,6919b2d791a897a387676c27c26dbe763c7860196608691022e12c25a5ea52aa
cold-131k-r2-off,off,cold-131k,131070,128,0,68.29511066293344,70.5791709809564,55.60273474298108,1384f2a22f91827fa42668a4ce50cb6efacc8aa57ec559dbb1df7250f8eaff88
cold-131k-r2-on,on,cold-131k,131070,128,0,63.44956450909376,65.43471176107414,63.975103042509836,b9e8d8ce824fd89277f11cdc1a1b7a46f62c2acb9ef57cc1f1ac27d6969cfff8
cold-131k-r3-off,off,cold-131k,131070,122,0,68.29514084407128,70.36357783107087,58.498277085790775,e9f7393d04cd7be84034f5e2b5d22af59eaccc010700ad2207f09b7ccf32de48
cold-131k-r3-on,on,cold-131k,131070,128,0,63.47419488313608,65.45823614508845,64.01076551957759,6348b0f155fd598e2c72bca026b4f25ea661994531e71b4cdadb404e30aedd8e
cold-32k-r1-off,off,cold-32k,32768,128,0,11.36021706997417,12.339322092011571,129.71029372898937,b31036965aa6d07b5cbef238aa96910576aeb491947313287cd2bb5af55012aa
cold-32k-r1-on,on,cold-32k,32768,128,0,11.023781954078004,11.933632453903556,139.58337114102815,a7f407f67c0902093c9cadbd0cde27d39c719bd9c65334b5bbfbda8db07ccb37
cold-32k-r2-off,off,cold-32k,32768,128,0,11.339162494055927,12.187826971057802,149.64689042795803,a5734b9ae54c6f16d9a3c1d3275419de91d1a0098b00cb81ddd73fd3e563cede
cold-32k-r2-on,on,cold-32k,32768,128,0,11.018565477104858,12.034475681139156,125.01104870850602,2fef55d6eb36376dd384f6ee9a9876d770b72c28be735bbee166ec3dce340dc8
cold-32k-r3-off,off,cold-32k,32768,128,0,11.341810517013073,12.262728134868667,137.9059294095452,550ff3e5eefca94c57a04b5bad7e41ebdb6c0195546b71e7a84bda392d9913f7
cold-32k-r3-on,on,cold-32k,32768,128,0,11.015472371131182,11.917139168130234,140.8502569049723,ad440559ab7e0aab0d5181f263ab37185f133a0930da9abd78e3e0910e5b2eb2
cold-8k-r1-off,off,cold-8k,8192,128,0,2.5320167099125683,3.2253965989220887,183.1607781146018,adf8d13003d7e01fb97f1ab1405ab83e7ca06f3c9502770be3c618adfa68079a
cold-8k-r1-on,on,cold-8k,8192,128,0,2.508741730125621,3.229846836067736,176.1185698915223,8dda251c126d5fc9449e21ea08db7f518c4367731146019397845d3bb3f817de
cold-8k-r2-off,off,cold-8k,8192,128,0,2.524098970927298,3.4025482379365712,144.5729477723605,c02da17d4468d364026d34f3c26a14a9f7b82b50616759b6e1568b1032d7b747
cold-8k-r2-on,on,cold-8k,8192,128,0,2.507496285950765,3.1374915270134807,201.58882436281328,b1a55a2e904b97b66ab339a6a1d87b8a4ba96b759b7e8142101d1b72de7906df
cold-8k-r3-off,off,cold-8k,8192,128,0,2.524212568067014,3.2305353151168674,179.80448814716732,742d741ce8ce0514b62e9376c7da4ef01774cd54f9f200cc117001903bd97fec
cold-8k-r3-on,on,cold-8k,8192,128,0,2.50308211799711,3.254293652018532,169.06023702822745,9f5f92491229d2b93e85a62553f07ac87b515675849addca8d29eb367d3d457e
