timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/25 15:23:28.709, 62, 21.30 W, 180 MHz, 405 MHz, 2 MiB, 0 %
2026/09/25 15:23:28.965, 62, 21.30 W, 180 MHz, 405 MHz, 4 MiB, 0 %
2026/09/25 15:23:29.215, 62, 21.30 W, 180 MHz, 405 MHz, 596 MiB, 0 %
2026/09/25 15:23:29.465, 62, 41.63 W, 180 MHz, 405 MHz, 2100 MiB, 15 %
2026/09/25 15:23:29.716, 62, 41.63 W, 180 MHz, 405 MHz, 3124 MiB, 15 %
2026/09/25 15:23:29.966, 62, 57.48 W, 2617 MHz, 13365 MHz, 4116 MiB, 12 %
2026/09/25 15:23:30.217, 62, 57.48 W, 2617 MHz, 13365 MHz, 5076 MiB, 12 %
2026/09/25 15:23:30.467, 62, 92.23 W, 2617 MHz, 13365 MHz, 6004 MiB, 10 %
2026/09/25 15:23:30.717, 62, 92.23 W, 2617 MHz, 13365 MHz, 6932 MiB, 10 %
2026/09/25 15:23:30.967, 62, 91.72 W, 2617 MHz, 13365 MHz, 7828 MiB, 10 %
2026/09/25 15:23:31.218, 62, 91.72 W, 2617 MHz, 13365 MHz, 8756 MiB, 10 %
2026/09/25 15:23:31.468, 62, 91.25 W, 2617 MHz, 13365 MHz, 9684 MiB, 10 %
2026/09/25 15:23:31.718, 62, 91.25 W, 2617 MHz, 13365 MHz, 10580 MiB, 10 %
2026/09/25 15:23:31.968, 62, 91.17 W, 2617 MHz, 13365 MHz, 11508 MiB, 11 %
2026/09/25 15:23:32.218, 62, 91.17 W, 2617 MHz, 13365 MHz, 12436 MiB, 11 %
2026/09/25 15:23:32.468, 61, 91.15 W, 2617 MHz, 13365 MHz, 13332 MiB, 11 %
2026/09/25 15:23:32.718, 61, 91.15 W, 2617 MHz, 13365 MHz, 14228 MiB, 11 %
2026/09/25 15:23:32.969, 61, 91.03 W, 2617 MHz, 13365 MHz, 14740 MiB, 12 %
2026/09/25 15:23:33.219, 61, 91.03 W, 2617 MHz, 13365 MHz, 14740 MiB, 12 %
2026/09/25 15:23:33.469, 61, 89.56 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:33.719, 61, 89.56 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:33.969, 61, 87.83 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:34.219, 61, 87.83 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:34.469, 61, 87.83 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:34.720, 61, 87.83 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:34.970, 60, 85.82 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:35.220, 60, 85.82 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:35.470, 60, 85.82 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:35.720, 60, 85.82 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:35.970, 60, 84.89 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:36.220, 60, 84.89 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:36.471, 60, 84.89 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:36.721, 60, 84.89 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:36.971, 60, 84.81 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:37.221, 60, 84.81 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:37.471, 60, 84.81 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:37.721, 60, 84.81 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:37.972, 59, 84.33 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:38.222, 59, 84.33 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:38.472, 59, 84.33 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:38.722, 59, 84.33 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:38.972, 59, 84.04 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:39.223, 59, 84.04 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:39.473, 59, 83.74 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:39.724, 59, 83.74 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:39.974, 59, 83.75 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:40.225, 59, 83.75 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/25 15:23:40.476, 59, 83.80 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
