pid, process_name, used_gpu_memory [MiB]
4125675, /home/avifenesh/projects/colbert-2/.venv/bin/python, 1390 MiB
5253, /tmp/tmp.EtK3XgY8jF/hold, 20778 MiB
5586, /home/avifenesh/projects/wt-525/target/release/kernel-check, 1604 MiB
