timestamp, temperature.gpu, power.draw [W], memory.used [MiB], clocks.current.sm [MHz]
2026/09/22 17:49:18.533, 57, 31.69 W, 15 MiB, 1035 MHz
2026/09/22 17:49:19.536, 57, 30.95 W, 341 MiB, 1635 MHz
2026/09/22 17:49:20.536, 57, 29.58 W, 341 MiB, 1590 MHz
2026/09/22 17:49:21.536, 57, 28.31 W, 341 MiB, 1597 MHz
2026/09/22 17:49:22.537, 57, 28.43 W, 533 MiB, 1590 MHz
2026/09/22 17:49:23.537, 57, 28.21 W, 533 MiB, 1590 MHz
2026/09/22 17:49:24.537, 57, 28.15 W, 533 MiB, 1590 MHz
2026/09/22 17:49:25.537, 57, 28.19 W, 533 MiB, 1590 MHz
2026/09/22 17:49:26.537, 57, 28.17 W, 533 MiB, 1590 MHz
2026/09/22 17:49:27.538, 57, 28.18 W, 533 MiB, 1590 MHz
2026/09/22 17:49:28.538, 57, 28.32 W, 533 MiB, 1590 MHz
2026/09/22 17:49:29.538, 57, 28.16 W, 533 MiB, 1590 MHz
2026/09/22 17:49:30.538, 57, 28.27 W, 33 MiB, 1590 MHz
2026/09/22 17:49:31.538, 57, 29.17 W, 277 MiB, 1590 MHz
2026/09/22 17:49:32.538, 57, 28.19 W, 277 MiB, 1590 MHz
2026/09/22 17:49:33.539, 57, 28.14 W, 277 MiB, 1590 MHz
2026/09/22 17:49:34.539, 57, 28.15 W, 277 MiB, 1590 MHz
2026/09/22 17:49:35.539, 57, 28.15 W, 277 MiB, 1590 MHz
2026/09/22 17:49:36.539, 57, 29.05 W, 277 MiB, 1627 MHz
2026/09/22 17:49:37.539, 57, 28.19 W, 277 MiB, 1590 MHz
2026/09/22 17:49:38.539, 57, 28.16 W, 277 MiB, 1590 MHz
2026/09/22 17:49:39.540, 57, 28.14 W, 277 MiB, 1590 MHz
2026/09/22 17:49:40.540, 57, 28.16 W, 277 MiB, 1590 MHz
2026/09/22 17:49:41.540, 57, 28.19 W, 277 MiB, 1590 MHz
2026/09/22 17:49:42.540, 57, 28.15 W, 277 MiB, 1590 MHz
2026/09/22 17:49:43.540, 57, 28.71 W, 277 MiB, 1597 MHz
2026/09/22 17:49:44.540, 57, 28.60 W, 277 MiB, 1590 MHz
2026/09/22 17:49:45.541, 57, 28.25 W, 277 MiB, 1590 MHz
2026/09/22 17:49:46.541, 57, 28.24 W, 277 MiB, 1590 MHz
2026/09/22 17:49:47.541, 57, 28.22 W, 277 MiB, 1590 MHz
2026/09/22 17:49:48.541, 57, 28.27 W, 277 MiB, 1590 MHz
2026/09/22 17:49:49.541, 57, 28.25 W, 277 MiB, 1590 MHz
2026/09/22 17:49:50.541, 57, 28.23 W, 277 MiB, 1590 MHz
2026/09/22 17:49:51.541, 57, 28.19 W, 277 MiB, 1590 MHz
2026/09/22 17:49:52.542, 57, 28.18 W, 277 MiB, 1590 MHz
2026/09/22 17:49:53.542, 57, 28.17 W, 277 MiB, 1590 MHz
2026/09/22 17:49:54.542, 57, 28.18 W, 277 MiB, 1590 MHz
2026/09/22 17:49:55.542, 57, 28.25 W, 277 MiB, 1590 MHz
2026/09/22 17:49:56.542, 57, 28.20 W, 277 MiB, 1590 MHz
2026/09/22 17:49:57.542, 57, 28.20 W, 277 MiB, 1590 MHz
2026/09/22 17:49:58.543, 57, 28.16 W, 277 MiB, 1590 MHz
2026/09/22 17:49:59.543, 57, 29.05 W, 277 MiB, 1620 MHz
2026/09/22 17:50:00.543, 57, 28.15 W, 277 MiB, 1590 MHz
2026/09/22 17:50:01.543, 57, 28.22 W, 277 MiB, 1590 MHz
2026/09/22 17:50:02.543, 57, 28.22 W, 277 MiB, 1590 MHz
2026/09/22 17:50:03.543, 57, 28.19 W, 277 MiB, 1590 MHz
2026/09/22 17:50:04.544, 57, 28.20 W, 277 MiB, 1590 MHz
2026/09/22 17:50:05.544, 57, 28.19 W, 277 MiB, 1590 MHz
2026/09/22 17:50:06.544, 57, 28.18 W, 277 MiB, 1590 MHz
2026/09/22 17:50:07.544, 57, 28.21 W, 277 MiB, 1590 MHz
2026/09/22 17:50:08.544, 57, 28.24 W, 277 MiB, 1590 MHz
2026/09/22 17:50:09.544, 57, 28.27 W, 277 MiB, 1590 MHz
2026/09/22 17:50:10.545, 57, 28.24 W, 277 MiB, 1590 MHz
2026/09/22 17:50:11.545, 57, 28.24 W, 277 MiB, 1590 MHz
2026/09/22 17:50:12.545, 57, 28.30 W, 277 MiB, 1590 MHz
2026/09/22 17:50:13.545, 57, 28.24 W, 277 MiB, 1590 MHz
2026/09/22 17:50:14.545, 58, 28.24 W, 277 MiB, 1590 MHz
2026/09/22 17:50:15.546, 58, 28.18 W, 277 MiB, 1590 MHz
2026/09/22 17:50:16.546, 58, 28.23 W, 277 MiB, 1590 MHz
2026/09/22 17:50:17.546, 57, 17.07 W, 277 MiB, 180 MHz
2026/09/22 17:50:18.546, 57, 10.64 W, 277 MiB, 180 MHz
2026/09/22 17:50:19.546, 57, 9.50 W, 277 MiB, 180 MHz
2026/09/22 17:50:20.546, 57, 9.80 W, 222 MiB, 180 MHz
