shape	n	prompt_tokens	client_ttft_p50_ms	request_parse_ms	admission_ms	queue_wait_ms	tokenize_ms	prime_wait_ms	prime_ms	decode_wait_ms	sse_handoff_ms	total_ms	client_minus_server_ms
4k	5	4107	10855.249	0.038	0.015	0.035	8.887	1.159	10844.910	0.132	0.028	10855.047	0.222
short	8	228	934.811	0.019	0.016	0.041	0.677	5.647	928.069	0.133	0.036	934.585	0.226
