timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/13 18:14:55.903, 0 %, 2 MiB, 363.93 W, 2887 MHz, 49
2026/09/13 18:14:56.154, 0 %, 2 MiB, 200.65 W, 2917 MHz, 47
2026/09/13 18:14:56.405, 0 %, 544 MiB, 200.65 W, 2917 MHz, 47
2026/09/13 18:14:56.655, 0 %, 544 MiB, 94.35 W, 2917 MHz, 47
2026/09/13 18:14:56.905, 0 %, 2144 MiB, 94.35 W, 2917 MHz, 47
2026/09/13 18:14:57.155, 27 %, 4704 MiB, 93.01 W, 2917 MHz, 47
2026/09/13 18:14:57.405, 27 %, 7200 MiB, 93.01 W, 2917 MHz, 47
2026/09/13 18:14:57.656, 66 %, 10304 MiB, 96.26 W, 2632 MHz, 47
2026/09/13 18:14:57.906, 66 %, 10400 MiB, 96.26 W, 2632 MHz, 47
2026/09/13 18:14:58.156, 99 %, 10400 MiB, 176.74 W, 2865 MHz, 54
2026/09/13 18:14:58.406, 99 %, 10400 MiB, 176.74 W, 2865 MHz, 54
2026/09/13 18:14:58.656, 99 %, 10400 MiB, 325.83 W, 2902 MHz, 55
2026/09/13 18:14:58.906, 99 %, 2 MiB, 325.83 W, 2902 MHz, 55
2026/09/13 18:14:59.160, 0 %, 544 MiB, 289.79 W, 2917 MHz, 48
2026/09/13 18:14:59.410, 0 %, 544 MiB, 289.79 W, 2917 MHz, 48
2026/09/13 18:14:59.661, 0 %, 1952 MiB, 119.54 W, 2917 MHz, 47
2026/09/13 18:14:59.911, 0 %, 4512 MiB, 119.54 W, 2917 MHz, 47
2026/09/13 18:15:00.161, 26 %, 7008 MiB, 94.14 W, 2917 MHz, 47
2026/09/13 18:15:00.411, 26 %, 10304 MiB, 94.14 W, 2917 MHz, 47
2026/09/13 18:15:00.661, 1 %, 10400 MiB, 101.68 W, 2917 MHz, 56
2026/09/13 18:15:00.911, 1 %, 10400 MiB, 101.68 W, 2917 MHz, 56
2026/09/13 18:15:01.162, 99 %, 10400 MiB, 250.88 W, 2902 MHz, 54
2026/09/13 18:15:01.412, 99 %, 10688 MiB, 250.88 W, 2902 MHz, 54
2026/09/13 18:15:01.662, 93 %, 10688 MiB, 421.27 W, 2902 MHz, 57
2026/09/13 18:15:01.912, 93 %, 10688 MiB, 421.27 W, 2902 MHz, 57
2026/09/13 18:15:02.162, 99 %, 10688 MiB, 425.63 W, 2887 MHz, 53
2026/09/13 18:15:02.412, 99 %, 2 MiB, 425.63 W, 2887 MHz, 53
2026/09/13 18:15:02.662, 0 %, 544 MiB, 288.74 W, 2917 MHz, 48
2026/09/13 18:15:02.913, 0 %, 544 MiB, 288.74 W, 2917 MHz, 48
2026/09/13 18:15:03.163, 22 %, 2784 MiB, 135.83 W, 2917 MHz, 47
2026/09/13 18:15:03.413, 22 %, 5376 MiB, 135.83 W, 2917 MHz, 47
2026/09/13 18:15:03.663, 26 %, 10304 MiB, 93.02 W, 2917 MHz, 47
2026/09/13 18:15:03.913, 26 %, 10304 MiB, 93.02 W, 2917 MHz, 47
2026/09/13 18:15:04.164, 77 %, 10400 MiB, 132.99 W, 2917 MHz, 54
2026/09/13 18:15:04.414, 77 %, 10400 MiB, 132.99 W, 2917 MHz, 54
2026/09/13 18:15:04.664, 99 %, 10400 MiB, 273.09 W, 2902 MHz, 55
2026/09/13 18:15:04.914, 99 %, 10688 MiB, 273.09 W, 2902 MHz, 55
2026/09/13 18:15:05.164, 89 %, 10688 MiB, 379.99 W, 2910 MHz, 56
2026/09/13 18:15:05.414, 89 %, 10688 MiB, 379.99 W, 2910 MHz, 56
2026/09/13 18:15:05.664, 81 %, 10688 MiB, 384.64 W, 2887 MHz, 57
2026/09/13 18:15:05.914, 81 %, 2 MiB, 384.64 W, 2887 MHz, 57
2026/09/13 18:15:06.179, 13 %, 2 MiB, 301.53 W, 2910 MHz, 48
2026/09/13 18:15:06.429, 13 %, 542 MiB, 301.53 W, 2910 MHz, 48
2026/09/13 18:15:06.680, 0 %, 544 MiB, 145.58 W, 2917 MHz, 48
2026/09/13 18:15:06.930, 0 %, 1696 MiB, 145.58 W, 2917 MHz, 48
2026/09/13 18:15:07.180, 28 %, 4320 MiB, 93.66 W, 2917 MHz, 47
2026/09/13 18:15:07.430, 28 %, 6848 MiB, 93.66 W, 2917 MHz, 47
2026/09/13 18:15:07.680, 56 %, 10304 MiB, 97.61 W, 2880 MHz, 47
2026/09/13 18:15:07.930, 56 %, 10400 MiB, 97.61 W, 2880 MHz, 47
2026/09/13 18:15:08.181, 99 %, 10400 MiB, 158.31 W, 2760 MHz, 54
2026/09/13 18:15:08.431, 99 %, 10400 MiB, 158.31 W, 2760 MHz, 54
2026/09/13 18:15:08.681, 99 %, 10592 MiB, 319.27 W, 2902 MHz, 55
2026/09/13 18:15:08.931, 99 %, 10656 MiB, 319.27 W, 2902 MHz, 55
2026/09/13 18:15:09.181, 84 %, 10656 MiB, 379.27 W, 2872 MHz, 57
2026/09/13 18:15:09.431, 84 %, 10656 MiB, 379.27 W, 2872 MHz, 57
2026/09/13 18:15:09.681, 0 %, 2 MiB, 339.93 W, 2887 MHz, 49
2026/09/13 18:15:09.937, 0 %, 544 MiB, 339.93 W, 2887 MHz, 49
2026/09/13 18:15:10.187, 0 %, 544 MiB, 227.17 W, 2917 MHz, 48
2026/09/13 18:15:10.437, 0 %, 1952 MiB, 227.17 W, 2917 MHz, 48
2026/09/13 18:15:10.687, 28 %, 4544 MiB, 96.12 W, 2917 MHz, 48
2026/09/13 18:15:10.937, 28 %, 7040 MiB, 96.12 W, 2917 MHz, 48
2026/09/13 18:15:11.187, 62 %, 10304 MiB, 102.50 W, 2917 MHz, 48
2026/09/13 18:15:11.437, 62 %, 10400 MiB, 102.50 W, 2917 MHz, 48
2026/09/13 18:15:11.688, 99 %, 10400 MiB, 177.76 W, 2880 MHz, 55
2026/09/13 18:15:11.938, 99 %, 10400 MiB, 177.76 W, 2880 MHz, 55
2026/09/13 18:15:12.188, 99 %, 10656 MiB, 315.33 W, 2902 MHz, 56
2026/09/13 18:15:12.438, 99 %, 10656 MiB, 315.33 W, 2902 MHz, 56
2026/09/13 18:15:12.688, 96 %, 10656 MiB, 421.13 W, 2865 MHz, 58
2026/09/13 18:15:12.938, 96 %, 10656 MiB, 421.13 W, 2865 MHz, 58
2026/09/13 18:15:13.189, 0 %, 2 MiB, 336.28 W, 2902 MHz, 49
2026/09/13 18:15:13.439, 0 %, 21 MiB, 336.28 W, 2902 MHz, 49
2026/09/13 18:15:13.689, 1 %, 544 MiB, 162.76 W, 2917 MHz, 48
2026/09/13 18:15:13.939, 1 %, 1344 MiB, 162.76 W, 2917 MHz, 48
2026/09/13 18:15:14.190, 39 %, 3616 MiB, 95.69 W, 2917 MHz, 48
2026/09/13 18:15:14.440, 39 %, 6112 MiB, 95.69 W, 2917 MHz, 48
2026/09/13 18:15:14.690, 26 %, 10304 MiB, 93.71 W, 2917 MHz, 49
2026/09/13 18:15:14.940, 26 %, 10400 MiB, 93.71 W, 2917 MHz, 49
2026/09/13 18:15:15.190, 98 %, 10400 MiB, 137.67 W, 2647 MHz, 54
2026/09/13 18:15:15.440, 98 %, 10400 MiB, 137.67 W, 2647 MHz, 54
2026/09/13 18:15:15.691, 99 %, 10400 MiB, 282.57 W, 2902 MHz, 56
2026/09/13 18:15:15.941, 99 %, 10656 MiB, 282.57 W, 2902 MHz, 56
2026/09/13 18:15:16.191, 86 %, 10656 MiB, 420.33 W, 2865 MHz, 58
2026/09/13 18:15:16.441, 86 %, 10656 MiB, 420.33 W, 2865 MHz, 58
2026/09/13 18:15:16.691, 0 %, 2 MiB, 357.18 W, 2887 MHz, 50
2026/09/13 18:15:16.941, 0 %, 544 MiB, 357.18 W, 2887 MHz, 50
2026/09/13 18:15:17.191, 0 %, 544 MiB, 196.23 W, 2917 MHz, 48
2026/09/13 18:15:17.442, 0 %, 2816 MiB, 196.23 W, 2917 MHz, 48
2026/09/13 18:15:17.692, 27 %, 5376 MiB, 96.36 W, 2917 MHz, 48
2026/09/13 18:15:17.942, 27 %, 10304 MiB, 96.36 W, 2917 MHz, 48
2026/09/13 18:15:18.192, 38 %, 10304 MiB, 102.71 W, 2917 MHz, 48
2026/09/13 18:15:18.442, 38 %, 10400 MiB, 102.71 W, 2917 MHz, 48
2026/09/13 18:15:18.692, 99 %, 10400 MiB, 191.23 W, 2797 MHz, 55
2026/09/13 18:15:18.943, 99 %, 10400 MiB, 191.23 W, 2797 MHz, 55
2026/09/13 18:15:19.193, 99 %, 10656 MiB, 350.94 W, 2902 MHz, 53
2026/09/13 18:15:19.443, 99 %, 10656 MiB, 350.94 W, 2902 MHz, 53
2026/09/13 18:15:19.693, 99 %, 10656 MiB, 384.80 W, 2865 MHz, 58
2026/09/13 18:15:19.943, 99 %, 10656 MiB, 384.80 W, 2865 MHz, 58
2026/09/13 18:15:20.193, 0 %, 2 MiB, 313.27 W, 2895 MHz, 50
2026/09/13 18:15:20.443, 0 %, 2 MiB, 313.27 W, 2895 MHz, 50
2026/09/13 18:15:20.694, 0 %, 544 MiB, 201.18 W, 2917 MHz, 49
2026/09/13 18:15:20.944, 0 %, 544 MiB, 201.18 W, 2917 MHz, 49
2026/09/13 18:15:21.194, 0 %, 2752 MiB, 95.69 W, 2917 MHz, 48
2026/09/13 18:15:21.444, 0 %, 5344 MiB, 95.69 W, 2917 MHz, 48
2026/09/13 18:15:21.694, 26 %, 10304 MiB, 94.05 W, 2917 MHz, 48
2026/09/13 18:15:21.944, 26 %, 10304 MiB, 94.05 W, 2917 MHz, 48
2026/09/13 18:15:22.195, 41 %, 10432 MiB, 116.24 W, 2820 MHz, 54
2026/09/13 18:15:22.445, 41 %, 10432 MiB, 116.24 W, 2820 MHz, 54
2026/09/13 18:15:22.695, 99 %, 10432 MiB, 261.39 W, 2902 MHz, 56
2026/09/13 18:15:22.945, 99 %, 10688 MiB, 261.39 W, 2902 MHz, 56
2026/09/13 18:15:23.195, 75 %, 10688 MiB, 370.93 W, 2902 MHz, 57
2026/09/13 18:15:23.445, 75 %, 10688 MiB, 370.93 W, 2902 MHz, 57
2026/09/13 18:15:23.695, 56 %, 10688 MiB, 373.98 W, 2887 MHz, 52
2026/09/13 18:15:23.945, 56 %, 21 MiB, 373.98 W, 2887 MHz, 52
2026/09/13 18:15:24.196, 1 %, 544 MiB, 263.96 W, 2917 MHz, 49
2026/09/13 18:15:24.446, 1 %, 544 MiB, 263.96 W, 2917 MHz, 49
