file	max_abs_diff	norm_rel(=max_abs/scale)	argmax_same	margin_a(top1-top2)	top1_b_rank_in_a
d00-code.prime.f32	1.332448e+00	5.641e-02	True	2.502094	0
d00-code.step1.f32	5.747170e-01	1.848e-02	True	11.226730	0
d00-code.step2.f32	6.050220e-01	2.196e-02	True	3.285093	0
d00-code.step3.f32	6.282582e-01	2.242e-02	True	3.311756	0
d00-code.step4.f32	8.158069e-01	3.017e-02	True	5.951164	0
d00-code.step5.f32	7.258663e-01	2.352e-02	True	9.772213	0
d00-code.step6.f32	1.070091e+00	3.693e-02	True	3.363823	0
d00-code.step7.f32	9.330277e-01	3.714e-02	False	0.228294	1
d00-code.step8.f32	1.124690e+00	4.322e-02	True	1.852303	0
d01-code.prime.f32	1.333089e+00	5.469e-02	True	2.629248	0
d01-code.step1.f32	9.336430e-01	2.791e-02	True	15.111744	0
d01-code.step2.f32	8.244729e-01	2.988e-02	True	2.358768	0
d01-code.step3.f32	8.542609e-01	3.011e-02	True	2.690512	0
d01-code.step4.f32	9.525554e-01	3.190e-02	True	6.703125	0
d01-code.step5.f32	9.195747e-01	2.740e-02	True	16.177227	0
d01-code.step6.f32	7.546410e-01	2.507e-02	True	0.976040	0
d01-code.step7.f32	7.409490e-01	2.513e-02	True	8.829521	0
d01-code.step8.f32	7.003744e-01	2.507e-02	True	0.986757	0
d02-code.prime.f32	1.794602e+00	7.720e-02	True	4.228310	0
d02-code.step1.f32	9.762363e-01	2.916e-02	True	16.175255	0
d02-code.step2.f32	8.276703e-01	3.022e-02	True	3.976280	0
d02-code.step3.f32	1.594904e+00	5.989e-02	True	6.072254	0
d02-code.step4.f32	9.234085e-01	3.685e-02	True	1.629297	0
d02-code.step5.f32	8.728647e-01	2.905e-02	True	10.322371	0
d02-code.step6.f32	1.360342e+00	4.800e-02	True	4.118225	0
d02-code.step7.f32	7.813678e-01	2.796e-02	True	4.517229	0
d02-code.step8.f32	7.343855e-01	2.782e-02	True	0.650768	0
d03-code.prime.f32	2.233891e+00	1.002e-01	True	1.554024	0
d03-code.step1.f32	7.812150e-01	2.519e-02	True	10.483803	0
d03-code.step2.f32	7.954540e-01	3.061e-02	True	2.001223	0
d03-code.step3.f32	9.116981e-01	3.421e-02	True	0.847134	0
d03-code.step4.f32	8.474030e-01	3.134e-02	True	2.294382	0
d03-code.step5.f32	7.838187e-01	2.758e-02	True	3.120642	0
d03-code.step6.f32	7.578177e-01	2.522e-02	True	6.950125	0
d03-code.step7.f32	1.343831e+00	4.515e-02	True	11.959955	0
d03-code.step8.f32	1.148497e+00	4.765e-02	True	3.516422	0
l3-WARM.prime.f32	2.541039e+00	1.170e-01	True	1.171175	0
l3-WARM.step1.f32	2.544297e+00	9.681e-02	True	12.091505	0
l3-WARM.step2.f32	1.611204e+00	6.195e-02	True	1.930740	0
l3-WARM.step3.f32	1.405700e+00	5.698e-02	True	1.012182	0
l3-WARM.step4.f32	1.498583e+00	6.049e-02	True	2.260254	0
l3-WARM.step5.f32	1.484482e+00	6.244e-02	True	0.972101	0
l3-WARM.step6.f32	1.644243e+00	6.222e-02	True	6.181356	0
l3-WARM.step7.f32	2.549766e+00	1.124e-01	True	4.534346	0
l3-WARM.step8.f32	1.410533e+00	5.819e-02	True	0.524021	0
WORST norm_rel=1.170e-01
