file	max_abs_diff	norm_rel(=max_abs/scale)	argmax_same	margin_a(top1-top2)	top1_b_rank_in_a
t0.prime.f32	1.171194e+00	4.761e-02	True	6.757269	0
t0.step1.f32	1.032061e+00	3.726e-02	True	7.471748	0
t0.step2.f32	3.555849e-01	1.290e-02	True	0.761204	0
t0.step3.f32	4.570103e-01	1.439e-02	True	12.760136	0
t0.step4.f32	3.993788e-01	1.520e-02	True	0.671438	0
t0.step5.f32	6.142864e-01	2.186e-02	True	3.533764	0
t0.step6.f32	3.785896e-01	1.551e-02	True	1.097836	0
t0.step7.f32	3.146935e-01	1.333e-02	True	1.111731	0
t0.step8.f32	4.323441e-01	1.617e-02	True	1.014368	0
WORST norm_rel=4.761e-02
