file	max_abs_diff	norm_rel(=max_abs/scale)	argmax_same	margin_a(top1-top2)	top1_b_rank_in_a
d00-code.prime.f32	1.320107e+00	5.588e-02	True	2.502094	0
d00-code.step1.f32	8.459225e-01	2.720e-02	True	11.226730	0
d00-code.step2.f32	9.418106e-01	3.419e-02	True	3.285093	0
d00-code.step3.f32	6.416054e-01	2.290e-02	True	3.311756	0
d00-code.step4.f32	1.600044e+00	5.918e-02	True	5.951164	0
d00-code.step5.f32	1.030144e+00	3.338e-02	True	9.772213	0
d00-code.step6.f32	5.445747e-01	1.879e-02	True	3.363823	0
d00-code.step7.f32	9.447959e-01	3.760e-02	False	0.228294	1
d00-code.step8.f32	1.303763e+00	5.011e-02	True	1.852303	0
d01-code.prime.f32	1.352310e+00	5.548e-02	True	2.629248	0
d01-code.step1.f32	6.338248e-01	1.895e-02	True	15.111744	0
d01-code.step2.f32	6.425498e-01	2.329e-02	True	2.358768	0
d01-code.step3.f32	6.455175e-01	2.275e-02	True	2.690512	0
d01-code.step4.f32	1.272273e+00	4.261e-02	True	6.703125	0
d01-code.step5.f32	9.875853e-01	2.943e-02	True	16.177227	0
d01-code.step6.f32	6.477458e-01	2.152e-02	True	0.976040	0
d01-code.step7.f32	5.932533e-01	2.012e-02	True	8.829521	0
d01-code.step8.f32	7.112901e-01	2.546e-02	True	0.986757	0
d02-code.prime.f32	1.890379e+00	8.132e-02	True	4.228310	0
d02-code.step1.f32	1.037723e+00	3.100e-02	True	16.175255	0
d02-code.step2.f32	1.160558e+00	4.238e-02	True	3.976280	0
d02-code.step3.f32	1.127477e+00	4.234e-02	True	6.072254	0
d02-code.step4.f32	1.032307e+00	4.119e-02	True	1.629297	0
d02-code.step5.f32	7.678227e-01	2.555e-02	True	10.322371	0
d02-code.step6.f32	1.121206e+00	3.956e-02	True	4.118225	0
d02-code.step7.f32	6.564302e-01	2.349e-02	True	4.517229	0
d02-code.step8.f32	9.920344e-01	3.758e-02	True	0.650768	0
d03-code.prime.f32	1.743967e+00	7.819e-02	True	1.554024	0
d03-code.step1.f32	1.086502e+00	3.504e-02	True	10.483803	0
d03-code.step2.f32	9.150958e-01	3.521e-02	True	2.001223	0
d03-code.step3.f32	8.574659e-01	3.218e-02	True	0.847134	0
d03-code.step4.f32	7.855743e-01	2.905e-02	True	2.294382	0
d03-code.step5.f32	7.966385e-01	2.803e-02	True	3.120642	0
d03-code.step6.f32	6.973753e-01	2.321e-02	True	6.950125	0
d03-code.step7.f32	1.341182e+00	4.506e-02	True	11.959955	0
d03-code.step8.f32	1.606020e+00	6.663e-02	True	3.516422	0
l3-WARM.prime.f32	2.106519e+00	9.700e-02	True	1.171175	0
l3-WARM.step1.f32	1.178687e+00	4.485e-02	True	12.091505	0
l3-WARM.step2.f32	1.095887e+00	4.213e-02	True	1.930740	0
l3-WARM.step3.f32	1.089243e+00	4.415e-02	True	1.012182	0
l3-WARM.step4.f32	1.138329e+00	4.595e-02	True	2.260254	0
l3-WARM.step5.f32	1.277425e+00	5.373e-02	True	0.972101	0
l3-WARM.step6.f32	1.740602e+00	6.587e-02	True	6.181356	0
l3-WARM.step7.f32	2.285517e+00	1.007e-01	True	4.534346	0
l3-WARM.step8.f32	1.688153e+00	6.965e-02	True	0.524021	0
WORST norm_rel=1.007e-01
