index, timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
1, 2026/09/23 11:31:19.573, 180 MHz, 405 MHz, 36, 14.80 W, 0 %
0, 2026/09/23 11:31:19.823, 2865 MHz, 13365 MHz, 54, 214.43 W, 99 %
1, 2026/09/23 11:31:19.823, 180 MHz, 405 MHz, 36, 14.80 W, 0 %
0, 2026/09/23 11:31:20.073, 2865 MHz, 13365 MHz, 54, 214.43 W, 99 %
1, 2026/09/23 11:31:20.073, 180 MHz, 405 MHz, 36, 14.78 W, 0 %
0, 2026/09/23 11:31:20.323, 2872 MHz, 13365 MHz, 60, 250.46 W, 100 %
1, 2026/09/23 11:31:20.323, 180 MHz, 405 MHz, 36, 14.78 W, 0 %
0, 2026/09/23 11:31:20.574, 2872 MHz, 13365 MHz, 60, 250.46 W, 100 %
1, 2026/09/23 11:31:20.574, 180 MHz, 405 MHz, 36, 14.35 W, 0 %
0, 2026/09/23 11:31:20.824, 2865 MHz, 13365 MHz, 54, 207.75 W, 100 %
1, 2026/09/23 11:31:20.824, 180 MHz, 405 MHz, 36, 14.35 W, 0 %
0, 2026/09/23 11:31:21.074, 2865 MHz, 13365 MHz, 54, 207.75 W, 100 %
1, 2026/09/23 11:31:21.074, 180 MHz, 405 MHz, 36, 13.97 W, 0 %
0, 2026/09/23 11:31:21.324, 2865 MHz, 13365 MHz, 54, 151.53 W, 100 %
1, 2026/09/23 11:31:21.324, 180 MHz, 405 MHz, 36, 13.97 W, 0 %
0, 2026/09/23 11:31:21.574, 2865 MHz, 13365 MHz, 54, 151.53 W, 100 %
1, 2026/09/23 11:31:21.574, 180 MHz, 405 MHz, 36, 13.99 W, 0 %
0, 2026/09/23 11:31:21.824, 2827 MHz, 13365 MHz, 55, 221.26 W, 0 %
1, 2026/09/23 11:31:21.824, 180 MHz, 405 MHz, 36, 13.99 W, 0 %
0, 2026/09/23 11:31:22.074, 2827 MHz, 13365 MHz, 55, 221.26 W, 0 %
1, 2026/09/23 11:31:22.074, 180 MHz, 405 MHz, 36, 13.28 W, 0 %
0, 2026/09/23 11:31:22.324, 2865 MHz, 13365 MHz, 54, 210.93 W, 100 %
1, 2026/09/23 11:31:22.324, 180 MHz, 405 MHz, 36, 13.28 W, 0 %
0, 2026/09/23 11:31:22.575, 2865 MHz, 13365 MHz, 54, 210.93 W, 100 %
1, 2026/09/23 11:31:22.575, 180 MHz, 405 MHz, 36, 13.57 W, 0 %
0, 2026/09/23 11:31:22.825, 2865 MHz, 13365 MHz, 54, 133.50 W, 100 %
1, 2026/09/23 11:31:22.825, 180 MHz, 405 MHz, 36, 13.57 W, 0 %
0, 2026/09/23 11:31:23.075, 2865 MHz, 13365 MHz, 54, 133.50 W, 100 %
1, 2026/09/23 11:31:23.075, 180 MHz, 405 MHz, 36, 13.63 W, 0 %
0, 2026/09/23 11:31:23.325, 2797 MHz, 13365 MHz, 55, 220.38 W, 0 %
1, 2026/09/23 11:31:23.325, 180 MHz, 405 MHz, 36, 13.63 W, 0 %
0, 2026/09/23 11:31:23.575, 2797 MHz, 13365 MHz, 55, 220.38 W, 0 %
1, 2026/09/23 11:31:23.575, 180 MHz, 405 MHz, 36, 13.44 W, 0 %
0, 2026/09/23 11:31:23.825, 2865 MHz, 13365 MHz, 54, 212.89 W, 99 %
1, 2026/09/23 11:31:23.825, 180 MHz, 405 MHz, 36, 13.44 W, 0 %
0, 2026/09/23 11:31:24.075, 2865 MHz, 13365 MHz, 54, 212.89 W, 99 %
1, 2026/09/23 11:31:24.075, 180 MHz, 405 MHz, 36, 13.82 W, 0 %
0, 2026/09/23 11:31:24.325, 2805 MHz, 13365 MHz, 55, 208.15 W, 0 %
1, 2026/09/23 11:31:24.325, 180 MHz, 405 MHz, 36, 13.82 W, 0 %
0, 2026/09/23 11:31:24.576, 2805 MHz, 13365 MHz, 55, 208.15 W, 0 %
1, 2026/09/23 11:31:24.576, 180 MHz, 405 MHz, 36, 14.76 W, 0 %
0, 2026/09/23 11:31:24.826, 2865 MHz, 13365 MHz, 55, 210.00 W, 99 %
1, 2026/09/23 11:31:24.826, 180 MHz, 405 MHz, 36, 14.76 W, 0 %
0, 2026/09/23 11:31:25.076, 2865 MHz, 13365 MHz, 55, 210.00 W, 99 %
1, 2026/09/23 11:31:25.076, 180 MHz, 405 MHz, 36, 14.78 W, 0 %
0, 2026/09/23 11:31:25.326, 2805 MHz, 13365 MHz, 56, 216.52 W, 0 %
1, 2026/09/23 11:31:25.326, 180 MHz, 405 MHz, 36, 14.78 W, 0 %
0, 2026/09/23 11:31:25.576, 2805 MHz, 13365 MHz, 56, 216.52 W, 0 %
1, 2026/09/23 11:31:25.576, 180 MHz, 405 MHz, 36, 14.86 W, 0 %
0, 2026/09/23 11:31:25.826, 2865 MHz, 13365 MHz, 55, 214.73 W, 100 %
1, 2026/09/23 11:31:25.826, 180 MHz, 405 MHz, 36, 14.86 W, 0 %
0, 2026/09/23 11:31:26.076, 2865 MHz, 13365 MHz, 55, 214.73 W, 100 %
1, 2026/09/23 11:31:26.076, 180 MHz, 405 MHz, 36, 15.15 W, 0 %
0, 2026/09/23 11:31:26.326, 2865 MHz, 13365 MHz, 63, 154.37 W, 56 %
1, 2026/09/23 11:31:26.326, 180 MHz, 405 MHz, 36, 15.15 W, 0 %
0, 2026/09/23 11:31:26.577, 2865 MHz, 13365 MHz, 63, 154.37 W, 56 %
1, 2026/09/23 11:31:26.577, 180 MHz, 405 MHz, 36, 13.88 W, 0 %
0, 2026/09/23 11:31:26.827, 2835 MHz, 13365 MHz, 56, 219.66 W, 1 %
1, 2026/09/23 11:31:26.827, 180 MHz, 405 MHz, 36, 13.88 W, 0 %
0, 2026/09/23 11:31:27.077, 2835 MHz, 13365 MHz, 56, 219.66 W, 1 %
1, 2026/09/23 11:31:27.077, 180 MHz, 405 MHz, 36, 13.90 W, 0 %
0, 2026/09/23 11:31:27.327, 2865 MHz, 13365 MHz, 55, 211.30 W, 100 %
1, 2026/09/23 11:31:27.327, 180 MHz, 405 MHz, 36, 13.90 W, 0 %
0, 2026/09/23 11:31:27.577, 2865 MHz, 13365 MHz, 55, 211.30 W, 100 %
1, 2026/09/23 11:31:27.577, 180 MHz, 405 MHz, 36, 14.13 W, 0 %
0, 2026/09/23 11:31:27.827, 2865 MHz, 13365 MHz, 65, 187.65 W, 100 %
1, 2026/09/23 11:31:27.827, 180 MHz, 405 MHz, 36, 14.13 W, 0 %
0, 2026/09/23 11:31:28.077, 2865 MHz, 13365 MHz, 65, 187.65 W, 100 %
1, 2026/09/23 11:31:28.077, 180 MHz, 405 MHz, 36, 14.22 W, 0 %
0, 2026/09/23 11:31:28.327, 2865 MHz, 13365 MHz, 56, 187.65 W, 1 %
1, 2026/09/23 11:31:28.327, 180 MHz, 405 MHz, 36, 14.22 W, 0 %
0, 2026/09/23 11:31:28.578, 2865 MHz, 13365 MHz, 56, 187.65 W, 1 %
1, 2026/09/23 11:31:28.578, 180 MHz, 405 MHz, 36, 14.22 W, 0 %
