timestamp, power.draw [W], clocks.current.sm [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/08/04 20:11:08.962, 8.16 W, 180 MHz, 28, 0 %, 2 MiB
2026/08/04 20:11:09.977, 27.83 W, 2437 MHz, 29, 0 %, 3508 MiB
2026/08/04 20:11:10.977, 84.13 W, 2625 MHz, 29, 18 %, 12148 MiB
2026/08/04 20:11:11.977, 85.39 W, 2625 MHz, 29, 18 %, 21588 MiB
2026/08/04 20:11:12.977, 86.35 W, 2625 MHz, 30, 17 %, 26580 MiB
2026/08/04 20:11:13.978, 80.31 W, 2610 MHz, 29, 0 %, 26580 MiB
2026/08/04 20:11:14.978, 79.54 W, 2610 MHz, 29, 0 %, 26580 MiB
2026/08/04 20:11:15.978, 127.02 W, 2745 MHz, 36, 100 %, 29172 MiB
2026/08/04 20:11:16.978, 439.39 W, 2865 MHz, 37, 100 %, 29172 MiB
2026/08/04 20:11:17.978, 442.63 W, 2865 MHz, 38, 100 %, 29172 MiB
2026/08/04 20:11:18.978, 442.55 W, 2865 MHz, 39, 100 %, 29684 MiB
2026/08/04 20:11:19.979, 444.35 W, 2865 MHz, 39, 100 %, 29684 MiB
2026/08/04 20:11:20.979, 444.61 W, 2865 MHz, 40, 100 %, 29684 MiB
2026/08/04 20:11:21.979, 443.99 W, 2865 MHz, 40, 100 %, 29684 MiB
2026/08/04 20:11:22.979, 445.37 W, 2865 MHz, 41, 99 %, 29684 MiB
2026/08/04 20:11:23.980, 444.20 W, 2865 MHz, 41, 99 %, 29684 MiB
2026/08/04 20:11:24.981, 444.42 W, 2865 MHz, 42, 99 %, 29684 MiB
2026/08/04 20:11:25.981, 446.55 W, 2865 MHz, 42, 100 %, 29684 MiB
2026/08/04 20:11:26.981, 435.49 W, 2865 MHz, 42, 100 %, 29684 MiB
2026/08/04 20:11:27.981, 446.57 W, 2865 MHz, 43, 100 %, 29684 MiB
2026/08/04 20:11:28.982, 447.31 W, 2865 MHz, 43, 100 %, 29684 MiB
2026/08/04 20:11:29.982, 446.57 W, 2865 MHz, 44, 100 %, 29684 MiB
2026/08/04 20:11:30.982, 447.54 W, 2865 MHz, 44, 100 %, 29684 MiB
2026/08/04 20:11:31.982, 447.91 W, 2865 MHz, 44, 100 %, 29684 MiB
2026/08/04 20:11:32.982, 447.61 W, 2850 MHz, 45, 100 %, 29684 MiB
2026/08/04 20:11:33.983, 448.22 W, 2850 MHz, 45, 100 %, 29684 MiB
2026/08/04 20:11:34.983, 448.55 W, 2850 MHz, 45, 100 %, 29684 MiB
2026/08/04 20:11:35.983, 449.11 W, 2850 MHz, 46, 100 %, 29684 MiB
2026/08/04 20:11:36.983, 449.69 W, 2850 MHz, 46, 100 %, 29684 MiB
2026/08/04 20:11:37.983, 436.81 W, 2850 MHz, 46, 100 %, 29684 MiB
2026/08/04 20:11:38.988, 450.38 W, 2850 MHz, 47, 100 %, 29684 MiB
2026/08/04 20:11:39.988, 451.31 W, 2850 MHz, 47, 100 %, 29716 MiB
2026/08/04 20:11:40.988, 451.04 W, 2850 MHz, 47, 100 %, 29716 MiB
2026/08/04 20:11:41.988, 451.95 W, 2850 MHz, 47, 100 %, 29716 MiB
2026/08/04 20:11:42.989, 451.92 W, 2850 MHz, 48, 100 %, 29716 MiB
2026/08/04 20:11:43.989, 451.87 W, 2850 MHz, 48, 100 %, 29716 MiB
2026/08/04 20:11:44.990, 452.93 W, 2850 MHz, 48, 100 %, 29716 MiB
2026/08/04 20:11:45.990, 451.44 W, 2850 MHz, 48, 100 %, 29716 MiB
2026/08/04 20:11:46.990, 453.33 W, 2850 MHz, 49, 100 %, 29716 MiB
2026/08/04 20:11:47.990, 453.69 W, 2850 MHz, 49, 100 %, 29716 MiB
2026/08/04 20:11:48.990, 437.82 W, 2850 MHz, 49, 100 %, 29716 MiB
2026/08/04 20:11:49.990, 453.90 W, 2850 MHz, 49, 100 %, 29716 MiB
2026/08/04 20:11:50.991, 453.93 W, 2850 MHz, 50, 100 %, 29716 MiB
2026/08/04 20:11:51.991, 453.47 W, 2850 MHz, 50, 100 %, 29716 MiB
