timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/24 20:08:53.475, 42, 76.14 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:53.725, 42, 76.14 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:53.975, 42, 76.08 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:54.226, 42, 76.08 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:54.476, 42, 76.08 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:54.726, 42, 76.08 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:54.976, 42, 75.99 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:55.227, 42, 75.99 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:55.477, 42, 75.99 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:55.727, 42, 75.99 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:55.977, 42, 76.16 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:56.228, 42, 76.16 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:56.478, 42, 76.16 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:56.728, 42, 76.16 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:56.979, 42, 76.17 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 20:08:57.229, 42, 76.17 W, 2310 MHz, 13365 MHz, 15891 MiB, 0 %
2026/09/24 20:08:57.479, 45, 85.43 W, 2310 MHz, 13365 MHz, 15891 MiB, 97 %
2026/09/24 20:08:57.729, 45, 85.43 W, 2310 MHz, 13365 MHz, 15891 MiB, 97 %
2026/09/24 20:08:57.980, 47, 208.69 W, 2295 MHz, 13365 MHz, 15891 MiB, 100 %
2026/09/24 20:08:58.230, 47, 208.69 W, 2295 MHz, 13365 MHz, 15891 MiB, 100 %
2026/09/24 20:08:58.480, 47, 297.61 W, 2302 MHz, 13365 MHz, 15891 MiB, 100 %
2026/09/24 20:08:58.730, 47, 297.61 W, 2302 MHz, 13365 MHz, 15891 MiB, 100 %
2026/09/24 20:08:58.981, 48, 309.87 W, 2302 MHz, 13365 MHz, 15891 MiB, 99 %
2026/09/24 20:08:59.231, 48, 309.87 W, 2302 MHz, 13365 MHz, 15891 MiB, 99 %
2026/09/24 20:08:59.481, 47, 317.65 W, 2302 MHz, 13365 MHz, 16211 MiB, 91 %
2026/09/24 20:08:59.732, 47, 317.65 W, 2302 MHz, 13365 MHz, 16531 MiB, 91 %
2026/09/24 20:08:59.982, 48, 299.62 W, 2302 MHz, 13365 MHz, 16659 MiB, 97 %
2026/09/24 20:09:00.232, 48, 299.62 W, 2302 MHz, 13365 MHz, 16659 MiB, 97 %
2026/09/24 20:09:00.482, 48, 292.39 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:00.733, 48, 292.39 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:00.983, 49, 300.72 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:01.233, 49, 300.72 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:01.483, 49, 315.45 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:01.734, 49, 315.45 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:01.984, 49, 313.17 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:02.234, 49, 313.17 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:02.485, 49, 305.43 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:02.735, 49, 305.43 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:02.985, 49, 308.77 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:03.235, 49, 308.77 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:03.486, 50, 316.00 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:03.736, 50, 316.00 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 20:09:03.986, 50, 314.16 W, 2302 MHz, 13365 MHz, 16979 MiB, 99 %
2026/09/24 20:09:04.236, 50, 314.16 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:04.487, 49, 280.51 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:04.737, 49, 280.51 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:04.987, 50, 278.76 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:05.237, 50, 278.76 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:05.488, 50, 310.50 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:05.738, 50, 310.50 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:05.988, 50, 321.19 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:06.239, 50, 321.19 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:06.489, 50, 313.94 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:06.739, 50, 313.94 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:06.989, 50, 305.57 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:07.240, 50, 305.57 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:07.490, 51, 310.69 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:07.740, 51, 310.69 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:07.991, 51, 319.80 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:08.241, 51, 319.80 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:08.491, 51, 314.55 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:08.741, 51, 314.55 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:08.992, 51, 296.92 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:09.242, 51, 296.92 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:09.492, 51, 296.31 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:09.742, 51, 296.31 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:09.993, 51, 313.46 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:10.243, 51, 313.46 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:10.493, 51, 314.65 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:10.743, 51, 314.65 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:10.994, 51, 309.98 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:11.244, 51, 309.98 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:11.494, 51, 304.00 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:11.744, 51, 304.00 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:11.994, 52, 311.76 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:12.245, 52, 311.76 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:12.495, 52, 317.41 W, 2302 MHz, 13365 MHz, 17139 MiB, 93 %
2026/09/24 20:09:12.745, 52, 317.41 W, 2302 MHz, 13365 MHz, 17139 MiB, 93 %
2026/09/24 20:09:12.995, 52, 299.52 W, 2302 MHz, 13365 MHz, 17139 MiB, 97 %
2026/09/24 20:09:13.246, 52, 299.52 W, 2302 MHz, 13365 MHz, 17139 MiB, 97 %
2026/09/24 20:09:13.496, 52, 295.13 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:13.746, 52, 295.13 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:13.997, 52, 307.10 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:14.247, 52, 307.10 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:14.497, 52, 316.37 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:14.747, 52, 316.37 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:14.998, 52, 313.27 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:15.248, 52, 313.27 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:15.498, 52, 306.65 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:15.749, 52, 306.65 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:15.999, 53, 307.19 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
2026/09/24 20:09:16.249, 53, 307.19 W, 2302 MHz, 13365 MHz, 17139 MiB, 99 %
