# qwen4exp_real_gate	label=nvfp4-vmtoff	binary_sha256=ce2ad49a52a58e8a40951cbd7f3d7fa0371cfccb4378ff55ea86e4b2396eb41c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-ab k=4: plain greedy decode vs spec_generate, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len
0	plain	100	14.40	69.43	-	-
0	spec	100	11.11	90.02	0.870	4.35
1	plain	100	14.42	69.34	-	-
1	spec	100	11.00	90.90	0.870	4.35
2	plain	100	14.32	69.85	-	-
2	spec	100	10.98	91.10	0.870	4.35
# arm plain	mean_of_means_ms=14.38	min=14.32	max=14.42	tok_per_s=69.54
# arm spec	mean_of_means_ms=11.03	min=10.98	max=11.11	tok_per_s=90.67
# rep0_plain_vs_spec_first_divergence	-1
# accept_hist_total	3,3,6,3,54
# rep0_plain	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009,198,285,638,4381,283,1727,1358,727,10562,22517,39914,36053,7080,16,25,19876,11,1103,17,25,19876,8,1411,19876,25,198,262,4071,198,262,38754,1330,10300,10278,11140,1083,799,10300,10278,1103,13,198,1031,262,17167,25,198,285,1103,16,25,10877,314,279,1118,10300,10278,1103,13,198,285,1103,17,25,10877,314,279,2018
# rep0_spec	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009,198,285,638,4381,283,1727,1358,727,10562,22517,39914,36053,7080,16,25,19876,11,1103,17,25,19876,8,1411,19876,25,198,262,4071,198,262,38754,1330,10300,10278,11140,1083,799,10300,10278,1103,13,198,1031,262,17167,25,198,285,1103,16,25,10877,314,279,1118,10300,10278,1103,13,198,285,1103,17,25,10877,314,279,2018
