[moe] resident-experts decision: experts 15.60GB + trunk 2.60GB vs free 23.93GB (expert budget 19.33GB) -> RESIDENT
loaded qwen35moe (40 layers)
twpos: T=512 chat=false chunk_env=None
 pos | maxdiff | argmax tw/bp | tw_margin
   0 | 5.0884e-1 | 59/59 | 0.466794
  17 | 7.1311e-1 | 364/1785 FLIP | 0.344879
  26 | 1.2274e0 | 9255/90174 FLIP | 0.033802
  54 | 9.7688e-1 | 13646/16 FLIP | 0.155317
  55 | 7.2836e-1 | 383/303 FLIP | 0.259418
  64 | 1.8538e0 | 471/471 | 3.754059
  93 | 5.6196e-1 | 2261/364 FLIP | 0.144276
 121 | 5.0460e-1 | 2561/1652 FLIP | 0.117607
 128 | 7.1046e-1 | 784/784 | 5.738279
 149 | 1.3217e0 | 23/2731 FLIP | 0.289951
 173 | 1.0773e0 | 12877/10027 FLIP | 0.135061
 184 | 1.5709e0 | 17/16 FLIP | 0.262051
 185 | 1.0081e0 | 17/15 FLIP | 0.094429
 192 | 7.9205e-1 | 198/198 | 4.732913
 208 | 1.0452e0 | 18648/35088 FLIP | 0.252247
 210 | 6.5099e-1 | 748/364 FLIP | 0.167597
 216 | 1.4796e0 | 628/18648 FLIP | 0.003157
 221 | 1.6947e0 | 3817/6000 FLIP | 0.605154
 250 | 2.1422e0 | 318/2315 FLIP | 0.913464
 255 | 1.1957e0 | 20619/2424 FLIP | 0.319767
 256 | 1.1926e0 | 283/283 | 4.440153
 276 | 9.3156e-1 | 61738/33682 FLIP | 0.079744
 289 | 1.3691e0 | 14071/27896 FLIP | 0.080774
 320 | 9.8089e-1 | 6466/6466 | 3.547775
 383 | 1.7017e0 | 348/478 FLIP | 0.083010
 384 | 1.3984e0 | 18/18 | 1.096968
 428 | 8.4688e-1 | 364/318 FLIP | 0.056936
 431 | 1.2846e0 | 52502/6794 FLIP | 0.017660
 442 | 6.1510e-1 | 4206/7210 FLIP | 0.107859
 443 | 7.6298e-1 | 198/13 FLIP | 0.134424
 448 | 1.0642e0 | 1428/1428 | 0.124481
 449 | 7.6099e-1 | 14934/5488 FLIP | 0.153616
 455 | 1.0461e0 | 1518/553 FLIP | 0.013186
 457 | 7.2193e-1 | 279/15773 FLIP | 0.016483
 479 | 1.1192e0 | 10/13 FLIP | 0.028156
 511 | 2.4287e0 | 365/198 FLIP | 0.614575
twpos summary: 28/512 argmax flips at positions [17, 26, 54, 55, 93, 121, 149, 173, 184, 185, 208, 210, 216, 221, 250, 255, 276, 289, 383, 428, 431, 442, 443, 449, 455, 457, 479, 511]
twpos summary: max maxdiff 8.9877e0 at pos 302 (scattered small + near-tie-only flips = FP class; boundary-clustered or wide-margin flips = structured)
