# qwen4exp_real_gate	label=bhost-rulegates	binary_sha256=b8fcb3771024dff4ba2c48b124bde637dcec56f77092f46003eed418bfa8492e	ckpt=/home/ubuntu/data/q48fn-yarn1m	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# cache	kv_quant=f32	idxq=f32	golden_pin=true	seams_env=idxsel,plecache
# load_seconds=268.5
# vram	post-load	0, 95539 MiB, 97887 MiB | 1, 95283 MiB, 97887 MiB
# probe_tokens=10	ids=[760, 3841, 13477, 37550, 33075, 888, 279, 15217, 5388, 13]
# prefill_seconds=0.68
# vram	post-prefill	0, 95539 MiB, 97887 MiB | 1, 95443 MiB, 97887 MiB
record	rows	cols	max_abs	max_rel	mean_abs	ref_absmax
layer0	10	10240	7.269e-3	7.269e-3	2.142e-4	3.242e-1
layer1	10	10240	7.227e-3	7.227e-3	3.351e-4	4.551e-1
layer2	10	10240	9.171e-3	9.171e-3	4.949e-4	5.273e-1
layer3	10	10240	1.202e-2	1.202e-2	6.533e-4	5.039e-1
layer4	10	10240	2.478e-2	2.478e-2	9.177e-4	5.000e-1
layer5	10	10240	4.044e-2	2.372e-2	1.048e-3	3.047e0
layer6	10	10240	3.950e-2	2.886e-2	1.209e-3	3.078e0
layer7	10	10240	3.766e-2	3.383e-2	1.463e-3	3.047e0
layer8	10	10240	3.723e-2	3.318e-2	1.585e-3	3.062e0
layer9	10	10240	3.919e-2	3.313e-2	1.689e-3	3.062e0
layer10	10	10240	3.944e-2	3.256e-2	1.754e-3	3.125e0
layer11	10	10240	4.564e-2	3.283e-2	1.857e-3	3.016e0
layer12	10	10240	3.579e-2	3.568e-2	1.932e-3	2.953e0
layer13	10	10240	3.742e-2	3.595e-2	2.006e-3	2.984e0
layer14	10	10240	3.983e-2	3.505e-2	2.116e-3	3.016e0
layer15	10	10240	3.942e-2	3.557e-2	2.199e-3	2.953e0
layer16	10	10240	3.559e-2	3.559e-2	2.407e-3	2.938e0
layer17	10	10240	3.720e-2	3.452e-2	2.470e-3	2.969e0
layer18	10	10240	3.625e-2	3.625e-2	2.733e-3	2.969e0
layer19	10	10240	3.704e-2	3.704e-2	2.841e-3	3.000e0
layer20	10	10240	3.713e-2	3.713e-2	2.888e-3	2.938e0
layer21	10	10240	3.958e-2	3.958e-2	3.056e-3	2.969e0
layer22	10	10240	3.984e-2	3.984e-2	3.297e-3	2.969e0
layer23	10	10240	4.253e-2	4.253e-2	3.383e-3	2.969e0
layer24	10	10240	4.699e-2	4.699e-2	3.761e-3	3.828e0
layer25	10	10240	4.748e-2	4.748e-2	3.844e-3	3.859e0
layer26	10	10240	4.627e-2	4.627e-2	4.061e-3	5.062e0
layer27	10	10240	4.927e-2	4.927e-2	4.471e-3	4.750e0
layer28	10	10240	5.663e-2	5.663e-2	4.873e-3	4.531e0
layer29	10	10240	8.328e-2	8.328e-2	5.409e-3	4.469e0
layer30	10	10240	9.554e-2	9.554e-2	5.934e-3	4.438e0
layer31	10	10240	1.231e-1	1.231e-1	6.307e-3	4.281e0
layer32	10	10240	1.404e-1	1.404e-1	7.014e-3	3.891e0
layer33	10	10240	1.635e-1	1.635e-1	7.749e-3	3.844e0
layer34	10	10240	1.608e-1	1.608e-1	8.463e-3	3.828e0
layer35	10	10240	1.965e-1	1.965e-1	9.462e-3	3.859e0
layer36	10	10240	3.479e-1	3.479e-1	1.307e-2	6.844e0
layer37	10	10240	3.345e-1	3.345e-1	1.492e-2	7.094e0
layer38	10	10240	3.373e-1	3.373e-1	1.722e-2	7.094e0
layer39	10	10240	4.346e-1	4.346e-1	2.047e-2	7.188e0
layer40	10	10240	4.569e-1	4.569e-1	2.438e-2	7.219e0
layer41	10	10240	4.626e-1	4.626e-1	2.656e-2	7.125e0
layer42	10	10240	4.585e-1	4.585e-1	2.882e-2	7.156e0
layer43	10	10240	4.795e-1	4.795e-1	3.210e-2	7.188e0
layer44	10	10240	8.339e-1	6.477e-1	3.872e-2	1.162e1
layer45	10	10240	9.434e-1	6.560e-1	4.747e-2	1.169e1
layer46	10	10240	9.590e-1	7.443e-1	5.574e-2	1.350e1
layer47	10	10240	1.224e0	9.870e-1	5.999e-2	2.575e1
exit_mixer	10	2560	2.257e1	5.710e0	4.485e-1	1.880e2
logits	10	248320	6.178e0	5.639e0	2.789e-1	1.950e1
logits_row	max_abs	max_rel	ref_absmax	golden_top1	our_top1	match
0	3.552e-1	3.552e-1	1.231e1	20438	20438	true
1	1.233e0	1.031e0	1.431e1	4087	4087	true
2	1.155e0	1.155e0	1.800e1	37550	37550	true
3	1.356e0	1.185e0	1.638e1	33075	33075	true
4	1.234e0	1.163e0	1.888e1	888	888	true
5	1.762e0	1.451e0	1.862e1	279	279	true
6	3.455e0	2.145e0	1.950e1	15217	15217	true
7	1.806e0	1.629e0	1.888e1	5388	5388	true
8	1.874e0	1.752e0	1.575e1	13	13	true
9	6.178e0	5.639e0	1.638e1	271	271	true
# logits_argmax_agreement	10/10
# probe_logits	/home/ubuntu/realgate/kvq2/probe-logits-bhost-rulegates.bin	rows=10	vocab=248320
