04:26:21.997	DH	23	0	POLL
04:26:21.997	DH	23	1	C1
04:26:21.997	DH	23	2	C2
04:26:21.997	DH	23	3	C3
04:26:21.997	DH	24	0	POLL
04:26:21.997	DH	24	1	C1
04:26:21.997	DH	24	2	C2
04:26:21.997	DH	24	3	C3
04:26:21.997	DH	25	0	POLL
04:26:21.997	DH	25	1	C1
04:26:21.997	DH	25	2	C2
04:26:21.997	DH	25	3	C3
04:26:21.997	DH	26	0	POLL
04:26:21.997	DH	26	1	C1
04:26:21.997	DH	26	2	C2
04:26:21.997	DH	26	3	C3
04:26:21.997	DH	27	0	POLL
04:26:21.997	DH	27	1	C1
04:26:21.997	DH	27	2	C2
04:26:21.997	DH	27	3	C3
04:26:21.997	DH	28	0	POLL
04:26:21.997	DH	28	1	C1
04:26:21.997	DH	28	2	C2
04:26:21.997	DH	28	3	C3
04:26:21.997	DH	29	0	POLL
04:26:21.997	DH	29	1	C1
04:26:21.997	DH	29	2	C2
04:26:21.997	DH	29	3	C3
04:26:21.997	DH	30	0	POLL
04:26:21.997	DH	30	1	C1
04:26:21.997	DH	30	2	C2
04:26:21.997	DH	30	3	C3
04:26:21.997	DH	31	0	POLL
04:26:21.997	DH	31	1	C1
04:26:21.997	DH	31	2	C2
04:26:21.997	DH	31	3	C3
04:26:21.997	H	hwmon0:r8169_0_800:00/temp1_input=43500,hwmon1:nvme/temp1_input=33850,hwmon1:nvme/temp2_input=33850,hwmon1:nvme/temp3_input=38850,hwmon2:nvme/temp1_input=37850,hwmon3:k10temp/temp1_input=47750,hwmon3:k10temp/temp3_input=51625,hwmon3:k10temp/temp4_input=39500,hwmon4:spd5118/temp1_input=30500,hwmon5:spd5118/temp1_input=31000,hwmon6:spd5118/temp1_input=32750,hwmon7:spd5118/temp1_input=32000,hwmon9:amdgpu/power1_input=22000,hwmon9:amdgpu/temp1_input=39000
04:26:21.997	P	76620	VmLck=0,VmPin=0,VmRSS=86744,AnonHugePages=0,Shared_Hugetlb=0,Swap=0,Locked=0
04:26:22.247	C	cpu0 875334 7990 114024 142474095 33802 0 260745 0 0 0
04:26:22.247	C	cpu1 43300675 23154 4776348 95420247 35387 0 11727 0 0 0
04:26:22.247	C	cpu2 951065 6968 87287 142653114 17588 0 11400 0 0 0
04:26:22.247	C	cpu3 2041624 7100 165898 141370467 36067 0 9285 0 0 0
04:26:22.247	C	cpu4 34997841 17382 1714076 106822621 40049 0 5911 0 0 0
04:26:22.247	C	cpu5 1195508 6449 99727 142385155 18115 0 4742 0 0 0
04:26:22.247	C	cpu6 471369 701 57837 143142821 7136 0 2472 0 0 0
04:26:22.247	C	cpu7 383644 267 44275 143275245 4403 0 1479 0 0 0
04:26:22.247	C	cpu8 423693 492 73610 143221769 8685 0 1217 0 0 0
04:26:22.247	C	cpu9 469887 818 79817 143178699 8701 0 1354 0 0 0
04:26:22.247	C	cpu10 327859 273 50731 143376103 5082 0 618 0 0 0
04:26:22.247	C	cpu11 305287 183 43747 143414856 3324 0 374 0 0 0
04:26:22.247	C	cpu12 782338 2764 131025 142787186 14770 0 2292 0 0 0
04:26:22.247	C	cpu13 485572 1674 84064 143159486 9344 0 1420 0 0 0
04:26:22.247	C	cpu14 397598 143 67340 142943550 4296 0 25227 0 0 0
04:26:22.247	C	cpu15 319145 125 53515 143386229 3478 0 982 0 0 0
04:26:22.247	C	cpu16 412822 2101 40290 143232664 26215 0 1105 0 0 0
04:26:22.247	C	cpu17 11136244 4396 2107378 130437621 25704 0 1503 0 0 0
04:26:22.247	C	cpu18 348143 459 33331 143329347 17983 0 725 0 0 0
04:26:22.247	C	cpu19 404216 3841 42693 143205001 43524 0 804 0 0 0
04:26:22.247	C	cpu20 8049592 3574 463046 135176162 26025 0 1185 0 0 0
04:26:22.247	C	cpu21 390134 1956 35582 143277400 19892 0 611 0 0 0
04:26:22.247	C	cpu22 319880 70 27184 143391480 8425 0 289 0 0 0
04:26:22.247	C	cpu23 284015 32 22641 143448532 3556 0 173 0 0 0
04:26:22.247	C	cpu24 308787 130 40563 143410728 8086 0 488 0 0 0
04:26:22.247	C	cpu25 301587 130 41160 143415784 9813 0 328 0 0 0
04:26:22.247	C	cpu26 286794 75 38795 143439594 6904 0 207 0 0 0
04:26:22.247	C	cpu27 271791 99 35152 143462086 4631 0 151 0 0 0
04:26:22.247	C	cpu28 309384 324 38467 143399901 21131 0 189 0 0 0
04:26:22.247	C	cpu29 288505 175 34381 143432633 15369 0 132 0 0 0
04:26:22.247	C	cpu30 248180 64 27435 143492581 6541 0 85 0 0 0
04:26:22.247	C	cpu31 156802 55 119732 143494644 4423 0 114 0 0 0
04:26:22.247	N	6817855498	4954936769
04:26:22.247	O	76620	run-gen-p71	17	241222090 2384 16	54360	0	3	20
04:26:22.247	S	TIMER	0:3,1:1,5:2,13:1,16:6,17:21,20:1,31:2
04:26:22.247	S	NET_RX	0:1,14:13
04:26:22.247	S	BLOCK	31:4
04:26:22.247	S	SCHED	0:39,1:36,3:3,4:8,5:17,6:3,7:7,9:6,11:1,12:1,13:15,14:11,15:14,16:9,17:15,18:5,19:9,20:1,24:6,25:6,26:4,27:7,28:16,31:7
04:26:22.247	S	RCU	0:15,1:2,3:6,4:7,5:16,6:4,7:5,9:4,10:1,11:3,12:3,13:17,14:9,15:13,16:8,17:51,18:5,19:13,24:6,25:3,26:8,27:5,28:14,30:1,31:6
04:26:22.247	D	0	0:111/3,1:40/1,2:12548/13,3:231341/65
04:26:22.247	D	1	0:38/1,3:196833/39
04:26:22.247	D	2	3:221103/6
04:26:22.247	D	3	2:5621/6,3:227152/33
04:26:22.247	D	4	1:33/1,2:10422/16,3:217920/22
04:26:22.247	D	5	0:221/6,2:21387/28,3:177701/45
04:26:22.247	D	6	0:36/1,2:3989/6,3:192254/13
04:26:22.247	D	7	0:111/3,2:7638/10,3:188041/19
04:26:22.247	D	8	3:295026/5
04:26:22.247	D	9	1:34/1,2:5708/6,3:285878/17
04:26:22.247	D	10	3:221353/9
04:26:22.247	D	11	2:999/1,3:248027/12
04:26:22.247	D	12	2:2993/3,3:193129/6
04:26:22.247	D	13	0:263/7,2:23578/29,3:169710/40
04:26:22.247	D	14	0:338/9,1:70/5,2:11132/13,3:211514/32
04:26:22.247	D	15	0:75/2,2:17971/18,3:177896/47
04:26:22.247	D	16	2:9982/10,3:186105/21
04:26:22.247	D	17	0:20/1,1:148/9,2:3018/4,3:3820/8
04:26:22.247	D	18	0:73/2,2:4927/5,3:193823/18
04:26:22.247	D	19	0:20/1,2:14073/17,3:180811/26
04:26:22.247	D	20	2:518/1,3:248671/35
04:26:22.247	D	21	3:239131/4
04:26:22.247	D	22	3:219132/4
04:26:22.247	D	23	3:252275/4
04:26:22.247	D	24	0:75/2,2:3845/5,3:192049/14
04:26:22.247	D	25	2:5985/6,3:190126/13
04:26:22.247	D	26	0:114/3,2:9155/11,3:200164/23
04:26:22.247	D	27	0:38/1,2:9988/10,3:186077/17
04:26:22.247	D	28	0:228/6,1:79/3,2:21589/26,3:210353/44
04:26:22.247	D	29	3:231132/4
04:26:22.247	D	30	2:70/1,3:249861/5
04:26:22.247	D	31	2:12058/22,3:233245/14
04:26:22.247	V	nr_free_pages:-28027,nr_free_pages_blocks:-2048,nr_zone_active_anon:46321,nr_zone_inactive_file:11,nr_zone_active_file:39,nr_zone_unevictable:-4,nr_zone_write_pending:53,nr_mlock:-4,numa_hit:55856,numa_local:55856,nr_active_anon:46321,nr_inactive_file:11,nr_active_file:39,nr_unevictable:-4,nr_slab_unreclaimable:175,nr_anon_pages:44485,nr_mapped:42951,nr_file_pages:2067,nr_dirty:53,nr_shmem:2016,nr_dirtied:53,nr_kernel_misc_reclaimable:-19086,nr_foll_pin_acquired:2016,nr_kernel_stack:144,nr_page_table_pages:-751,nr_sec_page_table_pages:21,nr_iommu_pages:21,nr_dirty_threshold:-5594,nr_dirty_background_threshold:-2793,pgalloc_normal:59985,pgfree:9280,pgfault:57092,pgreuse:210
04:26:22.247	H	hwmon0:r8169_0_800:00/temp1_input=43500,hwmon1:nvme/temp1_input=33850,hwmon1:nvme/temp2_input=33850,hwmon1:nvme/temp3_input=38850,hwmon2:nvme/temp1_input=37850,hwmon3:k10temp/temp1_input=48750,hwmon3:k10temp/temp3_input=52625,hwmon3:k10temp/temp4_input=33000,hwmon4:spd5118/temp1_input=30500,hwmon5:spd5118/temp1_input=31000,hwmon6:spd5118/temp1_input=32750,hwmon7:spd5118/temp1_input=32000,hwmon9:amdgpu/power1_input=14000,hwmon9:amdgpu/temp1_input=39000
04:26:22.497	C	cpu0 875334 7990 114024 142474120 33802 0 260745 0 0 0
04:26:22.497	C	cpu1 43300682 23154 4776353 95420260 35387 0 11727 0 0 0
04:26:22.497	C	cpu2 951065 6968 87287 142653139 17588 0 11400 0 0 0
04:26:22.497	C	cpu3 2041624 7100 165898 141370492 36067 0 9285 0 0 0
04:26:22.497	C	cpu4 34997841 17382 1714076 106822646 40049 0 5911 0 0 0
04:26:22.497	C	cpu5 1195508 6449 99727 142385180 18115 0 4742 0 0 0
