format	memra-checkpoint-oracle-v1
engine	memra-native-serving-numeric
numeric_class	serving-weight-and-cache-formats
tokens	1,2,3,4
vocab	154880
logit	275	40a78102
logit	276	408c5e5e
logit	277	40aa32b0
logit	278	4029e2c0
logit	279	40f3e659
logit	280	405f51de
logit	281	40b940c2
logit	282	40a6874c
logit	283	404f24e2
logit	284	40f609ea
logit	285	40dd30d6
logit	286	40b02b18
logit	287	40c8dda4
logit	288	40ad7091
logit	289	409f836c
logit	290	3eb30908
logit	291	4046091e
logit	292	3fe7ac3a
logit	293	40aa14e2
logit	294	40c084a8
logit	295	409bc249
logit	296	40b363da
logit	297	40703454
logit	298	4027f854
logit	299	406e272a
logit	300	40a2feaa
logit	301	402bc0cc
logit	302	40572df5
logit	303	40a1888c
logit	304	40e5522e
logit	305	40a7c6ce
logit	306	4086ecfe
logit	307	4067ce8a
logit	308	40b5fb82
logit	309	407e27a0
logit	310	40688f3e
logit	311	40c93a80
logit	312	40810a14
logit	313	40b5b788
logit	314	407c0791
logit	315	40afa67f
logit	316	4043a1bd
logit	317	3fba7805
logit	318	40538a75
logit	319	bdf66238
logit	320	4105323c
logit	321	408c25b5
logit	322	40c56c8e
logit	323	411e1795
logit	324	408df504
logit	325	406f4fd6
logit	326	408ca4c0
logit	327	406b7bb6
logit	328	40aa83aa
logit	329	407be4a3
logit	330	411c0612
logit	331	405a67d7
logit	332	4076580e
logit	333	40971fbe
logit	334	40c021d7
logit	335	407e229d
logit	336	4074b81c
logit	337	4031e123
logit	338	40278e38
logit	339	407001a1
logit	340	40b606f6
logit	341	401a0be9
logit	342	40a4aca6
logit	343	4076f750
logit	344	4035863d
logit	345	40c24c30
logit	346	40367724
logit	347	4053a009
logit	348	40953e48
logit	349	3fae9603
logit	350	40c2b8a6
logit	351	406a8a88
logit	352	3fdf43b9
logit	353	40f60fcc
logit	354	408c4062
logit	355	405a3a8f
logit	356	40b26315
logit	357	4059d313
logit	358	40c1dc6c
logit	359	40242503
logit	360	40139020
logit	361	403412b8
logit	362	40c62c1d
logit	363	40811ff6
logit	364	412839aa
logit	365	404d4d10
logit	366	40dc5ed8
logit	367	3f9ce241
logit	368	41094d40
logit	369	40f5e5a5
logit	370	4086e446
logit	371	40240a1b
logit	372	400290cf
logit	373	3f94021b
logit	374	41052c9e
logit	375	402c7c2a
logit	376	404c1f9c
logit	377	40877c29
logit	378	40ffe856
logit	379	40b4558d
logit	380	4089f367
logit	381	400a22c7
logit	382	40db35ce
logit	383	40dabd30
logit	384	40cbcde2
logit	385	3ff5b09b
logit	386	409baf44
logit	387	408e9da2
logit	388	409f2635
logit	389	40996e78
logit	390	4074913f
logit	391	405995c4
logit	392	3ea32918
logit	393	40c95aae
logit	394	404a8db2
logit	395	3fdd5559
logit	396	4055d9fc
logit	397	406ea3c9
logit	398	404c97b0
logit	399	3ff1d32a
logit	400	4117e496
logit	401	40919652
logit	402	405a6d92
logit	403	3f0a760e
logit	404	4092ba89
logit	405	40b47046
logit	406	40902f36
logit	407	3ec4119e
logit	408	4037c0fe
logit	409	409e4eee
logit	410	3f112de1
logit	411	4034bc82
logit	412	40147704
logit	413	4016a3f7
logit	414	40b2980c
logit	415	3fcf16a4
logit	416	405ef3d0
logit	417	409d63ea
logit	418	4093809e
logit	419	40c36a5a
logit	420	40036695
logit	421	40af6c44
logit	422	40bc6b42
logit	423	3ff9cb92
logit	424	4078b1e9
logit	425	40a3d4c2
logit	426	40901f04
logit	427	3faf3f6a
logit	428	40b1e89a
logit	429	40a4182e
logit	430	40808fc9
logit	431	40b835eb
logit	432	40a25b92
logit	433	3ff23eba
logit	434	40b8a6bd
logit	435	40b57c3e
logit	436	406f836b
logit	437	40e7e12c
logit	438	409e1d27
logit	439	403ed1ba
logit	440	401c6236
logit	441	40768ca8
logit	442	40a24e82
logit	443	40073cb5
logit	444	4075fa9b
logit	445	40c5e72a
logit	446	3f82e184
logit	447	3f411332
logit	448	40d0979a
logit	449	bea5c424
logit	450	408fb313
logit	451	4096e31c
logit	452	40438159
logit	453	408cdbe2
logit	454	40234d68
logit	455	404e45e0
logit	456	401bd96f
logit	457	4009b66c
logit	458	40a8c77f
logit	459	3fe3d429
logit	460	3f5eeada
logit	461	40a338cf
logit	462	404b32b4
logit	463	bf816e40
logit	464	3f97ecfe
logit	465	3fd3ded5
logit	466	3feaae4c
logit	467	409ba782
logit	468	40b6f286
logit	469	3fefae5c
logit	470	403175c3
logit	471	405db193
logit	472	40a0c148
logit	473	3fa0f85a
logit	474	3f6d5bd6
logit	475	bfa85b1e
logit	476	40bf9d30
logit	477	402fd674
logit	478	404695ca
logit	479	40bb9f72
logit	480	40366a44
logit	481	4102728f
logit	482	3f16eda8
logit	483	4082eeae
logit	484	4019aec4
logit	485	40198570
