  setup (plain): base usage={'prompt_tokens': 5120, 'completion_tokens': 1, 'total_tokens': 5121, 'prompt_tokens_details': {'cached_tokens': 0}, 'elapsed_s': 1.426715641} seed_lines=1 captures=1
  run  1 order 1 idle     tokens=160 p50=13.4 max=14.9 stall=1.5 two_tick=3.0 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run  2 order 1 plain    tokens=160 p50=13.4 max=103.4 stall=90.0 two_tick=92.5 intruder=(119.5, 5184, 5120) captures=[(16.0, 'tick-top poll')] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run  3 order 1 idle     tokens=160 p50=13.4 max=14.9 stall=1.5 two_tick=1.5 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run  4 order 1 plain    tokens=160 p50=13.4 max=103.4 stall=90.0 two_tick=92.4 intruder=(119.4, 5184, 5120) captures=[(15.8, 'tick-top poll')] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run  5 order 1 idle     tokens=160 p50=13.4 max=14.9 stall=1.5 two_tick=1.5 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run  6 order 1 plain    tokens=160 p50=13.5 max=103.7 stall=90.3 two_tick=92.7 intruder=(119.7, 5184, 5120) captures=[(15.9, 'tick-top poll')] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run  7 order 1 idle     tokens=160 p50=13.4 max=14.9 stall=1.5 two_tick=1.5 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run  8 order 1 plain    tokens=160 p50=13.4 max=103.7 stall=90.3 two_tick=92.5 intruder=(119.5, 5184, 5120) captures=[(15.7, 'tick-top poll')] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run  9 order 1 idle     tokens=160 p50=13.5 max=14.9 stall=1.5 two_tick=1.4 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run 10 order 1 plain    tokens=160 p50=13.5 max=103.8 stall=90.3 two_tick=92.7 intruder=(119.7, 5184, 5120) captures=[(15.8, 'tick-top poll')] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 11 order 2 plain    tokens=160 p50=13.5 max=103.8 stall=90.4 two_tick=92.7 intruder=(119.7, 5184, 5120) captures=[(15.7, 'tick-top poll')] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 12 order 2 idle     tokens=160 p50=13.5 max=14.9 stall=1.5 two_tick=2.9 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run 13 order 2 plain    tokens=160 p50=13.5 max=103.6 stall=90.2 two_tick=92.4 intruder=(119.4, 5184, 5120) captures=[(15.7, 'tick-top poll')] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 14 order 2 idle     tokens=160 p50=13.5 max=14.9 stall=1.4 two_tick=2.8 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run 15 order 2 plain    tokens=160 p50=13.5 max=103.8 stall=90.3 two_tick=92.6 intruder=(119.6, 5184, 5120) captures=[(15.7, 'tick-top poll')] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 16 order 2 idle     tokens=160 p50=13.5 max=14.9 stall=1.5 two_tick=1.5 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run 17 order 2 plain    tokens=160 p50=13.5 max=103.8 stall=90.3 two_tick=92.6 intruder=(119.7, 5184, 5120) captures=[(15.7, 'tick-top poll')] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 18 order 2 idle     tokens=160 p50=13.5 max=14.9 stall=1.5 two_tick=2.9 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
  run 19 order 2 plain    tokens=160 p50=13.5 max=103.8 stall=90.4 two_tick=92.7 intruder=(119.7, 5184, 5120) captures=[(15.8, 'tick-top poll')] seeds=[5184] victim=None aborts=0 demote=[] errors=0
  run 20 order 2 idle     tokens=160 p50=13.5 max=14.9 stall=1.5 two_tick=1.4 intruder=None captures=[] seeds=[] victim=None aborts=0 demote=[] errors=0
RETIRE rule cell=retire-on2 arm=plain n_per_order=5 pooled=10 idle_runs=10 idle_p50=13.5 idle_p95=14.8 idle_p99=14.9 idle_max=14.9 arm_runs=10 arm_p50=13.5 arm_p95=14.8 arm_p99=15.7 arm_max=103.8 stall_median=90.3 stall_min=90.0 stall_max=90.4 two_tick_stall_median=92.6 intruder_wall_median=119.7 intruder_wall_ms=[119.5, 119.4, 119.7, 119.5, 119.7, 119.7, 119.4, 119.6, 119.7, 119.7] intruder_prompt_tokens=[5184, 5184, 5184, 5184, 5184, 5184, 5184, 5184, 5184, 5184] intruder_cached_tokens=[5120, 5120, 5120, 5120, 5120, 5120, 5120, 5120, 5120, 5120] captures_published=10 settled_by_retire=0 settled_by_poll=10 settled_by_other=[] copy_ms=[16.0, 15.8, 15.9, 15.7, 15.8, 15.7, 15.7, 15.7, 15.7, 15.8] copy_ms_median=15.8 copy_ms_retire_settled=[] stall_ms_retire_settled=[] victim_close_after_post_ms=[] capture_polls=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1] captures_submitted_mb=[310.8, 310.8, 310.8, 310.8, 310.8, 310.8, 310.8, 310.8, 310.8, 310.8] seed_inserts=10 seed_tokens=[5184] victim_aborts=0 victim_tokens_before_close=[] server_demote_ms=[] tenant_text_identical=True errors=0
