label	ticks	prefill_ticks	serial_calls	serial_tokens	batch_calls	batch_tokens	prefill_ms_median	prefill_ms_p95	decode_ms_p95
mixed	445	42	85	90112	2	512	3516.9	7066.7	44.5
prime-only	363	16	49	53248	0	0	7010.2	7075.3	29.1
