#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    23:51:23       1     32     27      -      0      0      0      0      0      0    405    180      0      0      0 
 20260812    23:51:24       1     68     28      -     19      1      0      0      0      0  12481   2325   1747   1746      0 
 20260812    23:51:25       1     94     29      -      0      0      0      0      0      0  12481   2325   9587   9586      0 
 20260812    23:51:26       1     85     29      -      0      0      0      0      0      0  12481   2325   9587   9586      0 
 20260812    23:51:27       1     89     29      -     15      1      0      0      0      0  12481   2325  12706  12706      0 
 20260812    23:51:28       1     93     29      -      0      0      0      0      0      0  12481   2325  19170  19170      0 
 20260812    23:51:29       1     85     29      -      0      0      0      0      0      0  12481   2325  19170  19170      0 
 20260812    23:51:30       1    277     32      -      4      0      0      0      0      0  12481   2340  21154  21154      0 
 20260812    23:51:31       1    249     45      -     99     46      0      0      0      0  12481   2302  21538  21538      0 
 20260812    23:51:32       1    285     36      -     95     68      0      0      0      0  12481   2325  21538  21538      0 
 20260812    23:51:33       1    345     46      -    100     36      0      0      0      0  12481   2310  23522  23522      0 
 20260812    23:51:34       1    263     33      -      4      0      0      0      0      0  12481   2325  23522  23522      0 
 20260812    23:51:35       1    306     39      -     98     76      0      0      0      0  12481   2310  23522  23522      0 
 20260812    23:51:36       1    341     40      -     98     76      0      0      0      0  12481   2310  23522  23522      0 
 20260812    23:51:37       1    343     41      -     98     76      0      0      0      0  12481   2310  23522  23522      0 
 20260812    23:51:38       1    343     41      -     98     75      0      0      0      0  12481   2310  23522  23522      0 
 20260812    23:51:39       1    341     41      -     98     75      0      0      0      0  12481   2317  23522  23522      0 
 20260812    23:51:40       1    343     42      -     98     75      0      0      0      0  12481   2317  23522  23522      0 
 20260812    23:51:41       1    343     42      -     98     75      0      0      0      0  12481   2317  23522  23522      0 
 20260812    23:51:42       1    336     42      -     98     70      0      0      0      0  12481   2317  23522  23522      0 
 20260812    23:51:43       1    332     42      -     98     71      0      0      0      0  12481   2317  23522  23522      0 
 20260812    23:51:44       1    332     43      -     98     71      0      0      0      0  12481   2317  23522  23522      0 
 20260812    23:51:45       1    332     43      -     98     70      0      0      0      0  12481   2310  23522  23522      0 
 20260812    23:51:46       1    333     43      -     98     70      0      0      0      0  12481   2317  23522  23522      0 
 20260812    23:51:47       1    333     44      -     98     70      0      0      0      0  12481   2317  23522  23522      0 
 20260812    23:51:48       1    334     44      -     98     70      0      0      0      0  12481   2317  23522  23522      0 
 20260812    23:51:49       1    331     43      -     98     70      0      0      0      0  12481   2317  23522  23522      0 
 20260812    23:51:50       1    319     43      -     98     71      0      0      0      0  12481   2385  23522  23522      0 
 20260812    23:51:51       1    319     44      -     98     71      0      0      0      0  12481   2370  23522  23522      0 
 20260812    23:51:52       1    318     44      -     98     71      0      0      0      0  12481   2377  23522  23522      0 
 20260812    23:51:53       1    314     44      -     98     71      0      0      0      0  12481   2392  23522  23522      0 
 20260812    23:51:54       1    306     44      -     98     71      0      0      0      0  12481   2415  23522  23522      0 
 20260812    23:51:55       1    301     44      -     98     71      0      0      0      0  12481   2415  23522  23522      0 
