procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 37505196 1526948 376755028    0    0    68  1320 1716    0  1  0 99  0  0  0
 2  0      0 36488816 1526956 376763188    0    0    80   252 7356 4152  2  3 95  0  0  0
 3  0      0 36448960 1526956 376763316    0    0     0   728 5742 3425  3  2 96  0  0  0
 1  0      0 36361680 1526956 376763316    0    0     0     0 4357 3442  1  1 97  0  0  0
 2  0      0 35378068 1526956 376771512    0    0     0     0 6389 4120  2  2 96  0  0  0
 2  0      0 35212220 1526956 376771512    0    0     0     0 5452 3520  3  2 96  0  0  0
 1  0      0 35209156 1526960 376771520    0    0     0    36 4314 3678  1  1 98  0  0  0
 2  0      0 35200100 1526960 376771536    0    0     0     0 5973 5992  4  1 96  0  0  0
 2  0      0 35168392 1526960 376771540    0    0     0   124 5770 4125  3  2 96  0  0  0
 2  0      0 35152372 1526960 376771540    0    0     0     0 5144 3482  3  1 96  0  0  0
 2  0      0 35176288 1526960 376771544    0    0     0     0 5335 4064  3  1 96  0  0  0
 2  0      0 35185712 1526960 376771544    0    0     0    68 5446 3580  3  2 96  0  0  0
 2  0      0 35235568 1526960 376771544    0    0     0     0 5675 3830  3  1 96  0  0  0
 2  0      0 35218392 1526960 376771548    0    0     0     0 5288 3278  3  1 96  0  0  0
 2  0      0 35227484 1526960 376771548    0    0     0     0 5544 4137  4  1 96  0  0  0
 2  0      0 35244448 1526960 376771548    0    0     0     0 5715 5569  4  0 96  0  0  0
 2  0      0 35288560 1526960 376771552    0    0     0  9612 5386 3486  3  1 96  0  0  0
 3  0      0 35311372 1526964 376771556    0    0     0    32 5273 3281  3  1 96  0  0  0
 2  0      0 35329284 1526976 376771560    0    0     0 206004 7085 5420  3  1 96  0  0  0
 3  0      0 35276908 1526976 376771560    0    0     0     0 5144 3329  3  1 96  0  0  0
 2  0      0 35299404 1526976 376771568    0    0     0     0 5394 3343  3  1 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 35307408 1526976 376771568    0    0     0     0 5220 3283  3  1 96  0  0  0
 2  0      0 35319792 1526980 376771568    0    0     0   100 5626 4791  4  0 96  0  0  0
 2  0      0 35334292 1526980 376771568    0    0     0     0 5527 4801  4  1 96  0  0  0
 2  0      0 35351728 1526980 376771568    0    0     0   164 5295 3287  3  1 96  0  0  0
 2  0      0 35422484 1526980 376771572    0    0     0     0 5176 3294  3  1 96  0  0  0
 2  0      0 35404356 1526980 376771576    0    0     0    28 5217 3254  3  1 96  0  0  0
 2  0      0 35399180 1526984 376771576    0    0     0    48 5428 3466  3  1 96  0  0  0
 2  0      0 35403540 1526984 376771584    0    0     0     4 5098 3294  3  1 96  0  0  0
 2  0      0 35405648 1526984 376771584    0    0     0     0 5155 3342  3  1 96  0  0  0
 2  0      0 35443800 1526984 376771592    0    0     0     0 5235 5192  4  0 96  0  0  0
 2  0      0 35473688 1526984 376771600    0    0     0   264 7952 5671  4  1 95  0  0  0
 2  0      0 35475640 1526988 376771716    0    0     0    56 5047 3341  3  1 96  0  0  0
 2  0      0 35461740 1526988 376771720    0    0     0 51356 5895 3955  3  1 96  0  0  0
 2  0      0 35436268 1526988 376771724    0    0     0     0 4896 3265  3  1 96  0  0  0
 2  0      0 35467552 1526988 376771724    0    0     0     0 5128 3432  3  1 96  0  0  0
 2  0      0 35467820 1526988 376771724    0    0     0     0 4939 3265  3  1 96  0  0  0
 2  0      0 35485144 1526992 376771724    0    0     0   276 5572 3360  3  1 96  0  0  0
 2  0      0 35496908 1526992 376771732    0    0     0     8 7310 3991  3  1 95  0  0  0
 2  0      0 35515576 1526992 376771728    0    0     0     0 6209 5535  4  0 96  0  0  0
 4  0      0 35516520 1526992 376771732    0    0     0     0 5382 4706  4  1 96  0  0  0
 2  0      0 35513872 1526992 376771736    0    0     0     0 5210 3355  3  1 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 35512012 1526996 376771740    0    0     0    52 5422 3349  3  1 96  0  0  0
 2  0      0 35528968 1526996 376771748    0    0     0     0 5252 3374  3  1 96  0  0  0
 3  0      0 35547232 1526996 376771748    0    0     0     0 5173 3294  3  1 96  0  0  0
 2  0      0 35537692 1526996 376771752    0    0     0     0 5287 3320  3  1 96  0  0  0
 2  0      0 35534204 1526996 376771752    0    0     0     0 5253 3309  3  1 96  0  0  0
 2  0      0 35553812 1527004 376771752    0    0     0    48 4999 3400  3  1 96  0  0  0
 2  0      0 35548848 1527004 376771756    0    0     0     0 5365 4802  4  0 96  0  0  0
 2  0      0 35566820 1527004 376771756    0    0     0     0 5505 5061  4  1 96  0  0  0
 2  0      0 35547876 1527004 376771760    0    0     0     0 5190 3660  3  1 96  0  0  0
 2  0      0 35528360 1527004 376771764    0    0     0     0 5248 3325  3  1 96  0  0  0
 2  0      0 35538852 1527004 376771772    0    0     0    24 5456 3413  3  1 96  0  0  0
 2  0      0 35555196 1527004 376771776    0    0     0     0 5142 3263  3  1 96  0  0  0
 2  0      0 35589084 1527004 376771776    0    0     0     0 5313 3355  3  1 96  0  0  0
 2  0      0 35565236 1527004 376771780    0    0     0   100 5169 3357  3  1 96  0  0  0
 2  0      0 35562420 1527004 376771780    0    0     0     0 5203 3293  3  1 96  0  0  0
 2  0      0 35628116 1527012 376771780    0    0     0 10332 5586 4744  4  1 96  0  0  0
 2  0      0 35632880 1527012 376771784    0    0     0     0 5771 5213  4  0 96  0  0  0
 2  0      0 35629104 1527012 376771788    0    0     0     0 5166 3339  3  1 96  0  0  0
 2  0      0 35645760 1527012 376771788    0    0     0     0 5312 3304  3  1 96  0  0  0
 2  0      0 35669696 1527012 376771792    0    0     0     0 5216 3796  4  0 96  0  0  0
 2  0      0 35678400 1527016 376771800    0    0     0   124 5996 4334  4  1 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 35693424 1527016 376771928    0    0     0     0 4943 3323  3  1 96  0  0  0
 2  0      0 35667648 1527016 376771928    0    0     0    28 5350 3397  3  1 96  0  0  0
 3  0      0 35699168 1527016 376771936    0    0     0     0 5208 3330  3  1 96  0  0  0
 2  0      0 35719796 1527016 376771936    0    0     0     0 5325 3264  3  1 96  0  0  0
 2  0      0 35693428 1527016 376771940    0    0     0    68 5282 3451  3  1 96  0  0  0
 2  0      0 35643460 1527016 376771940    0    0     0     0 4987 3257  3  1 96  0  0  0
 2  0      0 35641680 1527016 376771940    0    0     0     8 5075 3251  3  1 96  0  0  0
 2  0      0 35643956 1527016 376771940    0    0     0     0 5454 3253  3  1 95  0  0  0
 2  0      0 35704444 1527016 376771944    0    0     0     0 5284 4241  4  1 96  0  0  0
 2  0      0 35721128 1527024 376771944    0    0     0   116 5700 6465  4  0 96  0  0  0
 2  0      0 35686280 1527024 376771948    0    0     0     0 5145 3319  3  1 96  0  0  0
 2  0      0 35655912 1527024 376771948    0    0     0     0 4978 3205  3  1 96  0  0  0
 2  0      0 35607300 1527024 376771952    0    0     0     0 5390 3392  3  1 96  0  0  0
 2  0      0 35645180 1527028 376771948    0    0     0    88 6891 4276  3  1 95  0  0  0
 2  0      0 35625516 1527032 376771960    0    0     0    32 7377 4433  3  2 95  0  0  0
 2  0      0 35642896 1527032 376771960    0    0     0    16 4898 3274  3  1 96  0  0  0
 2  0      0 35638104 1527032 376771960    0    0     0     0 5185 3405  3  1 96  0  0  0
 2  0      0 35616272 1527032 376771960    0    0     0     0 5287 3247  3  1 96  0  0  0
 2  0      0 35621984 1527032 376771960    0    0     0     0 5368 3326  3  1 96  0  0  0
 2  0      0 35599864 1527036 376771960    0    0     0    32 5243 5312  4  0 96  0  0  0
 2  0      0 35602084 1527036 376771964    0    0     0     0 5684 5277  4  1 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 35590468 1527036 376771980    0    0     0     4 7390 4265  3  1 96  0  0  0
 2  0      0 35606448 1527036 376771980    0    0     0     0 5073 3329  3  1 96  0  0  0
 2  0      0 35582100 1527036 376771984    0    0     0     0 4968 3237  3  1 96  0  0  0
 2  0      0 35621724 1527040 376771984    0    0     0    20 5593 3832  3  2 96  0  0  0
 3  0      0 35565136 1527040 376771992    0    0     0    32 5168 3642  3  1 96  0  0  0
 2  0      0 35654820 1527040 376771992    0    0     0     0 5347 3624  3  2 96  0  0  0
 2  0      0 35658004 1527040 376772000    0    0     0     0 5462 3806  3  1 96  0  0  0
 2  0      0 35676084 1527040 376772004    0    0     0     0 5342 4764  4  1 96  0  0  0
 2  0      0 35688028 1527040 376772120    0    0     0    20 6189 5741  4  0 96  0  0  0
 2  0      0 35662076 1527040 376772120    0    0     0   272 5043 3266  3  1 96  0  0  0
 2  0      0 35654160 1527040 376772120    0    0     0    20 5382 3338  3  1 96  0  0  0
 2  0      0 35665408 1527040 376772120    0    0     0     0 5223 3366  3  1 96  0  0  0
 2  0      0 35689644 1527040 376772124    0    0     0     0 5304 3322  3  1 96  0  0  0
 2  0      0 35691108 1527044 376772124    0    0     0    64 5180 3344  3  1 96  0  0  0
 2  0      0 35710540 1527044 376772128    0    0     0    12 5255 3334  3  1 96  0  0  0
 2  0      0 35679596 1527044 376772132    0    0     0     0 5136 3294  3  1 96  0  0  0
 2  0      0 35709548 1527044 376772136    0    0     0    16 5408 3330  3  1 96  0  0  0
 2  0      0 35753748 1527044 376772140    0    0     0     0 5036 3202  3  1 96  0  0  0
