prompt	t	mla_ordinal	trunk_layer	a_ms	b_ms	saving_ms
p32k	2	0	3	0.552920013666	0.203839361668	0.349211208522
p32k	2	1	7	0.551576972008	0.203889280557	0.347725093365
p32k	2	2	11	0.55290338397	0.204063996672	0.34883518517
p32k	2	3	15	0.550594270229	0.203978233039	0.346625633537
p32k	2	4	19	0.553278714418	0.204115837813	0.349082872271
p32k	2	5	23	0.555844783783	0.203885123133	0.352032624186
p32k	2	6	27	0.5567766428	0.203890874982	0.352914884687
p32k	2	7	31	0.554452806711	0.203974410892	0.350461438298
p32k	2	8	35	0.556979209185	0.203825607896	0.353139191866
p32k	2	9	39	0.55548864603	0.203535355627	0.352010257542
p32k	2	10	43	0.556444466114	0.203820154071	0.352627828717
p32k	4	0	3	0.606658875942	0.370425611735	0.236183986068
p32k	4	1	7	0.606155842542	0.370527669787	0.235651865602
p32k	4	2	11	0.606354266405	0.370790734887	0.235639020801
p32k	4	3	15	0.607025265694	0.370497912169	0.236538276077
p32k	4	4	19	0.605723530054	0.370775684715	0.23494784534
p32k	4	5	23	0.606892794371	0.370483532548	0.236420482398
p32k	4	6	27	0.605271369219	0.370387837291	0.234882250429
p32k	4	7	31	0.608842223882	0.370573118329	0.238303333521
p32k	4	8	35	0.606933772564	0.370463356375	0.236496642232
p32k	4	9	39	0.607549786568	0.370552316308	0.237009614706
p32k	4	10	43	0.608703702688	0.370379835367	0.238323867321
p32k	7	0	3	0.946578264236	0.609243810177	0.337397485971
p32k	7	1	7	0.94496062398	0.60878431797	0.336240619421
p32k	7	2	11	0.945695340634	0.608732491732	0.336968958378
p32k	7	3	15	0.945202887058	0.608872950077	0.336329936981
p32k	7	4	19	0.946220785379	0.609281569719	0.336954534053
p32k	7	5	23	0.950475186109	0.608746886253	0.341742396355
p32k	7	6	27	0.948113232851	0.608811169863	0.339375346899
p32k	7	7	31	0.947301745415	0.608938276768	0.338302075863
p32k	7	8	35	0.948080331088	0.608718723059	0.339532136917
p32k	7	9	39	0.945246726275	0.608739197254	0.336560338736
p32k	7	10	43	0.948684155941	0.608801275491	0.339691847563
p128k	2	0	3	0.553810209036	0.20384735614	0.34991132468
p128k	2	1	7	0.550752967596	0.204105600715	0.346536010504
p128k	2	2	11	0.550906568765	0.20422783494	0.346823677421
p128k	2	3	15	0.550032943487	0.203997440636	0.34598685056
p128k	2	4	19	0.55126658082	0.204091519117	0.347138896584
p128k	2	5	23	0.554454743862	0.204068802297	0.350404150783
p128k	2	6	27	0.552084475756	0.203991040588	0.348053440451
p128k	2	7	31	0.552286714315	0.20390432328	0.348379485309
p128k	2	8	35	0.549694061279	0.203861758113	0.345829762518
p128k	2	9	39	0.5502166152	0.203934073449	0.346282541752
p128k	2	10	43	0.551887363196	0.204095683992	0.347801245749
p128k	4	0	3	0.606496930122	0.370699524879	0.235723495483
p128k	4	1	7	0.606877744198	0.370458543301	0.236335977912
p128k	4	2	11	0.606566727161	0.370655357838	0.235902369023
p128k	4	3	15	0.605979174376	0.370844468475	0.235134705901
p128k	4	4	19	0.608513921499	0.370271369815	0.23824416101
p128k	4	5	23	0.6067520082	0.370157107711	0.236617907882
p128k	4	6	27	0.608081251383	0.370637103915	0.237502083182
p128k	4	7	31	0.60714879632	0.370650261641	0.236578568817
p128k	4	8	35	0.607772141695	0.370549455285	0.237248018384
p128k	4	9	39	0.608494102955	0.37059776485	0.237896338105
p128k	4	10	43	0.606125414372	0.370698571205	0.235327333212
p128k	7	0	3	0.94809922576	0.60879650712	0.33930271864
p128k	7	1	7	0.942775338888	0.60932958126	0.333445757628
p128k	7	2	11	0.943238109351	0.608924508095	0.334446758032
p128k	7	3	15	0.94686499238	0.609576970339	0.337213724852
p128k	7	4	19	0.949358403683	0.609165459871	0.340147197246
p128k	7	5	23	0.949432969093	0.609362214804	0.34008064866
p128k	7	6	27	0.947150379419	0.609207361936	0.337823659182
p128k	7	7	31	0.946090251208	0.609227836132	0.33693665266
p128k	7	8	35	0.946860820055	0.609194874763	0.337606430053
p128k	7	9	39	0.948055684567	0.609104961157	0.338945627212
p128k	7	10	43	0.947738856077	0.609047979116	0.338711708784
