2026/08/13 02:55:36.762, 0, P0, 48, 94.55, 600.00, 2422, 12481, 97887, 0, 97252, 0
2026/08/13 02:55:37.014, 0, P0, 48, 92.55, 600.00, 2422, 12481, 97887, 39, 97214, 1
2026/08/13 02:55:37.265, 0, P0, 48, 92.45, 600.00, 2422, 12481, 97887, 595, 96658, 0
2026/08/13 02:55:37.517, 0, P0, 48, 92.33, 600.00, 2422, 12481, 97887, 595, 96658, 0
2026/08/13 02:55:37.767, 0, P0, 48, 92.49, 600.00, 2422, 12481, 97887, 1683, 95570, 0
2026/08/13 02:55:38.018, 0, P0, 47, 88.56, 600.00, 2422, 12481, 97887, 2259, 94994, 5
2026/08/13 02:55:38.268, 0, P0, 47, 88.58, 600.00, 2422, 12481, 97887, 2867, 94386, 5
2026/08/13 02:55:38.519, 0, P0, 47, 88.84, 600.00, 2422, 12481, 97887, 3539, 93714, 5
2026/08/13 02:55:38.769, 0, P0, 47, 88.53, 600.00, 2422, 12481, 97887, 4179, 93074, 5
2026/08/13 02:55:39.020, 0, P0, 47, 88.55, 600.00, 2422, 12481, 97887, 4819, 92434, 5
2026/08/13 02:55:39.270, 0, P0, 47, 88.56, 600.00, 2422, 12481, 97887, 5427, 91826, 5
2026/08/13 02:55:39.520, 0, P0, 46, 88.43, 600.00, 2422, 12481, 97887, 6067, 91186, 5
2026/08/13 02:55:39.771, 0, P0, 46, 88.29, 600.00, 2422, 12481, 97887, 6675, 90578, 6
2026/08/13 02:55:40.021, 0, P0, 46, 88.14, 600.00, 2422, 12481, 97887, 7315, 89938, 5
2026/08/13 02:55:40.276, 0, P0, 46, 88.03, 600.00, 2422, 12481, 97887, 7923, 89330, 5
2026/08/13 02:55:40.527, 0, P0, 46, 87.93, 600.00, 2422, 12481, 97887, 8595, 88658, 5
2026/08/13 02:55:40.777, 0, P0, 46, 87.94, 600.00, 2422, 12481, 97887, 9171, 88082, 5
2026/08/13 02:55:41.027, 0, P0, 46, 87.69, 600.00, 2422, 12481, 97887, 9779, 87474, 5
2026/08/13 02:55:41.278, 0, P0, 45, 87.48, 600.00, 2422, 12481, 97887, 10387, 86866, 5
2026/08/13 02:55:41.529, 0, P0, 45, 87.19, 600.00, 2422, 12481, 97887, 11059, 86194, 5
2026/08/13 02:55:41.779, 0, P0, 45, 87.02, 600.00, 2422, 12481, 97887, 11699, 85554, 5
2026/08/13 02:55:42.030, 0, P0, 45, 86.95, 600.00, 2422, 12481, 97887, 12307, 84946, 4
2026/08/13 02:55:42.280, 0, P0, 45, 87.01, 600.00, 2422, 12481, 97887, 12947, 84306, 5
2026/08/13 02:55:42.530, 0, P0, 45, 86.96, 600.00, 2422, 12481, 97887, 13555, 83698, 5
2026/08/13 02:55:42.787, 0, P0, 45, 87.37, 600.00, 2422, 12481, 97887, 14227, 83026, 4
2026/08/13 02:55:43.037, 0, P0, 45, 88.28, 600.00, 2422, 12481, 97887, 14739, 82514, 6
2026/08/13 02:55:43.288, 0, P0, 44, 88.59, 600.00, 2422, 12481, 97887, 14739, 82514, 0
2026/08/13 02:55:43.538, 0, P0, 44, 89.08, 600.00, 2422, 12481, 97887, 14739, 82514, 0
2026/08/13 02:55:43.788, 0, P0, 44, 88.93, 600.00, 2422, 12481, 97887, 14739, 82514, 0
2026/08/13 02:55:44.039, 0, P0, 44, 88.60, 600.00, 2422, 12481, 97887, 14963, 82290, 0
2026/08/13 02:55:44.289, 0, P0, 44, 114.37, 600.00, 2422, 12481, 97887, 19507, 77746, 19
2026/08/13 02:55:44.540, 0, P0, 55, 232.21, 600.00, 2422, 12481, 97887, 19507, 77746, 100
2026/08/13 02:55:44.790, 0, P0, 57, 312.66, 600.00, 2422, 12481, 97887, 19507, 77746, 100
2026/08/13 02:55:45.041, 0, P0, 56, 433.13, 600.00, 2422, 12481, 97887, 19507, 77746, 100
2026/08/13 02:55:45.293, 0, P0, 57, 486.66, 600.00, 2422, 12481, 97887, 19507, 77746, 100
2026/08/13 02:55:45.544, 0, P0, 56, 475.19, 600.00, 2415, 12481, 97887, 19507, 77746, 100
2026/08/13 02:55:45.795, 0, P0, 56, 467.81, 600.00, 2415, 12481, 97887, 19507, 77746, 100
2026/08/13 02:55:46.045, 0, P0, 58, 467.57, 600.00, 2422, 12481, 97887, 19507, 77746, 100
2026/08/13 02:55:46.296, 0, P0, 58, 468.12, 600.00, 2422, 12481, 97887, 19507, 77746, 100
2026/08/13 02:55:46.554, 0, P0, 57, 482.22, 600.00, 2422, 12481, 97887, 19507, 77746, 100
2026/08/13 02:55:46.805, 0, P0, 58, 489.14, 600.00, 2422, 12481, 97887, 19507, 77746, 100
2026/08/13 02:55:47.056, 0, P0, 57, 468.57, 600.00, 2415, 12481, 97887, 19731, 77522, 100
2026/08/13 02:55:47.307, 0, P0, 59, 467.99, 600.00, 2415, 12481, 97887, 19731, 77522, 100
2026/08/13 02:55:47.558, 0, P0, 58, 469.93, 600.00, 2422, 12481, 97887, 19731, 77522, 100
2026/08/13 02:55:47.811, 0, P0, 59, 469.33, 600.00, 2422, 12481, 97887, 19731, 77522, 100
2026/08/13 02:55:48.063, 0, P0, 58, 491.85, 600.00, 2422, 12481, 97887, 19731, 77522, 100
2026/08/13 02:55:48.314, 0, P0, 58, 487.33, 600.00, 2422, 12481, 97887, 19731, 77522, 100
2026/08/13 02:55:48.564, 0, P0, 58, 471.20, 600.00, 2415, 12481, 97887, 20019, 77234, 100
2026/08/13 02:55:48.815, 0, P0, 59, 471.34, 600.00, 2415, 12481, 97887, 20019, 77234, 100
2026/08/13 02:55:49.066, 0, P0, 59, 470.73, 600.00, 2422, 12481, 97887, 20019, 77234, 100
2026/08/13 02:55:49.319, 0, P0, 59, 475.71, 600.00, 2422, 12481, 97887, 20019, 77234, 100
2026/08/13 02:55:49.569, 0, P0, 59, 491.78, 600.00, 2422, 12481, 97887, 20019, 77234, 100
2026/08/13 02:55:49.820, 0, P0, 58, 474.45, 600.00, 2415, 12481, 97887, 20307, 76946, 100
