timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/22 22:47:19.709, 0, P8, 180 MHz, 405 MHz, 8.74 W, [N/A], 51, 15 MiB, 0 %
2026/09/22 22:47:20.714, 0, P0, 1590 MHz, 14001 MHz, 28.32 W, [N/A], 52, 1113 MiB, 0 %
2026/09/22 22:47:21.715, 0, P0, 1597 MHz, 14001 MHz, 28.26 W, [N/A], 52, 3129 MiB, 8 %
2026/09/22 22:47:22.716, 0, P0, 1597 MHz, 14001 MHz, 28.17 W, [N/A], 52, 4857 MiB, 7 %
2026/09/22 22:47:23.717, 0, P0, 1590 MHz, 14001 MHz, 33.48 W, [N/A], 52, 6585 MiB, 0 %
2026/09/22 22:47:24.718, 0, P0, 2205 MHz, 14001 MHz, 96.26 W, [N/A], 65, 9753 MiB, 100 %
2026/09/22 22:47:25.719, 0, P0, 2362 MHz, 14001 MHz, 168.96 W, [N/A], 62, 9753 MiB, 100 %
2026/09/22 22:47:26.721, 0, P0, 2265 MHz, 14001 MHz, 172.67 W, [N/A], 62, 9753 MiB, 99 %
2026/09/22 22:47:27.723, 0, P0, 2235 MHz, 14001 MHz, 172.66 W, [N/A], 63, 9753 MiB, 100 %
2026/09/22 22:47:28.725, 0, P0, 2115 MHz, 14001 MHz, 171.99 W, [N/A], 67, 9753 MiB, 100 %
2026/09/22 22:47:29.726, 0, P0, 2190 MHz, 14001 MHz, 171.64 W, [N/A], 65, 9753 MiB, 100 %
2026/09/22 22:47:30.728, 0, P0, 2137 MHz, 14001 MHz, 172.35 W, [N/A], 65, 9753 MiB, 100 %
2026/09/22 22:47:31.730, 0, P0, 2145 MHz, 14001 MHz, 172.25 W, [N/A], 65, 9753 MiB, 100 %
2026/09/22 22:47:32.732, 0, P0, 2272 MHz, 14001 MHz, 171.79 W, [N/A], 66, 9753 MiB, 100 %
2026/09/22 22:47:33.734, 0, P0, 2175 MHz, 14001 MHz, 172.16 W, [N/A], 67, 9753 MiB, 100 %
2026/09/22 22:47:34.736, 0, P0, 2175 MHz, 14001 MHz, 172.27 W, [N/A], 67, 9753 MiB, 100 %
2026/09/22 22:47:35.738, 0, P0, 2077 MHz, 14001 MHz, 172.38 W, [N/A], 72, 9753 MiB, 100 %
2026/09/22 22:47:36.739, 0, P0, 2242 MHz, 14001 MHz, 171.45 W, [N/A], 69, 9753 MiB, 100 %
2026/09/22 22:47:37.741, 0, P0, 2152 MHz, 14001 MHz, 172.43 W, [N/A], 69, 9753 MiB, 100 %
2026/09/22 22:47:38.743, 0, P0, 2152 MHz, 14001 MHz, 172.24 W, [N/A], 69, 9753 MiB, 100 %
2026/09/22 22:47:39.745, 0, P0, 2265 MHz, 14001 MHz, 171.69 W, [N/A], 70, 9753 MiB, 100 %
2026/09/22 22:47:40.747, 0, P0, 2152 MHz, 14001 MHz, 172.28 W, [N/A], 70, 9753 MiB, 100 %
2026/09/22 22:47:41.749, 0, P0, 2145 MHz, 14001 MHz, 172.09 W, [N/A], 71, 9753 MiB, 100 %
2026/09/22 22:47:42.751, 0, P0, 2062 MHz, 14001 MHz, 172.59 W, [N/A], 75, 9753 MiB, 100 %
2026/09/22 22:47:43.752, 0, P0, 2280 MHz, 14001 MHz, 171.49 W, [N/A], 72, 9753 MiB, 100 %
2026/09/22 22:47:44.754, 0, P0, 2145 MHz, 14001 MHz, 172.08 W, [N/A], 72, 9753 MiB, 100 %
2026/09/22 22:47:45.756, 0, P0, 2137 MHz, 14001 MHz, 172.14 W, [N/A], 72, 9753 MiB, 100 %
2026/09/22 22:47:46.758, 0, P0, 2257 MHz, 14001 MHz, 171.85 W, [N/A], 73, 9753 MiB, 100 %
2026/09/22 22:47:47.760, 0, P0, 2130 MHz, 14001 MHz, 172.24 W, [N/A], 73, 9753 MiB, 99 %
2026/09/22 22:47:48.762, 0, P0, 2130 MHz, 14001 MHz, 172.22 W, [N/A], 73, 9753 MiB, 100 %
2026/09/22 22:47:49.764, 0, P0, 2047 MHz, 14001 MHz, 172.36 W, [N/A], 77, 9753 MiB, 100 %
2026/09/22 22:47:50.765, 0, P0, 2272 MHz, 14001 MHz, 171.54 W, [N/A], 75, 9753 MiB, 100 %
2026/09/22 22:47:51.767, 0, P0, 2145 MHz, 14001 MHz, 172.23 W, [N/A], 74, 9753 MiB, 99 %
2026/09/22 22:47:52.769, 0, P0, 2130 MHz, 14001 MHz, 171.93 W, [N/A], 74, 9753 MiB, 100 %
2026/09/22 22:47:53.771, 0, P0, 2242 MHz, 14001 MHz, 172.10 W, [N/A], 75, 9753 MiB, 100 %
2026/09/22 22:47:54.773, 0, P0, 2122 MHz, 14001 MHz, 172.34 W, [N/A], 75, 9753 MiB, 100 %
2026/09/22 22:47:55.775, 0, P0, 2122 MHz, 14001 MHz, 172.01 W, [N/A], 75, 9753 MiB, 100 %
2026/09/22 22:47:56.777, 0, P0, 2047 MHz, 14001 MHz, 172.37 W, [N/A], 79, 9753 MiB, 100 %
2026/09/22 22:47:57.778, 0, P0, 2265 MHz, 14001 MHz, 171.54 W, [N/A], 76, 9753 MiB, 100 %
2026/09/22 22:47:58.780, 0, P0, 2130 MHz, 14001 MHz, 172.03 W, [N/A], 76, 9753 MiB, 100 %
2026/09/22 22:47:59.782, 0, P0, 2122 MHz, 14001 MHz, 172.19 W, [N/A], 76, 9753 MiB, 99 %
2026/09/22 22:48:00.784, 0, P0, 2040 MHz, 14001 MHz, 172.38 W, [N/A], 80, 9753 MiB, 100 %
2026/09/22 22:48:01.784, 0, P0, 2250 MHz, 14001 MHz, 171.60 W, [N/A], 77, 9753 MiB, 100 %
2026/09/22 22:48:02.786, 0, P0, 2122 MHz, 14001 MHz, 172.24 W, [N/A], 77, 9753 MiB, 99 %
2026/09/22 22:48:03.788, 0, P0, 2115 MHz, 14001 MHz, 172.21 W, [N/A], 77, 9753 MiB, 100 %
2026/09/22 22:48:04.790, 0, P0, 2220 MHz, 14001 MHz, 172.07 W, [N/A], 77, 9753 MiB, 100 %
2026/09/22 22:48:05.792, 0, P0, 2115 MHz, 14001 MHz, 171.85 W, [N/A], 77, 9753 MiB, 100 %
2026/09/22 22:48:06.794, 0, P0, 2115 MHz, 14001 MHz, 171.97 W, [N/A], 77, 9753 MiB, 100 %
2026/09/22 22:48:07.796, 0, P0, 2032 MHz, 14001 MHz, 172.41 W, [N/A], 81, 9753 MiB, 100 %
