timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/13 18:41:01.943, 0 %, 2 MiB, 11.99 W, 195 MHz, 38
2026/09/13 18:41:02.197, 0 %, 40 MiB, 12.14 W, 187 MHz, 38
2026/09/13 18:41:02.447, 0 %, 544 MiB, 12.14 W, 187 MHz, 38
2026/09/13 18:41:02.697, 0 %, 1344 MiB, 22.77 W, 2430 MHz, 39
2026/09/13 18:41:02.947, 0 %, 3776 MiB, 22.77 W, 2430 MHz, 39
2026/09/13 18:41:03.197, 26 %, 6208 MiB, 47.17 W, 2587 MHz, 40
2026/09/13 18:41:03.448, 26 %, 10304 MiB, 47.17 W, 2587 MHz, 40
2026/09/13 18:41:03.698, 4 %, 10400 MiB, 73.59 W, 2670 MHz, 40
2026/09/13 18:41:03.948, 4 %, 10400 MiB, 73.59 W, 2670 MHz, 40
2026/09/13 18:41:04.198, 99 %, 10400 MiB, 211.46 W, 2835 MHz, 48
2026/09/13 18:41:04.448, 99 %, 10400 MiB, 211.46 W, 2835 MHz, 48
2026/09/13 18:41:04.698, 38 %, 10400 MiB, 326.15 W, 2910 MHz, 47
2026/09/13 18:41:04.948, 38 %, 21 MiB, 326.15 W, 2910 MHz, 47
2026/09/13 18:41:05.201, 1 %, 544 MiB, 246.31 W, 2917 MHz, 43
2026/09/13 18:41:05.452, 1 %, 544 MiB, 246.31 W, 2917 MHz, 43
2026/09/13 18:41:05.702, 36 %, 3360 MiB, 102.74 W, 2925 MHz, 42
2026/09/13 18:41:05.952, 36 %, 5792 MiB, 102.74 W, 2925 MHz, 42
2026/09/13 18:41:06.202, 25 %, 10304 MiB, 88.37 W, 2925 MHz, 42
2026/09/13 18:41:06.452, 25 %, 10400 MiB, 88.37 W, 2925 MHz, 42
2026/09/13 18:41:06.702, 92 %, 10400 MiB, 132.13 W, 2887 MHz, 51
2026/09/13 18:41:06.953, 92 %, 10400 MiB, 132.13 W, 2887 MHz, 51
2026/09/13 18:41:07.203, 99 %, 10400 MiB, 269.97 W, 2910 MHz, 50
2026/09/13 18:41:07.453, 99 %, 10400 MiB, 269.97 W, 2910 MHz, 50
2026/09/13 18:41:07.703, 98 %, 10400 MiB, 420.25 W, 2865 MHz, 52
2026/09/13 18:41:07.953, 98 %, 10400 MiB, 420.25 W, 2865 MHz, 52
2026/09/13 18:41:08.203, 0 %, 10400 MiB, 397.04 W, 2895 MHz, 47
2026/09/13 18:41:08.453, 0 %, 542 MiB, 397.04 W, 2895 MHz, 47
2026/09/13 18:41:08.703, 0 %, 544 MiB, 227.61 W, 2917 MHz, 43
2026/09/13 18:41:08.954, 0 %, 1472 MiB, 227.61 W, 2917 MHz, 43
2026/09/13 18:41:09.204, 30 %, 4032 MiB, 91.38 W, 2917 MHz, 43
2026/09/13 18:41:09.454, 30 %, 6464 MiB, 91.38 W, 2917 MHz, 43
2026/09/13 18:41:09.704, 25 %, 10304 MiB, 89.43 W, 2925 MHz, 43
2026/09/13 18:41:09.954, 25 %, 10400 MiB, 89.43 W, 2925 MHz, 43
2026/09/13 18:41:10.205, 99 %, 10400 MiB, 148.25 W, 2872 MHz, 49
2026/09/13 18:41:10.455, 99 %, 10400 MiB, 148.25 W, 2872 MHz, 49
2026/09/13 18:41:10.705, 99 %, 10400 MiB, 310.03 W, 2910 MHz, 50
2026/09/13 18:41:10.955, 99 %, 10400 MiB, 310.03 W, 2910 MHz, 50
