timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/19 15:32:01.831, 0, P8, 195 MHz, 405 MHz, 16.06 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:02.095, 0, P8, 195 MHz, 405 MHz, 16.05 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:02.345, 0, P8, 195 MHz, 405 MHz, 16.05 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:02.595, 0, P8, 195 MHz, 405 MHz, 16.05 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:02.846, 0, P8, 195 MHz, 405 MHz, 16.05 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:03.096, 0, P8, 195 MHz, 405 MHz, 16.34 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:03.347, 0, P8, 195 MHz, 405 MHz, 16.34 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:03.597, 0, P8, 195 MHz, 405 MHz, 16.34 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:03.847, 0, P8, 195 MHz, 405 MHz, 16.34 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:04.098, 0, P8, 195 MHz, 405 MHz, 16.28 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:04.348, 0, P8, 195 MHz, 405 MHz, 16.28 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:04.599, 0, P8, 195 MHz, 405 MHz, 16.28 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:04.849, 0, P8, 195 MHz, 405 MHz, 16.28 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:05.099, 0, P8, 195 MHz, 405 MHz, 16.07 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:05.350, 0, P8, 195 MHz, 405 MHz, 16.07 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:05.600, 0, P8, 195 MHz, 405 MHz, 16.07 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:05.851, 0, P8, 195 MHz, 405 MHz, 16.07 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:06.101, 0, P8, 195 MHz, 405 MHz, 15.92 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:06.352, 0, P8, 195 MHz, 405 MHz, 15.92 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:06.602, 0, P8, 195 MHz, 405 MHz, 15.92 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:06.852, 0, P8, 195 MHz, 405 MHz, 15.92 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:07.103, 0, P8, 195 MHz, 405 MHz, 15.75 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:07.353, 0, P8, 195 MHz, 405 MHz, 15.75 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:07.604, 0, P8, 195 MHz, 405 MHz, 15.75 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:07.854, 0, P8, 195 MHz, 405 MHz, 15.75 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:08.105, 0, P8, 195 MHz, 405 MHz, 15.79 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:08.355, 0, P8, 195 MHz, 405 MHz, 15.79 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:08.605, 0, P8, 195 MHz, 405 MHz, 15.79 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:08.856, 0, P8, 195 MHz, 405 MHz, 15.79 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:09.106, 0, P8, 195 MHz, 405 MHz, 16.00 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:09.357, 0, P8, 195 MHz, 405 MHz, 16.00 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:09.607, 0, P8, 195 MHz, 405 MHz, 16.00 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:09.858, 0, P8, 195 MHz, 405 MHz, 16.00 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:10.108, 0, P8, 195 MHz, 405 MHz, 15.99 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:10.358, 0, P8, 195 MHz, 405 MHz, 15.99 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:10.609, 0, P8, 195 MHz, 405 MHz, 15.99 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:10.859, 0, P8, 195 MHz, 405 MHz, 15.99 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:11.110, 0, P8, 195 MHz, 405 MHz, 16.11 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:11.360, 0, P8, 195 MHz, 405 MHz, 16.11 W, 24, 2 MiB, 0 %, 1, 16
2026/09/19 15:32:11.612, 0, P0, 195 MHz, 14001 MHz, 16.79 W, 24, 508 MiB, 0 %, 5, 16
2026/09/19 15:32:11.863, 0, P0, 195 MHz, 14001 MHz, 16.79 W, 24, 544 MiB, 0 %, 5, 16
2026/09/19 15:32:12.113, 0, P1, 2565 MHz, 13801 MHz, 34.30 W, 26, 544 MiB, 0 %, 5, 16
2026/09/19 15:32:12.364, 0, P1, 2565 MHz, 13801 MHz, 34.30 W, 26, 1664 MiB, 0 %, 5, 16
2026/09/19 15:32:12.614, 0, P1, 2550 MHz, 13801 MHz, 42.72 W, 26, 2208 MiB, 4 %, 5, 16
2026/09/19 15:32:12.864, 0, P1, 2550 MHz, 13801 MHz, 42.72 W, 26, 2720 MiB, 4 %, 5, 16
2026/09/19 15:32:13.115, 0, P1, 2550 MHz, 13801 MHz, 65.90 W, 26, 3264 MiB, 3 %, 5, 16
2026/09/19 15:32:13.365, 0, P1, 2550 MHz, 13801 MHz, 65.90 W, 26, 3744 MiB, 3 %, 5, 16
2026/09/19 15:32:13.616, 0, P1, 2550 MHz, 13801 MHz, 65.68 W, 26, 4320 MiB, 5 %, 5, 16
2026/09/19 15:32:13.866, 0, P1, 2550 MHz, 13801 MHz, 65.68 W, 26, 4832 MiB, 5 %, 5, 16
2026/09/19 15:32:14.117, 0, P1, 2550 MHz, 13801 MHz, 65.81 W, 26, 5344 MiB, 4 %, 5, 16
2026/09/19 15:32:14.367, 0, P1, 2550 MHz, 13801 MHz, 65.81 W, 26, 5888 MiB, 4 %, 5, 16
2026/09/19 15:32:14.617, 0, P1, 2550 MHz, 13801 MHz, 65.78 W, 26, 6400 MiB, 4 %, 5, 16
2026/09/19 15:32:14.868, 0, P1, 2550 MHz, 13801 MHz, 65.78 W, 26, 6976 MiB, 4 %, 5, 16
2026/09/19 15:32:15.118, 0, P1, 2550 MHz, 13801 MHz, 65.77 W, 26, 7488 MiB, 4 %, 5, 16
2026/09/19 15:32:15.369, 0, P1, 2550 MHz, 13801 MHz, 65.77 W, 26, 8000 MiB, 4 %, 5, 16
2026/09/19 15:32:15.619, 0, P1, 2550 MHz, 13801 MHz, 65.71 W, 26, 8544 MiB, 4 %, 5, 16
2026/09/19 15:32:15.870, 0, P1, 2550 MHz, 13801 MHz, 65.71 W, 26, 9056 MiB, 4 %, 5, 16
2026/09/19 15:32:16.120, 0, P1, 2550 MHz, 13801 MHz, 65.35 W, 26, 9632 MiB, 4 %, 5, 16
2026/09/19 15:32:16.370, 0, P1, 2550 MHz, 13801 MHz, 65.35 W, 26, 10144 MiB, 4 %, 5, 16
2026/09/19 15:32:16.621, 0, P1, 2550 MHz, 13801 MHz, 65.53 W, 26, 10688 MiB, 4 %, 5, 16
2026/09/19 15:32:16.871, 0, P1, 2550 MHz, 13801 MHz, 65.53 W, 26, 11232 MiB, 4 %, 5, 16
2026/09/19 15:32:17.122, 0, P1, 2550 MHz, 13801 MHz, 65.92 W, 26, 11776 MiB, 4 %, 5, 16
2026/09/19 15:32:17.372, 0, P1, 2550 MHz, 13801 MHz, 65.92 W, 26, 12320 MiB, 4 %, 5, 16
2026/09/19 15:32:17.622, 0, P1, 2550 MHz, 13801 MHz, 66.18 W, 26, 12832 MiB, 4 %, 5, 16
2026/09/19 15:32:17.873, 0, P1, 2550 MHz, 13801 MHz, 66.18 W, 26, 13408 MiB, 4 %, 5, 16
