name, driver_version, power.limit [W], clocks.max.sm [MHz], pcie.link.gen.current, pcie.link.width.current
NVIDIA RTX PRO 6000 Blackwell Workstation Edition, 595.71.05, 600.00 W, 3090 MHz, 1, 16
NVIDIA RTX PRO 6000 Blackwell Workstation Edition, 595.71.05, 600.00 W, 3090 MHz, 1, 16
