0, 180 MHz, 13.62 W, 31, 0x0000000000000088
1, 180 MHz, 7.16 W, 30, 0x0000000000000088
0, 180 MHz, 13.62 W, 31, 0x0000000000000088
1, 180 MHz, 7.16 W, 30, 0x0000000000000088
0, 465 MHz, 20.53 W, 33, 0x0000000000000088
1, 180 MHz, 10.26 W, 30, 0x0000000000000088
0, 465 MHz, 20.53 W, 33, 0x0000000000000088
1, 180 MHz, 10.26 W, 30, 0x0000000000000088
0, 2865 MHz, 83.77 W, 33, 0x0000000000000088
1, 180 MHz, 12.99 W, 30, 0x0000000000000088
0, 2865 MHz, 83.77 W, 33, 0x0000000000000088
1, 180 MHz, 12.99 W, 30, 0x0000000000000088
