timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/03 11:59:48.657, 0, 31, 180 MHz, 24.50 W, 2 MiB
2026/08/03 11:59:49.673, 0, 31, 1290 MHz, 36.05 W, 544 MiB
2026/08/03 11:59:50.673, 0, 32, 2400 MHz, 64.88 W, 544 MiB
2026/08/03 11:59:51.673, 0, 32, 2400 MHz, 65.14 W, 544 MiB
2026/08/03 11:59:52.674, 0, 32, 2400 MHz, 65.00 W, 544 MiB
2026/08/03 11:59:53.674, 0, 32, 2400 MHz, 64.70 W, 544 MiB
2026/08/03 11:59:54.674, 0, 32, 2400 MHz, 65.01 W, 544 MiB
2026/08/03 11:59:55.674, 0, 32, 2400 MHz, 65.00 W, 544 MiB
2026/08/03 11:59:56.675, 0, 32, 2400 MHz, 65.10 W, 544 MiB
2026/08/03 11:59:57.675, 0, 32, 2400 MHz, 65.05 W, 544 MiB
2026/08/03 11:59:58.677, 0, 32, 2400 MHz, 65.14 W, 544 MiB
2026/08/03 11:59:59.677, 0, 32, 2400 MHz, 65.13 W, 544 MiB
2026/08/03 12:00:00.677, 0, 32, 2400 MHz, 65.31 W, 544 MiB
2026/08/03 12:00:01.678, 0, 32, 2400 MHz, 65.15 W, 544 MiB
2026/08/03 12:00:02.678, 0, 32, 2400 MHz, 64.95 W, 544 MiB
2026/08/03 12:00:03.678, 0, 32, 2400 MHz, 64.99 W, 544 MiB
2026/08/03 12:00:04.679, 0, 32, 2400 MHz, 65.07 W, 544 MiB
2026/08/03 12:00:05.679, 0, 32, 2400 MHz, 65.22 W, 544 MiB
2026/08/03 12:00:06.679, 0, 32, 1852 MHz, 59.79 W, 544 MiB
2026/08/03 12:00:07.680, 0, 32, 390 MHz, 41.47 W, 544 MiB
2026/08/03 12:00:08.680, 0, 31, 240 MHz, 33.74 W, 544 MiB
2026/08/03 12:00:09.680, 0, 31, 180 MHz, 30.17 W, 576 MiB
2026/08/03 12:00:10.683, 0, 32, 2400 MHz, 41.86 W, 1248 MiB
2026/08/03 12:00:11.683, 0, 32, 2400 MHz, 65.51 W, 1248 MiB
2026/08/03 12:00:12.684, 0, 32, 2400 MHz, 64.95 W, 1280 MiB
2026/08/03 12:00:13.684, 0, 32, 2400 MHz, 65.54 W, 1312 MiB
2026/08/03 12:00:14.684, 0, 32, 2400 MHz, 65.70 W, 1312 MiB
2026/08/03 12:00:15.685, 0, 32, 2407 MHz, 65.54 W, 1504 MiB
2026/08/03 12:00:16.685, 0, 32, 2400 MHz, 65.49 W, 1504 MiB
2026/08/03 12:00:17.685, 0, 32, 2400 MHz, 65.42 W, 1568 MiB
2026/08/03 12:00:18.685, 0, 32, 2400 MHz, 65.75 W, 1600 MiB
2026/08/03 12:00:19.685, 0, 32, 2400 MHz, 65.53 W, 1760 MiB
2026/08/03 12:00:20.686, 0, 32, 2400 MHz, 65.51 W, 1760 MiB
2026/08/03 12:00:21.686, 0, 33, 2400 MHz, 65.34 W, 1824 MiB
