0, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, GPU-6323d6bd-e161-0e80-2eaa-24c052f535a5, 580.105.08, 97887 MiB, 46289 MiB, 32, 2272 MHz, 70.41 W
1, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, GPU-f35913db-6ada-f056-2fd1-041a83608ef5, 580.105.08, 97887 MiB, 56371 MiB, 32, 2272 MHz, 68.59 W
