2026/08/09 23:12:53.936, 0, P0, 37, 49.57, 210, 0, 97252
2026/08/09 23:12:53.943, 1, P0, 38, 49.00, 202, 0, 97252
2026/08/09 23:12:54.949, 0, P0, 38, 58.13, 2040, 1045, 96208
2026/08/09 23:12:54.949, 1, P0, 38, 76.14, 2317, 1045, 96208
2026/08/09 23:12:55.949, 0, P0, 38, 92.11, 2400, 3387, 93866
2026/08/09 23:12:55.949, 1, P0, 38, 88.27, 2317, 1053, 96200
2026/08/09 23:12:56.949, 0, P0, 37, 92.70, 2400, 8127, 89126
2026/08/09 23:12:56.949, 1, P0, 38, 88.11, 2317, 1057, 96196
2026/08/09 23:12:57.949, 0, P0, 37, 92.21, 2400, 10471, 86782
2026/08/09 23:12:57.949, 1, P0, 38, 88.02, 2317, 1065, 96188
2026/08/09 23:12:58.949, 0, P0, 37, 91.77, 2400, 12845, 84408
2026/08/09 23:12:58.949, 1, P0, 37, 87.95, 2317, 1071, 96182
2026/08/09 23:12:59.949, 0, P0, 37, 92.64, 2400, 17587, 79666
2026/08/09 23:12:59.949, 1, P0, 37, 87.87, 2317, 1077, 96176
2026/08/09 23:13:00.949, 0, P0, 37, 91.52, 2400, 19929, 77324
2026/08/09 23:13:00.949, 1, P0, 37, 87.71, 2317, 1083, 96170
2026/08/09 23:13:01.949, 0, P0, 37, 91.58, 2400, 22303, 74950
2026/08/09 23:13:01.949, 1, P0, 37, 87.70, 2317, 1089, 96164
2026/08/09 23:13:02.949, 0, P0, 36, 92.35, 2400, 27013, 70240
2026/08/09 23:13:02.949, 1, P0, 37, 87.56, 2317, 1095, 96158
2026/08/09 23:13:03.950, 0, P0, 36, 91.24, 2400, 29387, 67866
2026/08/09 23:13:03.950, 1, P0, 37, 87.36, 2317, 1101, 96152
2026/08/09 23:13:04.950, 0, P0, 36, 91.21, 2400, 31761, 65492
2026/08/09 23:13:04.950, 1, P0, 36, 87.35, 2317, 1107, 96146
2026/08/09 23:13:05.950, 0, P0, 36, 92.05, 2400, 36471, 60782
