kernel	kernel	0	1-kernel.log
argmax	ornith-ai/ornith-1.5-35b-a3b	0	2-argmax.log
spec	ornith-ai/ornith-1.5-35b-a3b	0	3-spec.log
argmax	qwen/qwen3.8-27b	0	4-argmax.log
spec	qwen/qwen3.8-27b	0	5-spec.log
