cycle	free_before_bytes	free_after_demote_bytes	free_after_restore_bytes	vmm_released_chunk_bytes	reclaimed_bytes	reacquired_bytes	residual_bytes	restore_residual_bytes	free_before_drift_bytes	reclaim_observed	reclaim_exact_equal	residual_class	g1_reclaim_qualified	restored_prefix_state_manifest_sha256
1	85313847296	86217719808	85313847296	905969664	903872512	903872512	2097152	0	0	true	false	unclassified	false	17db124714451a991b6c370c5d5f4141aacc425412cf4daa342fb93352ebf7af
2	85313847296	86217719808	85313847296	905969664	903872512	903872512	2097152	0	0	true	false	unclassified	false	17db124714451a991b6c370c5d5f4141aacc425412cf4daa342fb93352ebf7af
3	85313847296	86217719808	85313847296	905969664	903872512	903872512	2097152	0	0	true	false	unclassified	false	17db124714451a991b6c370c5d5f4141aacc425412cf4daa342fb93352ebf7af
4	85313847296	86217719808	85313847296	905969664	903872512	903872512	2097152	0	0	true	false	unclassified	false	17db124714451a991b6c370c5d5f4141aacc425412cf4daa342fb93352ebf7af
5	85313847296	86217719808	85313847296	905969664	903872512	903872512	2097152	0	0	true	false	unclassified	false	17db124714451a991b6c370c5d5f4141aacc425412cf4daa342fb93352ebf7af
