timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/03 11:03:42.915, 0, 31, 180 MHz, 22.36 W, 2 MiB
2026/08/03 11:03:42.929, 1, 29, 180 MHz, 20.00 W, 2 MiB
2026/08/03 11:03:43.952, 0, 32, 180 MHz, 24.80 W, 544 MiB
2026/08/03 11:03:43.952, 1, 30, 1290 MHz, 27.91 W, 544 MiB
2026/08/03 11:03:44.952, 0, 32, 2400 MHz, 65.58 W, 1856 MiB
2026/08/03 11:03:44.952, 1, 30, 2400 MHz, 63.27 W, 1856 MiB
2026/08/03 11:03:45.953, 0, 32, 2415 MHz, 67.58 W, 6784 MiB
2026/08/03 11:03:45.953, 1, 30, 2422 MHz, 64.28 W, 6688 MiB
2026/08/03 11:03:46.953, 0, 32, 2415 MHz, 69.26 W, 11168 MiB
2026/08/03 11:03:46.953, 1, 30, 2407 MHz, 64.42 W, 11168 MiB
2026/08/03 11:03:47.953, 0, 32, 2415 MHz, 70.09 W, 15744 MiB
2026/08/03 11:03:47.953, 1, 31, 2415 MHz, 64.05 W, 15744 MiB
2026/08/03 11:03:48.953, 0, 32, 2415 MHz, 70.10 W, 20064 MiB
2026/08/03 11:03:48.954, 1, 31, 2415 MHz, 64.07 W, 20096 MiB
2026/08/03 11:03:49.954, 0, 32, 2415 MHz, 69.74 W, 24352 MiB
2026/08/03 11:03:49.954, 1, 31, 2415 MHz, 64.00 W, 24416 MiB
2026/08/03 11:03:50.954, 0, 32, 2415 MHz, 69.82 W, 26528 MiB
2026/08/03 11:03:50.954, 1, 31, 2415 MHz, 63.94 W, 26528 MiB
2026/08/03 11:03:51.954, 0, 32, 2400 MHz, 67.92 W, 26528 MiB
2026/08/03 11:03:51.954, 1, 31, 2400 MHz, 63.23 W, 26528 MiB
2026/08/03 11:03:52.955, 0, 32, 2400 MHz, 67.15 W, 26528 MiB
2026/08/03 11:03:52.955, 1, 31, 2400 MHz, 63.14 W, 26528 MiB
2026/08/03 11:03:53.955, 0, 32, 2400 MHz, 67.11 W, 26528 MiB
2026/08/03 11:03:53.955, 1, 31, 2400 MHz, 63.10 W, 26528 MiB
2026/08/03 11:03:54.955, 0, 32, 2400 MHz, 66.51 W, 26528 MiB
2026/08/03 11:03:54.955, 1, 31, 2400 MHz, 63.16 W, 26528 MiB
2026/08/03 11:03:55.956, 0, 32, 2400 MHz, 66.40 W, 26528 MiB
2026/08/03 11:03:55.956, 1, 31, 2400 MHz, 63.58 W, 26528 MiB
2026/08/03 11:03:56.956, 0, 32, 2400 MHz, 66.14 W, 26528 MiB
2026/08/03 11:03:56.956, 1, 31, 2400 MHz, 63.58 W, 26528 MiB
2026/08/03 11:03:57.956, 0, 32, 2400 MHz, 66.48 W, 26528 MiB
2026/08/03 11:03:57.956, 1, 31, 2400 MHz, 63.60 W, 26528 MiB
2026/08/03 11:03:58.957, 0, 36, 2775 MHz, 184.42 W, 27072 MiB
2026/08/03 11:03:58.957, 1, 31, 2400 MHz, 62.62 W, 26528 MiB
2026/08/03 11:03:59.957, 0, 34, 2940 MHz, 96.86 W, 27072 MiB
2026/08/03 11:03:59.957, 1, 31, 2400 MHz, 61.76 W, 26528 MiB
2026/08/03 11:04:00.957, 0, 33, 2940 MHz, 86.51 W, 27072 MiB
2026/08/03 11:04:00.957, 1, 31, 2400 MHz, 61.65 W, 26528 MiB
2026/08/03 11:04:01.957, 0, 33, 2400 MHz, 65.23 W, 27072 MiB
2026/08/03 11:04:01.958, 1, 31, 2400 MHz, 61.91 W, 26528 MiB
2026/08/03 11:04:02.958, 0, 33, 2400 MHz, 64.99 W, 27072 MiB
2026/08/03 11:04:02.958, 1, 31, 2400 MHz, 62.25 W, 26528 MiB
2026/08/03 11:04:03.958, 0, 33, 2400 MHz, 64.78 W, 27072 MiB
2026/08/03 11:04:03.958, 1, 31, 2400 MHz, 61.97 W, 26528 MiB
2026/08/03 11:04:04.958, 0, 33, 2400 MHz, 65.16 W, 27072 MiB
2026/08/03 11:04:04.959, 1, 31, 2400 MHz, 61.83 W, 26528 MiB
2026/08/03 11:04:05.959, 0, 33, 2400 MHz, 65.08 W, 27072 MiB
2026/08/03 11:04:05.959, 1, 31, 2400 MHz, 61.97 W, 26528 MiB
2026/08/03 11:04:06.959, 0, 33, 2400 MHz, 64.96 W, 27072 MiB
2026/08/03 11:04:06.959, 1, 31, 2400 MHz, 61.71 W, 26528 MiB
2026/08/03 11:04:07.960, 0, 33, 2400 MHz, 64.84 W, 27072 MiB
2026/08/03 11:04:07.960, 1, 31, 1950 MHz, 56.40 W, 26528 MiB
2026/08/03 11:04:08.960, 0, 33, 2400 MHz, 64.67 W, 27072 MiB
2026/08/03 11:04:08.960, 1, 30, 382 MHz, 38.24 W, 26528 MiB
2026/08/03 11:04:09.961, 0, 33, 2400 MHz, 64.56 W, 27072 MiB
2026/08/03 11:04:09.961, 1, 30, 225 MHz, 27.78 W, 26528 MiB
2026/08/03 11:04:10.961, 0, 33, 2400 MHz, 64.48 W, 27072 MiB
2026/08/03 11:04:10.961, 1, 30, 180 MHz, 20.97 W, 26528 MiB
2026/08/03 11:04:11.962, 0, 33, 2400 MHz, 64.83 W, 27072 MiB
2026/08/03 11:04:11.962, 1, 30, 180 MHz, 20.07 W, 26528 MiB
