0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 36, 180 MHz, 49.15 W
1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 38, 180 MHz, 49.45 W
