layer	role	valid_bytes	bundle_sha256
3	Key	8773632	a644a798724fe6f2a337b826a08d30f12afd7e9d5174a669971e8aa90c67d0d0
3	Value	6193152	3063b7273e8094c5d35e81c8f23c0f2eb3c22592b05ae46b6695f8a9187339e4
7	Key	8773632	07c06aa5a98c73e27d8280825e1c95c3a981fb26fa6302366064a0e2440d22a3
7	Value	6193152	e1657927a6e2d38d139b20f16a3264e268176b0466a038f9557a541868d160e4
11	Key	8773632	e4a7baf05195399a7959b1a1c206b66c87eec0c4bac4595719131eff59ff1f88
11	Value	6193152	d0b1acd4726b154915bdfc91102a7203e187e52668848a7a039d50b0a4dabbd3
15	Key	8773632	3394936ab33a67e30a7c96dc095a74a80aa9314a7859870c5bf2f52af95e7586
15	Value	6193152	4ae0db8fe5f657dd5c093d052a0f164570ad33fb12ed5fe1fe7f5a225358a3a4
19	Key	8773632	0179c9f18fd9c47b19e0e6e3441b56326dc2f7819a6166783b176f6195a7e845
19	Value	6193152	d12aef043abca156c3230d33dc41842026933cca912c2fdbe6e455fdee514634
23	Key	8773632	baaf8261dfb6baa7280cf34d69f3758869f3fbc973170353976affedad1c4947
23	Value	6193152	c15970337f7dd908f5b8ae3711070c4d872ecc1a82ec060b2f5583d1cad8d2dd
27	Key	8773632	9fe394947f482d26061980265bafae4d042020df94e67bb04283763a565f0355
27	Value	6193152	af1756fa8ffbc74e85a2a472a13dc69252c3740808ca7629c555499ff47e2847
31	Key	8773632	bbde18cdb10bca2d9c8501ed24a2d54fe1818be6b50cee6b97a79ffcb8a4ba8b
31	Value	6193152	879b928ac6a12d68ecaa7eae7ce2604c08badb652120f583c5a0e15a1373ec3c
35	Key	8773632	e0b541c28d79f2ba46e1916cac0f171f304b09e0fccce8713a6e2416a6ef18bb
35	Value	6193152	494e7de1907f72a26d933d12d46e5360bae43061f978cb46ad8b265a200e3afe
39	Key	8773632	d22e679a111bd5f5a6ad624c6a989b640c915da4ccf51ccfacb9c5d0407549c3
39	Value	6193152	7bdf99a9ca1b7f59dfe50a608d4246e2d31ff22ad1627b8de7d8f8cac8a78b24
43	Key	8773632	9727aade82644141eb1a3a17d1d3219655e4ce88f746f465b5987a2a1890f0e7
43	Value	6193152	9859b0838a58b307789e41bc538d66d4acca09d532e35d4ef520d5c40c496033
47	Key	8773632	20c8a83eb05012d0ccea688b6a4a56262ada197a791e4837d1dfd106368e3db3
47	Value	6193152	c988f770712e7c9d6d986b5390c8b4592ebb00839b391c439edcb24969ba4c1a
51	Key	8773632	a0d08a81ab521faa81927c81ba0931ad743554a846a822f2a97e6b121c83c06f
51	Value	6193152	193bb31160e53c9594e98007ad8053f5106903c8d7a0c6867528f498e3504822
55	Key	8773632	21f294001e66eb7d45cf80f01429b417ad1b92061a684d597efbe2efdc44e673
55	Value	6193152	f5ac3150d7c03ba346000808106e894616d4147079ed501f72aca0ee19e0ca9f
59	Key	8773632	4f1977a12c0344373d987e03c5885dd3b851f9913ea029c43f89d9cd5edd3304
59	Value	6193152	4f36e9f60ed1b8194b85d2f17680223c298adca1ccbfc99cf96a629f9051a71d
63	Key	8773632	be9553162d239fd151f54b2c127ed54add1e271613c8694d255f69e5bfd1378a
63	Value	6193152	2ef0a0875af67796dc1447925c61ae628089e32b180264a8b4685b31c4c3f3a8
