Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.8,1044097476,400,2610243.7,2964939.5,254686,6012438,1318584.9,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
9.2,191693909,2592,73956.0,71551.0,47839,1906611,69991.6,qmatvec_nvfp4_mmvq_b4_rpr2
7.3,153078514,3168,48320.2,41983.0,24735,1660373,60231.3,qmatvec_nvfp4_mmvq_b4_rpr2w8
3.1,65845563,48,1371782.6,1319191.0,1112600,2789197,298919.3,gdn_chunk_state_f32
2.9,60355484,1632,36982.5,23552.0,6880,1623861,61929.3,qmatvec_nvfp4_mmvq_mr2_rp
2.5,52692114,3168,16632.6,12096.0,8992,1640020,29966.2,qmatvec_nvfp4_mmvq_b4_rp
2.4,51115812,672,76065.2,122591.0,6144,1188600,78134.6,qmatvec_nvfp4_mmvq_dual_mr2_rp
1.9,38818479,1216,31923.1,2656.0,1983,1596021,128256.4,silu_mul_f32
1.8,37502232,400,93755.6,48111.5,26559,2117361,206797.5,"quantize_mmq_q8_1_d4_kernel(const float *, void *, long, long, long, int)"
1.6,33334746,16,2083421.6,1955842.5,1901107,2969132,285742.5,fa_prefill_bf16kv_pp
1.6,33267417,10297,3230.8,1856.0,1312,887098,16106.9,quantize_q8_1
1.5,30797519,288,106935.8,100783.5,92415,1711317,95701.5,fa_decode_vec_q_rows_v4
1.4,29083990,48,605916.5,526508.0,496221,2220752,330686.8,gdn_chunk_output_f32
1.3,27371494,18,1520638.6,1216568.0,1193272,3054027,558724.7,qmatvec_q5_K_mmvq_b4_r2
1.3,27204910,3257,8352.8,5120.0,1568,649276,20858.9,rms_norm_f32
1.2,25583437,96,266494.1,260750.0,229373,550236,33099.3,qmatvec_nvfp4_dp4a_rp
1.1,23588611,2438,9675.4,2112.0,1504,1978227,51443.9,add_f32
0.9,18678942,64,291858.5,274526.0,270558,1035993,99128.0,memra_f16_cvt_kernel
0.9,18159137,48,378315.4,374141.5,359101,423517,13291.3,ssm_conv1d_gdn_state_f32
0.8,17620835,48,367100.7,341469.5,302525,1420918,156979.1,gdn_chunk_attn_f32
0.8,16632271,96,173252.8,158943.0,106495,1583893,211569.2,l2_norm_pp_v2_f32
0.6,12459937,912,13662.2,1824.0,1536,950842,59667.8,gated_rmsnorm_f32
0.6,12316170,48,256586.9,255966.0,253214,267326,2988.6,gdn_chunk_solve32_f32
0.6,11621134,288,40351.2,40303.5,36608,55935,1532.4,fa_decode_combine_rows
0.5,10132240,1152,8795.3,9696.0,5184,10784,1852.1,gdn_scan_s128
0.5,9718972,7,1388424.6,1037144.0,1031449,2698285,615323.0,qmatvec_q5_K_mmvq_il
0.3,5932241,400,14830.6,1728.0,1536,1264823,80347.4,q_gate_split_f32
0.2,4324601,1312,3296.2,1184.0,1024,188639,18350.1,sigmoid_f32
0.2,3773773,762,4952.5,5056.0,3647,5888,437.0,add_rms_norm_q8_1
0.2,3606455,400,9016.1,1184.0,1024,208735,38474.6,mul_f32
0.2,3510786,800,4388.5,1440.0,1216,1542485,54790.1,rope_neox_f32
0.2,3345321,1728,1935.9,1952.0,1696,2784,70.9,l2_norm_f32
0.1,2660397,96,27712.5,27263.0,26271,30591,969.3,fa_decode_vec_q_v4
0.1,2157165,96,22470.5,22240.0,21472,23744,666.2,fa_decode_combine_f32
0.1,2085136,864,2413.4,2432.0,2112,2656,91.4,qkv_to_gdn_repack_f32
0.1,2071989,1248,1660.2,1664.0,1472,4672,133.3,append_quantize_kv_q8_0_q5_1
0.1,2048952,864,2371.5,2368.0,2080,2880,114.4,ssm_conv1d_tm_state_f32
0.1,1408631,912,1544.6,1440.0,1280,4160,493.0,gdn_glog_f32
0.1,1178934,912,1292.7,1280.0,1120,1888,94.3,ssm_conv_ring_update_f32
0.0,866553,16,54159.6,52176.0,49504,69504,5021.4,append_quantize_kv_q8_0_q5_1_rows
0.0,735640,384,1915.7,1920.0,1504,2432,164.7,silu_mul_scaled_q8_1
0.0,636764,288,2211.0,2176.0,2048,2528,104.0,ssm_conv1d_fused_decode_f32
0.0,537824,288,1867.4,1856.0,1568,2208,98.9,gdn_prep_decode_f32
0.0,522526,288,1814.3,1792.0,1632,2240,91.7,gated_rmsnorm_q8_1
0.0,225406,48,4696.0,4608.0,3584,5952,440.3,gdn_chunk_cumgate_f32
0.0,206239,32,6445.0,6224.0,5952,8256,549.7,f32_to_bf16_bulk
0.0,73375,1,73375.0,73375.0,73375,73375,0.0,embed_gather_u32_t
0.0,21248,6,3541.3,3536.0,3360,3712,119.2,rms_norm_q8_1
