[moe] resident-experts decision: per-layer 522MB x 40 layers = 20.9GB vs budget 19.1GB -> SLRU cache
loaded qwen35moe (40 layers)
mscan: T_a=19 co_max=75 L=40..72 solo_argmax=90700 solo_margin=0.372957
  L | total_m | argmax | exact_vs_solo | maxdiff_vs_solo | vs_prev_L
 72 |      91 |   8160 | differs | 1.148240328e0 | -
 71 |      90 |   8160 | differs | 1.148240328e0 | same
 70 |      89 |   8160 | differs | 1.148240328e0 | same
 69 |      88 |   8160 | differs | 1.148240328e0 | same
 68 |      87 |   8160 | differs | 1.148240328e0 | same
 67 |      86 |   8160 | differs | 1.148240328e0 | same
 66 |      85 |   8160 | differs | 1.148240328e0 | same
 65 |      84 |   8160 | differs | 1.148240328e0 | same
 64 |      83 |   8160 | differs | 1.148240328e0 | same
 63 |      82 |   8160 | differs | 1.148240328e0 | same
 62 |      81 |   8160 | differs | 1.148240328e0 | same
 61 |      80 |   8160 | differs | 1.148240328e0 | same
 60 |      79 |   8160 | differs | 1.148240328e0 | same
 59 |      78 |   8160 | differs | 1.148240328e0 | same
 58 |      77 |   8160 | differs | 1.148240328e0 | same
 57 |      76 |   8160 | differs | 1.148240328e0 | same
 56 |      75 |   8160 | differs | 1.148240328e0 | same
 55 |      74 |  90700 | differs | 1.079292297e0 | CHANGED
 54 |      73 |  90700 | differs | 1.079292297e0 | same
 53 |      72 |  90700 | differs | 1.079292297e0 | same
 52 |      71 |  90700 | differs | 1.079292297e0 | same
 51 |      70 |  90700 | differs | 1.079292297e0 | same
 50 |      69 |  90700 | differs | 1.079292297e0 | same
 49 |      68 |  90700 | differs | 1.079292297e0 | same
 48 |      67 |  90700 | differs | 1.079292297e0 | same
 47 |      66 |  90700 | differs | 1.079292297e0 | same
 46 |      65 |  90700 | differs | 1.079292297e0 | same
 45 |      64 |  90700 | EXACT | 0.000000000e0 | CHANGED
 44 |      63 |  90700 | EXACT | 0.000000000e0 | same
 43 |      62 |  90700 | EXACT | 0.000000000e0 | same
 42 |      61 |  90700 | EXACT | 0.000000000e0 | same
 41 |      60 |  90700 | EXACT | 0.000000000e0 | same
 40 |      59 |  90700 | EXACT | 0.000000000e0 | same
