timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/19 13:00:59.944, 0, P8, 300 MHz, 405 MHz, 27.27 W, 38, 1 MiB, 0 %, 1, 16
2026/09/19 13:01:00.204, 0, P8, 300 MHz, 405 MHz, 27.27 W, 38, 40 MiB, 0 %, 1, 16
