timestamp, power.draw [W], clocks.current.sm [MHz], temperature.gpu, utilization.gpu [%]
2026/08/04 18:13:35.799, 10.40 W, 180 MHz, 23, 0 %
2026/08/04 18:13:36.812, 173.88 W, 2865 MHz, 37, 100 %
2026/08/04 18:13:37.813, 456.42 W, 2865 MHz, 39, 100 %
2026/08/04 18:13:38.813, 456.70 W, 2865 MHz, 40, 100 %
2026/08/04 18:13:39.813, 458.68 W, 2865 MHz, 40, 100 %
2026/08/04 18:13:40.813, 458.53 W, 2865 MHz, 42, 100 %
2026/08/04 18:13:41.813, 459.81 W, 2865 MHz, 42, 100 %
2026/08/04 18:13:42.813, 459.48 W, 2865 MHz, 43, 100 %
