timestamp, power.draw [W], clocks.current.sm [MHz], temperature.gpu, utilization.gpu [%]
2026/08/04 18:12:16.739, 9.96 W, 180 MHz, 22, 0 %
2026/08/04 18:12:17.750, 40.87 W, 2617 MHz, 24, 0 %
2026/08/04 18:12:18.750, 92.86 W, 2617 MHz, 24, 0 %
2026/08/04 18:12:19.750, 93.37 W, 2625 MHz, 24, 0 %
2026/08/04 18:12:20.750, 92.95 W, 2632 MHz, 24, 1 %
2026/08/04 18:12:21.751, 92.35 W, 2632 MHz, 24, 1 %
2026/08/04 18:12:22.751, 91.41 W, 2617 MHz, 24, 0 %
2026/08/04 18:12:23.751, 91.33 W, 2617 MHz, 25, 0 %
2026/08/04 18:12:24.751, 92.42 W, 2632 MHz, 25, 1 %
2026/08/04 18:12:25.751, 92.55 W, 2632 MHz, 25, 2 %
2026/08/04 18:12:26.751, 91.56 W, 2625 MHz, 25, 1 %
2026/08/04 18:12:27.751, 92.68 W, 2632 MHz, 25, 2 %
2026/08/04 18:12:28.751, 91.59 W, 2640 MHz, 25, 3 %
2026/08/04 18:12:29.752, 91.98 W, 2640 MHz, 25, 2 %
2026/08/04 18:12:30.752, 92.17 W, 2647 MHz, 25, 1 %
2026/08/04 18:12:31.752, 92.65 W, 2647 MHz, 25, 1 %
2026/08/04 18:12:32.752, 91.78 W, 2655 MHz, 25, 2 %
2026/08/04 18:12:33.752, 91.73 W, 2640 MHz, 25, 1 %
2026/08/04 18:12:34.752, 92.89 W, 2647 MHz, 25, 1 %
2026/08/04 18:12:35.752, 92.34 W, 2655 MHz, 25, 2 %
2026/08/04 18:12:36.753, 92.00 W, 2647 MHz, 25, 2 %
2026/08/04 18:12:37.753, 92.09 W, 2632 MHz, 25, 1 %
2026/08/04 18:12:38.753, 92.06 W, 2632 MHz, 26, 1 %
2026/08/04 18:12:39.753, 90.43 W, 2632 MHz, 26, 0 %
2026/08/04 18:12:40.753, 90.36 W, 2625 MHz, 26, 0 %
2026/08/04 18:12:41.753, 89.28 W, 2625 MHz, 26, 1 %
2026/08/04 18:12:42.753, 89.67 W, 2617 MHz, 26, 2 %
2026/08/04 18:12:43.753, 88.94 W, 2617 MHz, 26, 3 %
2026/08/04 18:12:44.753, 89.83 W, 2625 MHz, 26, 1 %
2026/08/04 18:12:45.754, 89.33 W, 2632 MHz, 26, 2 %
2026/08/04 18:12:46.754, 89.18 W, 2617 MHz, 26, 3 %
2026/08/04 18:12:47.754, 88.96 W, 2625 MHz, 26, 2 %
2026/08/04 18:12:48.754, 89.19 W, 2640 MHz, 26, 1 %
2026/08/04 18:12:49.754, 88.82 W, 2625 MHz, 26, 2 %
2026/08/04 18:12:50.754, 88.60 W, 2632 MHz, 26, 1 %
2026/08/04 18:12:51.754, 85.67 W, 2610 MHz, 26, 0 %
