#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    00:16:09       0     32     31      -      0      0      0      0      0      0    405    180      0      0      0 
 20260812    00:16:09       1     32     31      -      0      0      0      0      0      0    405    180      0      0      0 
 20260812    00:16:10       0     57     33      -      0      0      0      0      0      0  12481   2325    593    592      0 
 20260812    00:16:10       1     34     32      -      0      0      0      0      0      0  12481    180    593    592      0 
 20260812    00:16:11       0     88     33      -      4      0      0      0      0      0  12481   2317   2227   2226      0 
 20260812    00:16:11       1     91     33      -      9      1      0      0      0      0  12481   2370   2613   2612      0 
 20260812    00:16:12       0     89     33      -      6      0      0      0      0      0  12481   2317   4723   4722      0 
 20260812    00:16:12       1     91     33      -      9      1      0      0      0      0  12481   2370   5371   5370      0 
 20260812    00:16:13       0     88     33      -      6      0      0      0      0      0  12481   2317   7283   7282      0 
 20260812    00:16:13       1     91     33      -      9      1      0      0      0      0  12481   2370   8159   8158      0 
 20260812    00:16:14       0     89     33      -      6      0      0      0      0      0  12481   2317   9811   9810      0 
 20260812    00:16:14       1     91     33      -      8      1      0      0      0      0  12481   2370  10917  10916      0 
 20260812    00:16:15       0     89     34      -      6      0      0      0      0      0  12481   2317  12339  12338      0 
 20260812    00:16:15       1     91     34      -      1      0      0      0      0      0  12481   2370  13673  13672      0 
 20260812    00:16:16       0     89     34      -      7      0      0      0      0      0  12481   2317  14739  14738      0 
 20260812    00:16:16       1     91     34      -     10      1      0      0      0      0  12481   2370  16591  16590      0 
 20260812    00:16:17       0     88     34      -      0      0      0      0      0      0  12481   2325  15091  15090      0 
 20260812    00:16:17       1     90     34      -      0      0      0      0      0      0  12481   2370  18033  18032      0 
 20260812    00:16:18       0    273     42      -     99     73      0      0      0      0  12481   2287  16371  16370      0 
