2026/08/12 00:16:09.722, 0, P8, 31, 33.00, 600.00, 180, 405, 0, 97252, 0
2026/08/12 00:16:09.738, 1, P8, 31, 32.08, 600.00, 180, 405, 0, 97252, 0
2026/08/12 00:16:10.006, 0, P8, 31, 33.00, 600.00, 180, 405, 1, 97252, 0
2026/08/12 00:16:10.007, 1, P8, 31, 32.08, 600.00, 180, 405, 1, 97252, 0
2026/08/12 00:16:10.258, 0, P0, 32, 44.05, 600.00, 1162, 12481, 3, 97249, 0
2026/08/12 00:16:10.258, 1, P8, 31, 32.08, 600.00, 180, 405, 1, 97252, 0
2026/08/12 00:16:10.509, 0, P0, 32, 50.19, 600.00, 2325, 12481, 3, 97249, 0
2026/08/12 00:16:10.509, 1, P8, 32, 31.81, 600.00, 180, 405, 1, 97252, 0
2026/08/12 00:16:10.776, 0, P0, 33, 57.17, 600.00, 2325, 12481, 593, 96660, 0
2026/08/12 00:16:10.776, 1, P0, 32, 34.59, 600.00, 180, 12481, 593, 96660, 0
2026/08/12 00:16:11.026, 0, P0, 33, 60.45, 600.00, 2317, 12481, 595, 96658, 0
2026/08/12 00:16:11.026, 1, P0, 33, 45.99, 600.00, 2197, 12481, 595, 96658, 0
2026/08/12 00:16:11.277, 0, P0, 33, 88.54, 600.00, 2325, 12481, 595, 96658, 0
2026/08/12 00:16:11.278, 1, P0, 33, 51.23, 600.00, 2370, 12481, 1043, 96210, 0
2026/08/12 00:16:11.528, 0, P0, 33, 89.13, 600.00, 2317, 12481, 1683, 95570, 12
2026/08/12 00:16:11.528, 1, P0, 33, 82.04, 600.00, 2370, 12481, 1845, 95408, 1
2026/08/12 00:16:11.779, 0, P0, 33, 88.88, 600.00, 2317, 12481, 2227, 95026, 4
2026/08/12 00:16:11.785, 1, P0, 33, 90.86, 600.00, 2370, 12481, 2613, 94640, 7
2026/08/12 00:16:12.036, 0, P0, 33, 88.81, 600.00, 2325, 12481, 2835, 94418, 4
2026/08/12 00:16:12.036, 1, P0, 33, 91.01, 600.00, 2370, 12481, 3415, 93838, 8
2026/08/12 00:16:12.287, 0, P0, 33, 89.30, 600.00, 2317, 12481, 3443, 93810, 5
2026/08/12 00:16:12.287, 1, P0, 33, 91.27, 600.00, 2370, 12481, 3799, 93454, 9
2026/08/12 00:16:12.537, 0, P0, 33, 88.93, 600.00, 2325, 12481, 4115, 93138, 5
2026/08/12 00:16:12.538, 1, P0, 33, 91.50, 600.00, 2370, 12481, 4601, 92652, 1
2026/08/12 00:16:12.788, 0, P0, 33, 89.04, 600.00, 2317, 12481, 4755, 92498, 6
2026/08/12 00:16:12.788, 1, P0, 33, 91.63, 600.00, 2370, 12481, 5371, 91882, 8
2026/08/12 00:16:13.038, 0, P0, 33, 89.03, 600.00, 2317, 12481, 5363, 91890, 6
2026/08/12 00:16:13.039, 1, P0, 33, 91.63, 600.00, 2370, 12481, 6171, 91082, 9
2026/08/12 00:16:13.289, 0, P0, 33, 88.91, 600.00, 2325, 12481, 6003, 91250, 6
2026/08/12 00:16:13.296, 1, P0, 33, 91.51, 600.00, 2370, 12481, 6973, 90280, 9
2026/08/12 00:16:13.547, 0, P0, 33, 88.94, 600.00, 2325, 12481, 6611, 90642, 6
2026/08/12 00:16:13.547, 1, P0, 33, 91.17, 600.00, 2370, 12481, 7359, 89894, 1
2026/08/12 00:16:13.798, 0, P0, 33, 88.93, 600.00, 2317, 12481, 7283, 89970, 6
2026/08/12 00:16:13.804, 1, P0, 33, 91.04, 600.00, 2370, 12481, 8159, 89094, 9
2026/08/12 00:16:14.054, 0, P0, 33, 89.00, 600.00, 2325, 12481, 7923, 89330, 6
2026/08/12 00:16:14.054, 1, P0, 33, 91.04, 600.00, 2370, 12481, 8929, 88324, 5
