procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 354616236 187012 149585740    0    0    99 17861 2740    0  0  0 100  0  0  0
 2  0      0 352785548 187012 149589544    0    0    52   100 5990 4483  0  3 97  0  0  0
 2  0      0 351095884 187012 149603856    0    0     0     0 6789 3487  2  2 96  0  0  0
 2  0      0 351067992 187012 149604144    0    0     0     0 5579 2668  2  2 96  0  0  0
 2  0      0 351052424 187012 149604144    0    0     0     0 5521 2728  2  2 96  0  0  0
 2  0      0 351026576 187020 149604144    0    0     0    28 5598 2628  3  2 96  0  0  0
 2  0      0 351003688 187020 149604144    0    0     0     0 5546 2650  2  2 96  0  0  0
 2  0      0 350986004 187020 149604148    0    0     0     0 5462 2650  2  2 96  0  0  0
 0  0      0 350714020 187020 149604148    0    0     0     0 11524 3659  1  1 97  0  0  0
 1  0      0 350713748 187028 149605080    0    0     4     8 2847 2666  2  0 98  0  0  0
 1  0      0 350721588 187036 149605096    0    0     0    44 2172 2514  2  0 98  0  0  0
 1  0      0 350721588 187036 149605096    0    0     0     0 2228 2370  2  0 98  0  0  0
 1  0      0 350729652 187036 149605096    0    0     0    40 2174 2479  2  0 98  0  0  0
 1  0      0 350729428 187036 149605096    0    0     0     0 2078 2374  2  0 98  0  0  0
 1  1      0 350718088 187036 149605132    0    0     0  7160 4570 3349  2  0 97  0  0  0
 2  0      0 350725916 187044 149605140    0    0     0    20 2499 2853  2  0 98  0  0  0
 1  0      0 350726276 187044 149605140    0    0     0     0 2245 2763  2  0 98  0  0  0
 1  0      0 350733764 187044 149607208    0    0     0     0 2496 2511  2  0 98  0  0  0
 1  0      0 350741828 187044 149607212    0    0     0     0 2198 2833  2  0 98  0  0  0
 1  0      0 350749892 187044 149607212    0    0     0     4 2260 2822  2  0 98  0  0  0
 1  0      0 350757732 187052 149607212    0    0     0    36 2195 2933  2  0 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 350755372 187064 149607284    0    0    56     0 3128 3182  2  0 98  0  0  0
 1  0      0 350760932 187064 149607336    0    0     0     0 2979 2840  3  0 97  0  0  0
 0  0      0 350760944 187064 149607340    0    0     0     0 4251 3607  3  0 97  0  0  0
 1  0      0 350726456 187068 149607400    0    0     0     0 3735 3356  2  0 98  0  0  0
 1  0      0 350744988 187076 149607408    0    0     0    56 2536 2609  2  0 98  0  0  0
 0  0      0 350802116 187084 149607476    0    0     0     0 3272 3054  2  0 98  0  0  0
 2  0      0 350822076 187092 149607532    0    0     0     0 3434 3402  2  0 98  0  0  0
 1  0      0 350830392 187092 149607540    0    0     0     0 3086 3058  3  0 97  0  0  0
 2  0      0 350833948 187092 149607568    0    0     0     0 2689 2901  2  0 98  0  0  0
 1  0      0 350842264 187100 149607560    0    0     0    60 3069 2993  3  0 97  0  0  0
 1  0      0 350875800 187116 149607604    0    0     0   124 2657 2779  2  0 98  0  0  0
 1  0      0 350877024 187116 149607692    0    0     0     0 2962 2781  2  0 98  0  0  0
 0  0      0 350882756 187116 149607692    0    0     0     0 2187 2532  2  0 98  0  0  0
 1  0      0 350902248 187116 149607712    0    0     0    76 2407 2582  2  0 98  0  0  0
 1  0      0 350911828 187124 149607712    0    0     0    56 2248 2543  2  0 98  0  0  0
 1  0      0 350936424 187132 149607744    0    0     0     0 3079 3185  1  0 98  0  0  0
 0  0      0 350928416 187132 149607800    0    0     0     0 2537 3015  2  0 98  0  0  0
 2  0      0 350947200 187140 149607836    0    0     0     0 4739 5719  3  0 96  0  0  0
 1  0      0 350949436 187140 149607852    0    0     0     0 2928 4827  3  0 97  0  0  0
 1  0      0 350961096 187148 149607840    0    0     0    84 3757 4365  2  0 98  0  0  0
 2  0      0 350967640 187148 149607896    0    0     0     0 4483 5678  3  0 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 350974796 187148 149607912    0    0     0     0 4929 6170  3  0 97  0  0  0
 1  0      0 350979540 187148 149607904    0    0     0     0 2370 3623  2  0 98  0  0  0
 1  0      0 351010100 187152 149607928    0    0     0     0 3630 3402  1  0 98  0  0  0
 1  0      0 351010468 187160 149607988    0    0     0  7252 2322 3485  2  0 98  0  0  0
 1  0      0 351010468 187160 149607988    0    0     0   108 2330 3565  2  0 98  0  0  0
 1  0      0 351040876 187164 149607988    0    0     0     0 2649 3062  2  0 98  0  0  0
 1  0      0 351041244 187164 149608016    0    0     0     0 2309 3484  2  0 98  0  0  0
 1  0      0 351041244 187164 149608016    0    0     0     0 2242 3561  2  0 98  0  0  0
 1  0      0 351050348 187168 149608040    0    0     0    24 3324 3582  2  0 98  0  0  0
 0  0      0 351049568 187176 149608084    0    0     0    56 2454 5438  2  0 98  0  0  0
 1  0      0 351036212 187176 149608112    0    0     0     0 2939 4925  2  0 98  0  0  0
 3  0      0 351019392 187184 149608164    0    0     0     0 4088 5739  2  0 97  0  0  0
 2  0      0 351014856 187184 149608172    0    0     0     0 3595 8285  4  0 96  0  0  0
 1  0      0 351018228 187184 149608172    0    0     0   116 3178 6221  2  0 97  0  0  0
 1  0      0 351020008 187192 149608172    0    0     0    60 2542 4670  2  0 98  0  0  0
 2  0      0 351010740 187192 149608224    0    0     0     0 4144 5365  2  0 97  0  0  0
 2  0      0 351012624 187192 149608236    0    0     0     0 4228 8134  4  0 96  0  0  0
 1  0      0 351012628 187192 149608236    0    0     0     0 3389 6971  3  0 97  0  0  0
 1  0      0 351012792 187192 149608236    0    0     0   124 2561 4626  2  0 98  0  0  0
 1  0      0 351041728 187204 149608296    0    0     0    48 4690 5122  2  0 98  0  0  0
 1  0      0 351041504 187204 149608296    0    0     0    44 2271 3369  2  0 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 351020120 187204 149608344    0    0     0     0 4702 5203  2  0 98  0  0  0
 1  0      0 351020120 187204 149608344    0    0     0     0 2388 4332  2  0 98  0  0  0
 1  0      0 351028184 187208 149608380    0    0     0   128 2752 4680  2  0 98  0  0  0
 1  0      0 351028024 187216 149608376    0    0     0    60 2511 3751  2  0 98  0  0  0
 1  0      0 351028024 187216 149608376    0    0     0     0 2271 4019  2  0 98  0  0  0
 1  0      0 351028608 187216 149608384    0    0     0     0 2371 4215  2  0 98  0  0  0
 0  0      0 351028608 187216 149608384    0    0     0     0 2362 4737  2  0 98  0  0  0
 1  0      0 351030048 187220 149608416    0    0     0   132 3737 5667  2  0 98  0  0  0
 2  0      0 351030044 187240 149608464    0    0     0   152 2678 7217  2  0 98  0  0  0
 1  0      0 351034412 187240 149608532    0    0     0     0 2912 6012  2  0 98  0  0  0
 1  0      0 351012216 187248 149608612    0    0     0     0 3621 7004  2  0 98  0  0  0
 2  0      0 351001380 187248 149608660    0    0     0     0 4401 7764  4  0 96  0  0  0
 3  0      0 351002028 187248 149608660    0    0     0   112 4979 8442  4  1 96  0  0  0
 1  0      0 350985788 187256 149608672    0    0     0    64 6092 10207  4  1 96  0  0  0
 1  0      0 350991356 187256 149608676    0    0     0     0 2459 4063  2  1 98  0  0  0
 1  0      0 350991356 187256 149608676    0    0     0     0 2561 5246  2  0 98  0  0  0
 2  0      0 351020412 187256 149608744    0    0     0     0 4063 6112  2  0 98  0  0  0
 3  0      0 351020672 187256 149608744    0    0     0     0 4078 7297  4  1 96  0  0  0
 3  0      0 351018284 187264 149608748    0    0     0   128 4238 8529  4  1 96  0  0  0
 1  0      0 351021232 187264 149608752    0    0     0    96 5482 8980  3  1 96  0  0  0
 1  0      0 351030892 187264 149608752    0    0     0  4028 3067 4591  2  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 351033576 187264 149608760    0    0     0     0 2595 5457  2  0 98  0  0  0
 1  0      0 351061620 187272 149608852    0    0     0     0 4306 5298  1  0 98  0  0  0
 1  0      0 351061620 187280 149608856    0    0     0   144 2299 3371  2  0 98  0  0  0
 1  0      0 351061396 187280 149608856    0    0     0     0 2416 4216  2  1 98  0  0  0
 1  0      0 351060928 187280 149608896    0    0     0     0 2414 4182  2  1 98  0  0  0
 1  0      0 351060928 187280 149608896    0    0     0     0 2393 4151  2  1 98  0  0  0
 1  0      0 351060928 187280 149608900    0    0     0     0 2439 5205  2  0 98  0  0  0
 1  0      0 351059444 187288 149608948    0    0     0    92 3507 4837  2  0 98  0  0  0
 1  0      0 351049868 187288 149608952    0    0     0     0 4265 4711  2  1 98  0  0  0
 1  0      0 351050252 187288 149608956    0    0     0  2904 2347 4144  2  0 98  0  0  0
 1  0      0 351050252 187288 149608956    0    0     0     0 2342 3937  2  1 98  0  0  0
 1  0      0 351051336 187288 149608956    0    0     0     0 2335 4288  2  0 98  0  0  0
 1  0      0 351051112 187296 149608948    0    0     0   228 2483 5248  2  0 98  0  0  0
 1  0      0 351067812 187300 149608988    0    0     0     0 4219 4942  2  0 98  0  0  0
 1  0      0 351067392 187300 149609076    0    0     0     0 2471 6407  2  0 98  0  0  0
 1  0      0 351067392 187300 149609076    0    0     0     0 2521 6766  2  0 98  0  0  0
 1  0      0 351052024 187300 149609116    0    0     0     0 4987 7757  2  0 98  0  0  0
 1  0      0 351052284 187308 149609112    0    0     0   156 2696 6598  2  0 98  0  0  0
 1  0      0 351052284 187308 149609124    0    0     0    12 2552 7215  2  0 98  0  0  0
 2  0      0 351026928 187316 149609252    0    0     0     0 5192 7289  3  0 97  0  0  0
 2  0      0 351026928 187316 149609260    0    0     0     0 4350 8782  4  1 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 351026928 187316 149609260    0    0     0     0 4278 8785  4  1 96  0  0  0
 1  0      0 351026928 187336 149609240    0    0     0   296 4717 10975  3  1 96  0  0  0
 1  0      0 351026928 187336 149609260    0    0     0     0 2522 4196  2  1 98  0  0  0
 1  0      0 351026928 187336 149609264    0    0     0     0 2745 5081  2  0 98  0  0  0
 1  0      0 351026928 187336 149609264    0    0     0     0 2674 5462  2  0 98  0  0  0
 2  0      0 351051312 187336 149609368    0    0     0     0 5406 7387  2  0 98  0  0  0
 2  0      0 351051816 187344 149609420    0    0     0   112 4728 7634  4  1 96  0  0  0
 2  0      0 351051612 187344 149609444    0    0     0     0 4265 8690  4  1 96  0  0  0
 2  0      0 351051612 187344 149609444    0    0     0     0 4549 10730  4  1 96  0  0  0
 2  0      0 351051612 187344 149609444    0    0     0     0 3299 5899  2  1 97  0  0  0
 1  0      0 351051612 187344 149609448    0    0     0     0 2490 4209  2  1 98  0  0  0
