llama_print_build_info: build = 1 (c730697)
llama_print_build_info: built with GNU 11.4.0 for Linux x86_64
llama_quantize: quantizing 'gguf-official/Ornith-1.5-35B-BF16.gguf' to 'Ornith-1.5-35B-A3B-NVFP4-MTP.gguf' as NVFP4
llama_model_loader: loaded meta data with 43 key-value pairs and 753 tensors from gguf-official/Ornith-1.5-35B-BF16.gguf (version GGUF V3 (latest))
llama_model_loader: Dumping metadata keys/values. Note: KV overrides do not apply in this output.
llama_model_loader: - kv   0:                       general.architecture str              = qwen35moe
llama_model_loader: - kv   1:                               general.type str              = model
llama_model_loader: - kv   2:                     general.sampling.top_k i32              = 20
llama_model_loader: - kv   3:                     general.sampling.top_p f32              = 0.950000
llama_model_loader: - kv   4:                      general.sampling.temp f32              = 1.000000
llama_model_loader: - kv   5:                               general.name str              = Ornith-1.5-35B
llama_model_loader: - kv   6:                            general.version str              = 4000
llama_model_loader: - kv   7:                           general.finetune str              = 35b
llama_model_loader: - kv   8:                         general.size_label str              = 256x2.6B
llama_model_loader: - kv   9:                      qwen35moe.block_count u32              = 41
llama_model_loader: - kv  10:                   qwen35moe.context_length u32              = 262144
llama_model_loader: - kv  11:                 qwen35moe.embedding_length u32              = 2048
llama_model_loader: - kv  12:             qwen35moe.attention.head_count u32              = 16
llama_model_loader: - kv  13:          qwen35moe.attention.head_count_kv u32              = 2
llama_model_loader: - kv  14:          qwen35moe.rope.dimension_sections arr[i32,4]       = [11, 11, 10, 0]
llama_model_loader: - kv  15:                   qwen35moe.rope.freq_base f32              = 10000000.000000
llama_model_loader: - kv  16: qwen35moe.attention.layer_norm_rms_epsilon f32              = 0.000001
llama_model_loader: - kv  17:                     qwen35moe.expert_count u32              = 256
llama_model_loader: - kv  18:                qwen35moe.expert_used_count u32              = 8
llama_model_loader: - kv  19:             qwen35moe.attention.key_length u32              = 256
llama_model_loader: - kv  20:           qwen35moe.attention.value_length u32              = 256
llama_model_loader: - kv  21:                          general.file_type u32              = 32
llama_model_loader: - kv  22:       qwen35moe.expert_feed_forward_length u32              = 512
llama_model_loader: - kv  23: qwen35moe.expert_shared_feed_forward_length u32              = 512
llama_model_loader: - kv  24:             qwen35moe.nextn_predict_layers u32              = 1
llama_model_loader: - kv  25:                  qwen35moe.ssm.conv_kernel u32              = 4
llama_model_loader: - kv  26:                   qwen35moe.ssm.state_size u32              = 128
llama_model_loader: - kv  27:                  qwen35moe.ssm.group_count u32              = 16
llama_model_loader: - kv  28:               qwen35moe.ssm.time_step_rank u32              = 32
llama_model_loader: - kv  29:                   qwen35moe.ssm.inner_size u32              = 4096
llama_model_loader: - kv  30:          qwen35moe.full_attention_interval u32              = 4
llama_model_loader: - kv  31:             qwen35moe.rope.dimension_count u32              = 64
llama_model_loader: - kv  32:               general.quantization_version u32              = 2
llama_model_loader: - kv  33:                       tokenizer.ggml.model str              = gpt2
llama_model_loader: - kv  34:                         tokenizer.ggml.pre str              = qwen35
llama_model_loader: - kv  35:                      tokenizer.ggml.tokens arr[str,248320]  = ["!", "\"", "#", "$", "%", "&", "'", ...
llama_model_loader: - kv  36:                  tokenizer.ggml.token_type arr[i32,248320]  = [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, ...
llama_model_loader: - kv  37:                      tokenizer.ggml.merges arr[str,247587]  = ["Ġ Ġ", "ĠĠ ĠĠ", "i n", "Ġ t",...
llama_model_loader: - kv  38:                tokenizer.ggml.eos_token_id u32              = 248046
llama_model_loader: - kv  39:            tokenizer.ggml.padding_token_id u32              = 248044
llama_model_loader: - kv  40:                tokenizer.ggml.bos_token_id u32              = 248044
llama_model_loader: - kv  41:               tokenizer.ggml.add_bos_token bool             = false
llama_model_loader: - kv  42:                    tokenizer.chat_template str              = {%- set image_count = namespace(value...
llama_model_loader: - type  f32:  310 tensors
llama_model_loader: - type bf16:  443 tensors
[   1/ 753] output.weight                        - [  2048, 248320,      1,      1], type =   bf16, converting to q5_K .. size =   970.00 MiB ->   333.44 MiB
[   2/ 753] output_norm.weight                   - [  2048,      1,      1,      1], type =    f32, size =    0.008 MiB
[   3/ 753] token_embd.weight                    - [  2048, 248320,      1,      1], type =   bf16, converting to q5_K .. size =   970.00 MiB ->   333.44 MiB
[   4/ 753] blk.0.attn_gate.weight               - [  2048,   4096,      1,      1], type =   bf16, converting to nvfp4 .. size =    16.00 MiB ->     4.50 MiB
[   5/ 753] blk.0.attn_norm.weight               - [  2048,      1,      1,      1], type =    f32, size =    0.008 MiB
[   6/ 753] blk.0.attn_qkv.weight                - [  2048,   8192,      1,      1], type =   bf16, converting to nvfp4 .. size =    32.00 MiB ->     9.00 MiB
[   7/ 753] blk.0.ffn_down_exps.weight           - [   512,   2048,    256,      1], type =   bf16, converting to nvfp4 .. size =   512.00 MiB ->   144.00 MiB
[   8/ 753] blk.0.ffn_down_shexp.weight          - [   512,   2048,      1,      1], type =   bf16, converting to nvfp4 .. size =     2.00 MiB ->     0.56 MiB
[   9/ 753] blk.0.ffn_gate_exps.weight           - [  2048,    512,    256,      1], type =   bf16, converting to nvfp4 .. size =   512.00 MiB ->   144.00 MiB
[  10/ 753] blk.0.ffn_gate_inp.weight            - [  2048,    256,      1,      1], type =    f32, size =    2.000 MiB
[  11/ 753] blk.0.ffn_gate_inp_shexp.weight      - [  2048,      1,      1,      1], type =    f32, size =    0.008 MiB
[  12/ 753] blk.0.ffn_gate_shexp.weight          - [  2048,    512,      1,      1], type =   bf16, converting to nvfp4 .. size =     2.00 MiB ->     0.56 MiB
[  13/ 753] blk.0.ffn_up_exps.weight             - [  2048,    512,    256,      1], type =   bf16, converting to nvfp4 .. size =   512.00 MiB ->   144.00 MiB
[  14/ 753] blk.0.ffn_up_shexp.weight            - [  2048,    512,      1,      1], type =   bf16, converting to nvfp4 .. size =     2.00 MiB ->     0.56 MiB
[  15/ 753] blk.0.post_attention_norm.weight     - [  2048,      1,      1,      1], type =    f32, size =    0.008 MiB
[  16/ 753] blk.0.ssm_a                          - [    32,      1,      1,      1], type =    f32, size =    0.000 MiB
[  17/ 753] blk.0.ssm_alpha.weight               - [  2048,     32,      1,      1], type =   bf16, converting to nvfp4 .. size =     0.12 MiB ->     0.04 MiB
[  18/ 753] blk.0.ssm_beta.weight                - [  2048,     32,      1,      1], type =   bf16, converting to nvfp4 .. size =     0.12 MiB ->     0.04 MiB
[  19/ 753] blk.0.ssm_conv1d.weight              - [     4,   8192,      1,      1], type =    f32, size =    0.125 MiB
[  20/ 753] blk.0.ssm_dt.bias                    - [    32,      1,      1,      1], type =    f32, size =    0.000 MiB
[  21/ 753] blk.0.ssm_norm.weight                - [   128,      1,      1,      1], type =    f32, size =    0.000 MiB
